property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
lattice_constants,"351, 351, 351",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
thermal_conductivity,85,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
electrical_conductivity,11,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
electrical_resistivity,9.400000000002e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
magnetic_susceptibility_mass,2.56e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
magnetic_susceptibility_molar,1.78e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
magnetic_susceptibility_volume,1.37e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Lithium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Li-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,351,351,351,π/2,π/2,π/2
