obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""204.0""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
"=""217.41""","=""217.1""","=""0.7""","=""*""","=""""","=""""","=""""","=""""",,"=""57.469""","=""63.180""","=""1s.2s.2p""","=""4P*""","=""5/2""","=""1s.2s.4s""","=""4S""","=""3/2""",6,4,,"=""""","=""L1560""",
"=""217.41""","=""217.1""","=""0.7""","=""*""","=""""","=""""","=""""","=""""",,"=""57.469""","=""63.180""","=""1s.2s.2p""","=""4P*""","=""3/2""","=""1s.2s.4s""","=""4S""","=""3/2""",4,4,,"=""""","=""L1560""",
"=""217.41""","=""217.1""","=""0.7""","=""*""","=""""","=""""","=""""","=""""",,"=""57.469""","=""63.180""","=""1s.2s.2p""","=""4P*""","=""1/2""","=""1s.2s.4s""","=""4S""","=""3/2""",2,4,,"=""""","=""L1560""",
"=""230.530""","=""230.5300""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.378225""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.32p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.530""","=""230.5300""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.378225""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.32p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.563""","=""230.5632""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.377450""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.31p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.563""","=""230.5632""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.377450""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.31p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.607""","=""230.6076""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.376415""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.30p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.607""","=""230.6076""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.376415""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.30p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.654""","=""230.6544""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.375324""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.29p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.654""","=""230.6544""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.375324""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.29p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.700""","=""230.6997""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.374267""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.28p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.700""","=""230.6997""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.374267""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.28p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.753""","=""230.7529""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.373029""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.27p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.753""","=""230.7529""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.373029""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.27p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.815""","=""230.8146""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.371592""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.26p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.815""","=""230.8146""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.371592""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.26p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""230.968""","=""230.9681""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.368024""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.24p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""230.968""","=""230.9681""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.368024""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.24p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.059""","=""231.0592""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.365907""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.23p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.059""","=""231.0592""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.365907""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.23p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.165""","=""231.1650""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.363450""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.22p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.165""","=""231.1650""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.363450""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.22p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.282""","=""231.2825""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.360725""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.21p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.282""","=""231.2825""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.360725""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.21p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.420""","=""231.4205""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.357530""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.20p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.420""","=""231.4205""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.357530""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.20p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.579""","=""231.5788""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.353866""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.19p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.579""","=""231.5788""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.353866""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.19p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.766""","=""231.7660""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.349541""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.18p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.766""","=""231.7660""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.349541""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.18p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""231.989""","=""231.9894""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.344391""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.17p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""231.989""","=""231.9894""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.344391""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.17p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""232.259""","=""232.2592""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.338182""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.16p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""232.259""","=""232.2592""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.338182""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.16p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""232.582""","=""232.5824""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.330764""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.15p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""232.582""","=""232.5824""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.330764""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.15p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""232.973""","=""232.9732""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.321822""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.14p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
"=""232.973""","=""232.9732""","=""0.0008""","=""*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.321822""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.14p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
"=""233.466""","=""233.4653""","=""0.0008""","=""*""","=""1.09e+05""","=""1.78e-04""","=""2.74e-03""","=""-3.448""",B',"=""0.000000""","=""5.310605""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.13p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
"=""233.466""","=""233.4653""","=""0.0008""","=""*""","=""1.09e+05""","=""8.91e-05""","=""1.37e-03""","=""-3.749""",B',"=""0.000000""","=""5.310605""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.13p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
"=""234.087""","=""234.0871""","=""0.0008""","=""*""","=""1.34e+05""","=""2.20e-04""","=""3.39e-03""","=""-3.356""",B',"=""0.000000""","=""5.296498""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.12p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
"=""234.087""","=""234.0871""","=""0.0008""","=""*""","=""1.34e+05""","=""1.10e-04""","=""1.70e-03""","=""-3.657""",B',"=""0.000000""","=""5.296498""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.12p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
"=""234.894""","=""234.912""","=""0.006""","=""*""","=""1.65e+05""","=""2.73e-04""","=""4.22e-03""","=""-3.263""",B',"=""0.000000""","=""5.27790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.11p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
"=""234.894""","=""234.912""","=""0.006""","=""*""","=""1.65e+05""","=""1.37e-04""","=""2.11e-03""","=""-3.564""",B',"=""0.000000""","=""5.27790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.11p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
"=""235.965""","=""235.9650""","=""0.0008""","=""*""","=""2.09e+05""","=""3.49e-04""","=""5.42e-03""","=""-3.156""",B',"=""0.000000""","=""5.254346""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
"=""235.965""","=""235.9650""","=""0.0008""","=""*""","=""2.09e+05""","=""1.74e-04""","=""2.71e-03""","=""-3.457""",B',"=""0.000000""","=""5.254346""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
"=""237.426""","=""237.4267""","=""0.0008""","=""*""","=""1.918e+05""","=""3.241e-04""","=""5.067e-03""","=""-3.1883""",AA,"=""0.000000""","=""5.222000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",2,4,,"=""T6835""","=""L7397""",
"=""237.426""","=""237.4267""","=""0.0008""","=""*""","=""1.917e+05""","=""1.620e-04""","=""2.533e-03""","=""-3.4894""",AA,"=""0.000000""","=""5.222000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",2,2,,"=""T6835""","=""L7397""",
"=""239.512""","=""239.5116""","=""0.0008""","=""1*""","=""2.664e+05""","=""4.582e-04""","=""7.226e-03""","=""-3.0379""",AA,"=""0.000000""","=""5.176542""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",2,4,,"=""T6835""","=""L7397""",
"=""239.512""","=""239.5116""","=""0.0008""","=""1*""","=""2.664e+05""","=""2.291e-04""","=""3.613e-03""","=""-3.3389""",AA,"=""0.000000""","=""5.176542""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",2,2,,"=""T6835""","=""L7397""",
"=""242.617""","=""242.6163""","=""0.0008""","=""3*""","=""3.824e+05""","=""6.748e-04""","=""1.078e-02""","=""-2.870""",AA,"=""0.000000""","=""5.110300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",2,4,,"=""T6835""","=""L7397""",
"=""242.617""","=""242.6163""","=""0.0008""","=""3*""","=""3.822e+05""","=""3.373e-04""","=""5.388e-03""","=""-3.1710""",AA,"=""0.000000""","=""5.110300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",2,2,,"=""T6835""","=""L7397""",
"=""246.09""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1560""",
"=""247.581""","=""247.5809""","=""0.0009""","=""10*""","=""5.734e+05""","=""1.054e-03""","=""1.718e-02""","=""-2.6762""",AA,"=""0.000000""","=""5.007826""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",2,4,,"=""T6835""","=""L7397""",
"=""247.581""","=""247.5809""","=""0.0009""","=""10*""","=""5.734e+05""","=""5.269e-04""","=""8.589e-03""","=""-2.9772""",AA,"=""0.000000""","=""5.007826""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",2,2,,"=""T6835""","=""L7397""",
"=""251.9""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
"=""256.308""","=""256.3080""","=""0.0009""","=""15*""","=""8.799e+05""","=""1.733e-03""","=""2.925e-02""","=""-2.4601""",AA,"=""0.000000""","=""4.837313""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",2,4,,"=""T6835""","=""L7397""",
"=""256.308""","=""256.3080""","=""0.0009""","=""15*""","=""9.001e+05""","=""8.865e-04""","=""1.496e-02""","=""-2.7513""",AA,"=""0.000000""","=""4.837313""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",2,2,,"=""T6835""","=""L7397""",
"=""274.201""","=""274.2014""","=""0.0011""","=""5*""","=""1.247e+06""","=""2.812e-03""","=""5.077e-02""","=""-2.2499""",AA,"=""0.000000""","=""4.521648""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T6620LS""","=""L7397""",
"=""274.201""","=""274.2014""","=""0.0011""","=""5*""","=""1.248e+06""","=""1.406e-03""","=""2.539e-02""","=""-2.5509""",AA,"=""0.000000""","=""4.521648""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T6620LS""","=""L7397""",
"=""280.2""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
