z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
4,2,Be,,,,,,0,,,0+,92,,6,keV,4.959105598602019e-21,3.234199303436099e-22,A,100,,2P,100,,,,,1,,,,,-28945,2003,,,,,4288.154,5.448,26835,2003,592.8241,50.2959,4487.2478,0.9080,6019726.409,5.848,18375.034,5.448,N,1958,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,3,Be,2.6460,0.0160,,,,0,,,3/2-,53.22,,6,d,4598208,5184,EC,100,,,,,,,,1/2,-1.39928,0.000004,,,-11907.5551,25.1504,-39622,2003,-1587.1371,0.0708,861.893,0.071,10677.3542,5.4482,5606.8539,0.0709,5371.5487,0.0101,7016928.714,0.076,15768.998,0.071,N,1938,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,4,Be,,,,,,0,,,0+,5.57,,25,eV,8.190982317260066e-17,3.676383445807929e-18,A,100,,,,,,,,0,,,,,-17979.8973,1.0005,-30806.1992,25.1504,91.8399,0.0354,-16004.133,0.059,18898.6440,0.0792,17254.4040,0.0356,7062.4356,0.0044,8005305.102,0.037,4941.672,0.035,N,1932,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,5,Be,2.5190,0.0120,100,,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,1/2,-1.17743,0.000005,0.0529,0.0004,-1068.0349,0.8994,-19644.4361,1.0028,-2307.6989,20.0001,-13606.454,0.201,1664.5388,0.0843,16886.3247,0.0898,6462.6693,0.0085,9012183.062,0.082,11348.451,0.076,N,1921,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,6,Be,2.3550,0.0170,,,,0,,,0+,1.51E+6,,4,Y,47650958221633.92,1262277038983.68,B-,100,,,,,,,,1,,,,,556.8759,0.0822,-7880.3173,0.9009,-7409.5245,0.0966,-20445.141,12.721,6812.2824,0.0519,19636.3895,0.2031,6497.6306,0.0081,10013534.692,0.086,12607.487,0.081,N,1935,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,7,Be,2.4630,0.0150,,,,0,,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,B-A,3.1,,B-P,0.00083,,3/2,-1.6816,0.0008,,,11509.4607,0.2380,55.2401,0.2382,-8320.8746,7.5632,-20551.09,0.65,501.6358,0.2511,20164.4299,12.7236,5952.5402,0.0216,11021661.08,0.255,20177.169,0.238,N,1958,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,8,Be,,,,,,0,,,0+,21.46,,5,ms,0.02146,0.00005,B-,100,,B-N,0.5,0.03,,,,2,,,,,11708.3636,2.3214,8338.7353,1.9086,-8956.8373,1.9106,-23931.816,30.067,3170.7254,1.9233,22939.4682,2.0051,5720.7223,0.1590,12026922.082,2.048,25077.761,1.909,N,1966,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,9,Be,,,,,,0,,,(1/2-),2.7E-21,,18,s,2.7e-21,1.8e-21,N,,,,,,,,,,,,,,17097.1315,10.2295,12218.3636,10.2659,-9701.6627,47.9106,-23321.815,70.739,-510.0000,10.0000,22639.4682,31.6863,5241.4359,0.7831,13036134.506,10.929,33659.080,10.180,N,1983,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,10,Be,,,,,,0,,,,4.35,,17,ms,0.00435,0.00017,B-,100,,B-N,81,4,B-2N,5,2,,,,,,16290.8166,133.9357,15321.2364,132.2489,-11667.5601,161.5842,,,1775.8951,132.6364,24315.3634,149.6300,4993.8973,9.4461,14042892.92,141.970,39954.502,132.245,N,1973,1-JUL-1990,F. AJZENBERG-SELOVE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,11,Be,,,,,,0,,,(5/2+),0.58,,20,MeV,7.866167501230788e-22,2.7124715521485475e-22,N,100,,,,,,,,,,,,,20868.4411,167.1256,18090.8166,167.1489,,,,,-1800.0000,100.0000,,,4540.9708,11.0532,15053490.215,177.990,49825.821,165.797,N,2013,31-MARCH-2015,J. Kelley,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
4,12,Be,,,,,,0,,,0+,0.8,,2,MeV,5.702971438392321e-22,1.4257428595980803e-22,N,100,,,,,,,,,,,,,20335.4399,167.6075,20418.4411,167.1256,,,,,450.0000,141.4214,,,4285.2851,10.3623,16061672.036,177.990,57447.139,165.797,N,2012,29-SEPT-2014,J. Kelley,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
