z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
5,2,B,,,,,,0,,,(3/2-),801,,20,keV,5.695851623862494e-22,1.4221851744975015e-23,P,100,,,,,,,,3/2,,,,,,,,,-3415,2000,11907.555,25.15,27715,2003,-2012.5479,25.7336,3558.7055,3.5929,7029712,27.000,27676.553,25.150,N,1967,01-June-2014,J. Kelley and  C.G. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,3,B,,,,,,0,,,2+,770,,3,ms,0.77,0.003,EC+B+,100,,B+A,100,,,,,1,1.0355,0.0003,0.0643,0.0014,-12142.7002,18.2704,,,-4826.5368,212.1344,17979.897,1.001,12826.3018,25.1702,136.3997,1.0024,4717.1551,0.1250,8024607.315,1.073,22921.569,1.000,N,1950,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,4,B,,,,,,0,,,3/2-,0.54,,21,keV,8.448846575396032e-19,3.2856625570984566e-19,P,100,,,,,,,,1/2,,,,,-16494.4854,2.3195,-30719.1014,18.2653,-1687.3169,50.0081,1068.035,0.906,18576.4012,1.3470,-185.8431,0.9033,6257.0713,0.1003,9013329.645,0.969,12416.486,0.903,N,1940,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,5,B,2.4277,0.0499,19.65,0.44,,0,,,3+,STABLE,,,,,,,,,,,,,,,0,1.8004636,0.0000008,0.0846,0.0002,-3648.0623,0.0687,-24931.6787,2.1367,-4461.1857,0.0150,-556.876,0.082,8437.1932,0.9027,6586.8113,0.0779,6475.0835,0.0015,10012936.862,0.016,12050.611,0.015,N,1920,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,6,B,2.4060,0.0294,80.35,0.44,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,1/2,2.688378,0.000001,0.04059,0.0001,-1981.6889,0.0608,-15102.2829,0.0714,-8664.3124,0.0128,-11509.461,0.238,11454.2206,0.0192,11228.7495,0.0818,6927.7323,0.0011,11009305.166,0.013,8667.708,0.012,N,1920,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,7,B,,,,,,0,,,1+,20.20,,2,ms,0.0202,0.00002,B-,100,,B-A,0.6,0.02,,,,1,1.003,0.001,0.0132,0.0003,13369.3979,1.3214,-5351.3172,1.3228,-10001.3225,1.3223,-11708.363,2.321,3369.6283,1.3215,14096.7420,1.3426,6631.2237,0.1101,12014352.638,1.418,13369.398,1.321,N,1935,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,8,B,,,,,,0,,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,B-N,0.286,,,,,3/2,3.1778,0.0005,0.0365,0.0008,13436.9387,1.0001,8490.6300,1.0001,-10817.8729,1.0173,-17097.132,10.229,4878.7679,1.6572,15804.7845,2.1547,6496.4194,0.0769,13017779.981,1.073,16561.948,1.000,N,1956,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,9,B,,,,,,0,,,2-,12.5,,5,ms,0.0125,0.0005,B-,100,,B-N,6.1,,,,,2,1.185,0.005,0.0297,0.0008,20643.7926,21.2133,12467.3585,21.2133,-11813.8576,24.7353,-16290.816,133.936,969.5802,21.2369,17284.3647,23.5297,6101.6451,1.5152,14025404.01,22.773,23663.686,21.213,N,1966,1-JUL-1990,F. AJZENBERG-SELOVE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,10,B,,,,,,0,,,,9.93,,7,ms,0.00993,0.00007,B-,100,,B-N,99.68,,,,,,2.659,0.015,0.0379,0.0011,19084.2343,21.0442,17866.1681,21.0290,-14195.795,21.0379,-20868.442,167.125,2777.6245,29.8701,18286.0941,133.9066,5880.0438,1.4019,15031087.023,22.575,28957.379,21.029,N,1966,1-Jul-1990,F. AJZENBERG-SELOVE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
5,11,B,,,,,,0,,,,100,LT,,keV,4.5623771507138576e-21,0,N,100,,,,,,,,,,,,,23417.5656,24.8254,19167.2355,24.5793,-14322.7938,38.7799,-20335.44,167.60,-83.0012,14.6047,20003.0929,167.6075,5507.3535,1.5354,16039841.045,26.373,37111.699,24.566,N,2000,16-Jan-2016,J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
