property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Trigonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
space_group,R_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,Número de grupo espacial: 166.,B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
lattice_constants,"506, 506, 506",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
lattice_angles,"1.01334, 1.01334, 1.01334",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
thermal_conductivity,27,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
electrical_conductivity,1e-10,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
electrical_resistivity,10000,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
electrical_type,Insulator,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
magnetic_susceptibility_mass,-8.7e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
magnetic_susceptibility_molar,-9.41e-11,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
magnetic_susceptibility_volume,-2.14e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
bulk_modulus,320,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
mohs_hardness,9.3,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
vickers_hardness,49000,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
speed_of_sound,16200,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
thermal_expansion,6e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Boron,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",B-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,506,506,506,1.01334,1.01334,1.01334
