obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""6.152""","=""0.003""","=""6.152""","=""0.003""","=""10a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""201.54""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",4,2,,"=""""","=""L11176""",
"=""6.152""","=""0.003""","=""6.152""","=""0.003""","=""10a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""201.54""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",2,2,,"=""""","=""L11176""",
"=""6.195""","=""0.003""","=""6.195""","=""0.003""","=""40a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""200.14""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L11176""",
"=""6.195""","=""0.003""","=""6.195""","=""0.003""","=""40a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""200.14""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L11176""",
"=""6.213""","=""0.003""","=""6.213""","=""0.003""","=""30a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""199.55""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",4,2,,"=""""","=""L11176""",
"=""6.213""","=""0.003""","=""6.213""","=""0.003""","=""30a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""199.55""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",2,2,,"=""""","=""L11176""",
"=""6.234""","=""0.003""","=""6.234""","=""0.003""","=""10a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""198.88""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""""","=""L11176""",
"=""6.234""","=""0.003""","=""6.234""","=""0.003""","=""10a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""198.88""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""""","=""L11176""",
"=""6.245""","=""0.003""","=""6.245""","=""0.003""","=""30a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""198.54""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",4,10,,"=""""","=""L11176""",
"=""6.245""","=""0.003""","=""6.245""","=""0.003""","=""30a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""198.54""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",2,10,,"=""""","=""L11176""",
"=""6.256""","=""0.003""","=""6.256""","=""0.003""","=""30a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""198.19""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L11176""",
"=""6.256""","=""0.003""","=""6.256""","=""0.003""","=""30a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""198.19""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L11176""",
"=""6.462""","=""0.003""","=""6.462""","=""0.003""","=""40a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""191.87""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",4,2,,"=""""","=""L11176""",
"=""6.462""","=""0.003""","=""6.462""","=""0.003""","=""40a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""191.87""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",2,2,,"=""""","=""L11176""",
"=""6.501""","=""0.003""","=""6.501""","=""0.003""","=""100a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""190.71""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",4,10,,"=""""","=""L11176""",
"=""6.501""","=""0.003""","=""6.501""","=""0.003""","=""100a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""190.71""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",2,10,,"=""""","=""L11176""",
"=""6.506""","=""0.003""","=""6.506""","=""0.003""","=""80a*""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""190.58""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L11176""",
"=""6.506""","=""0.003""","=""6.506""","=""0.003""","=""80a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""190.58""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L11176""",
"=""99.3380""","=""0.0008""","=""99.3380""","=""0.0008""","=""a""","=""""","=""""","=""""","=""""",,"=""0.0018953""","=""12.48294""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).6p""","=""2P""","=""3/2""",4,4,,"=""""","=""L3744""",
