property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
lattice_constants,"429.06, 429.06, 429.06",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
thermal_conductivity,140,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
electrical_conductivity,21,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
electrical_resistivity,4.699999999998e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
magnetic_susceptibility_mass,8.8e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
magnetic_susceptibility_molar,2e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
magnetic_susceptibility_volume,8.6e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
bulk_modulus,6.3,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
shear_modulus,3.3,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
young_modulus,10,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
mohs_hardness,0.5,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
brinell_hardness,0.69,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
speed_of_sound,3200,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
thermal_expansion,7e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Na-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,429.06,429.06,429.06,π/2,π/2,π/2
