property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Tetrahedral Packing,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
space_group,Fd_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,Número de grupo espacial: 227.,Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
lattice_constants,"543.09, 543.09, 543.09",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
thermal_conductivity,150,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
electrical_conductivity,0.001,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
electrical_resistivity,0.001,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
electrical_type,Semiconductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
magnetic_susceptibility_mass,-1.6e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
magnetic_susceptibility_molar,-4.49e-11,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
magnetic_susceptibility_volume,-3.73e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Silicon,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Si-reference,elemento puro · condiciones de referencia,Tetrahedral Packing,Fd_3m,543.09,543.09,543.09,π/2,π/2,π/2
