property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Orthorhombic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
space_group,Fddd,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,Número de grupo espacial: 70.,S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
lattice_constants,"1043.7, 1284.5, 2436.9",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
thermal_conductivity,0.205,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
electrical_conductivity,1e-21,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
electrical_resistivity,1000000000000000,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
electrical_type,Insulator,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
magnetic_susceptibility_mass,-6.2e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
magnetic_susceptibility_molar,-1.99e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
magnetic_susceptibility_volume,-1.22e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
bulk_modulus,7.7,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
mohs_hardness,2,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Sulfur,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",S-reference,elemento puro · condiciones de referencia,Face-centered Orthorhombic,Fddd,1043.7,1284.5,2436.9,π/2,π/2,π/2
