property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Base Orthorhombic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
space_group,Cmca,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,Número de grupo espacial: 64.,Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
lattice_constants,"622.35, 445.61, 817.85",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
thermal_conductivity,0.0089,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
electrical_conductivity,1e-08,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
electrical_resistivity,100,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
electrical_type,Insulator,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
magnetic_susceptibility_mass,-7.2e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
magnetic_susceptibility_molar,-5.11e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
magnetic_susceptibility_volume,-2.31e-08,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
bulk_modulus,1.1,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
speed_of_sound,206,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Chlorine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Cl-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,622.35,445.61,817.85,π/2,π/2,π/2
