property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
lattice_constants,"558.84, 558.84, 558.84",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
thermal_conductivity,200,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
electrical_conductivity,29,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
electrical_resistivity,3.399999999999e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
magnetic_susceptibility_mass,1.38e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
magnetic_susceptibility_molar,5.531e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
magnetic_susceptibility_volume,2.139e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
bulk_modulus,17,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
shear_modulus,7.4,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
young_modulus,20,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
poisson_ratio,0.31,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
mohs_hardness,1.75,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
brinell_hardness,167,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
speed_of_sound,3810,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
thermal_expansion,2.23e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Calcium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ca-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,558.84,558.84,558.84,π/2,π/2,π/2
