property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
lattice_constants,"303, 303, 303",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
thermal_conductivity,31,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
electrical_conductivity,5,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
electrical_resistivity,2e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
magnetic_susceptibility_mass,6.28e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
magnetic_susceptibility_molar,3.199e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0003837,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
superconducting_point,5.4,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
bulk_modulus,160,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
shear_modulus,47,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
young_modulus,128,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
poisson_ratio,0.37,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
mohs_hardness,7,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
vickers_hardness,628,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
brinell_hardness,628,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
speed_of_sound,4560,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
thermal_expansion,8.4e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Vanadium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",V-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,303,303,303,π/2,π/2,π/2
