property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
space_group,I_43m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,Número de grupo espacial: 217.,Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
lattice_constants,"891.25, 891.25, 891.25",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
thermal_conductivity,7.8,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
electrical_conductivity,0.62,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
electrical_resistivity,1.6e-06,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
magnetic_susceptibility_mass,1.21e-07,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
magnetic_susceptibility_molar,6.6475e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
magnetic_susceptibility_volume,0.00090387,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
neel_point,100,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
bulk_modulus,120,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
young_modulus,198,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
mohs_hardness,6,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
brinell_hardness,196,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
speed_of_sound,5150,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
thermal_expansion,2.17e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Manganese,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mn-reference,elemento puro · condiciones de referencia,Body-centered Cubic,I_43m,891.25,891.25,891.25,π/2,π/2,π/2
