property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
lattice_constants,"352.4, 352.4, 352.4",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
thermal_conductivity,91,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
electrical_conductivity,14,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
electrical_resistivity,7.000000000002e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
magnetic_type,ferromagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
curie_point,631,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
bulk_modulus,180,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
shear_modulus,76,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Nickel,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ni-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,352.4,352.4,352.4,π/2,π/2,π/2
