property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Base Orthorhombic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
space_group,Cmca,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 64.,Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
lattice_constants,"451.97, 766.33, 452.6",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
thermal_conductivity,29,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
electrical_conductivity,7.1,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
electrical_resistivity,1.4e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
magnetic_susceptibility_mass,-3e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
magnetic_susceptibility_molar,-2.09e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
magnetic_susceptibility_volume,-1.77e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Gallium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ga-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,451.97,766.33,452.6,π/2,π/2,π/2
