property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
lattice_constants,"565.75, 565.75, 565.75",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
thermal_conductivity,60,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
electrical_conductivity,0.002,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
electrical_resistivity,0.0005,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
electrical_type,Semiconductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
magnetic_susceptibility_mass,-1.5e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
magnetic_susceptibility_molar,-1.09e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
magnetic_susceptibility_volume,-7.98e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
mohs_hardness,6,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
speed_of_sound,5400,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
thermal_expansion,6e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Germanium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ge-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,565.75,565.75,565.75,π/2,π/2,π/2
