property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Monoclinic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
space_group,P121/c1,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 14.,Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
lattice_constants,"905.4, 908.3, 1160.1",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
lattice_angles,"π/2, 1.58493, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
thermal_conductivity,0.52,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
magnetic_susceptibility_mass,-4e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
magnetic_susceptibility_molar,-3.16e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
magnetic_susceptibility_volume,-1.93e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
bulk_modulus,8.3,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
shear_modulus,3.7,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
young_modulus,10,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
poisson_ratio,0.33,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
mohs_hardness,2,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
brinell_hardness,736,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
speed_of_sound,3350,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Selenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Se-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/c1,905.4,908.3,1160.1,π/2,1.58493,π/2
