property,value,unit,source,source_url,retrieved_at,notes
atomic_mass,79.90,u,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-10T13:14:56+00:00,Valor publicado por PubChem.
electron_configuration,[Ar]4s2 3d10 4p5,,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-10T13:14:56+00:00,Configuración electrónica.
electronegativity,2.96,Pauling,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-10T13:14:56+00:00,Escala de Pauling cuando se proporciona.
atomic_radius,183,pm,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-10T13:14:56+00:00,Radio atómico publicado por PubChem.
ionization_energy,11.814,eV,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-10T13:14:56+00:00,Primera energía de ionización cuando se proporciona.
electron_affinity,3.365,eV,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-10T13:14:56+00:00,Afinidad electrónica cuando se proporciona.
standard_atomic_weight,"[79.901, 79.907]",u,CIAAW / IUPAC,https://www.ciaaw.org/atomic-weights.htm,2026-07-10T13:14:59+00:00,"Se conserva la notación publicada, incluidos intervalos o valores entre corchetes."
electron_configuration_abbreviated,[Ar]4s2 3d10 4p5,,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-24T20:02:59+00:00,Configuración abreviada conservada desde el registro local de PubChem.
outer_shell_electron_count,7,electrones,TablaElementos · derivación,,2026-07-24T20:02:59+00:00,Suma de ocupaciones con el mayor número cuántico principal n.
valence_shell_configuration,4s2 4p5,,TablaElementos · derivación,,2026-07-24T20:02:59+00:00,Subconjunto de la configuración electrónica según el bloque p.
valence_electron_count,7,electrones,TablaElementos · convención documentada,,2026-07-24T20:02:59+00:00,Conteo periódico del bloque p.
common_valences,"+5, +1, -1",,PubChem Periodic Table / interpretación histórica,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-24T20:02:59+00:00,Presentación provisional basada en estados de oxidación publicados. No equivale estrictamente a valencia IUPAC.
van_der_waals_radius,183,pm,PubChem Periodic Table,https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/JSON,2026-07-24T20:02:59+00:00,El campo AtomicRadius de la tabla periódica PubChem se conserva explícitamente como radio de Van der Waals; revisar la definición de la fuente para cada versión.
