property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Base Orthorhombic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
space_group,Cmca,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,Número de grupo espacial: 64.,Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
lattice_constants,"672.65, 464.51, 870.23",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
thermal_conductivity,0.12,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
electrical_conductivity,1e-16,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
electrical_resistivity,10000000000,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
electrical_type,Insulator,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
magnetic_susceptibility_mass,-4.9e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
magnetic_susceptibility_molar,-7.83e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
magnetic_susceptibility_volume,-1.53e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
bulk_modulus,1.9,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bromine,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Br-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmca,672.65,464.51,870.23,π/2,π/2,π/2
