property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
lattice_constants,"558.5, 558.5, 558.5",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
thermal_conductivity,58,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
electrical_conductivity,8.3,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
electrical_resistivity,1.2e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
magnetic_susceptibility_mass,2.6e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
magnetic_susceptibility_molar,2.22e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
magnetic_susceptibility_volume,3.98e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
bulk_modulus,2.5,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rubidium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rb-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,558.5,558.5,558.5,π/2,π/2,π/2
