property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
lattice_constants,"608.49, 608.49, 608.49",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
thermal_conductivity,35,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
electrical_conductivity,7.7,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
electrical_resistivity,1.3e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
magnetic_susceptibility_mass,1.32e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
magnetic_susceptibility_molar,1.16e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
magnetic_susceptibility_volume,3.47e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
shear_modulus,6.1,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
poisson_ratio,0.28,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
mohs_hardness,1.5,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
thermal_expansion,2.25e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Strontium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sr-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,608.49,608.49,608.49,π/2,π/2,π/2
