property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Hexagonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
space_group,P63/mmc,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 194.,Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
lattice_constants,"323.2, 323.2, 514.7",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
thermal_conductivity,23,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
electrical_conductivity,2.4,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
electrical_resistivity,4.2e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
magnetic_susceptibility_mass,1.68e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
magnetic_susceptibility_molar,1.53e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
magnetic_susceptibility_volume,0.000109,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
superconducting_point,0.61,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
shear_modulus,33,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
young_modulus,68,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
poisson_ratio,0.34,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
mohs_hardness,5,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
vickers_hardness,903,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Zirconium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Zr-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,323.2,323.2,514.7,π/2,π/2,2 π/3
