z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
41,40,Nb,,,,,,0,,,,200,LT,,ns,0.0000002,,EC+B+,,,,,,,,,,,,,,-14900,640,,,-2347,448,11164.418,410.493,16011,565,-1110,500,8248,5,80950230,429,-46360,400,Y,,15-Aug-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,41,Nb,,,,,,0,,,(0+),50,,6,ms,0.05,0.006,EC+B+,100,,ECP,,,,,,1,,,,,-11440,500,-28421,583,-2062,423,11804.063,300.004,13521,500,1574,314,8312,4,81944380,322,-51810,300,Y,1992,1-Mar-2019,J. K. TULI and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,42,Nb,,,,,,0,,,(5/2+),3.9,,2,s,3.9,0.2,EC+B+,100,,,,,,,,,,,,,-11273,432,-25314,431,-2234.8911,180.7963,8298.749,162.207,13875,341,1287.8181,162.0877,8378.9889,1.9528,82938150,174.000,-57612.910,162.080,N,1988,31-Dec-2014,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,43,Nb,,,,,,0,,,(1+ 2+ 3+),9.8,,9,s,9.8,0.9,EC+B+,100,,ECP,,,,,,,,,,,-7024,298,-22925,401,-2470.5959,6.2550,10227.85,5.51,11652.2503,162.0805,2571.1540,6.4422,8417.9563,0.0048,83934305.711,0.430,-61193.842,0.401,N,1977,30-Sep-2009,D. Abriola and M. Galan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,44,Nb,,,,,,0,,,(9/2+),20.5,,12,s,20.5,1.2,EC+B+,100,,,,,,,,,,,,,-8769.9238,16.3572,-20181,298,-2991.6814,6.7834,6895.512,7.625,13157.1597,4.1181,2146.9631,6.8581,8473.7117,0.0482,84928845.836,4.400,-66279.684,4.099,N,1988,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,45,Nb,,,,,,0,,,(6+),88,,1,s,88,1,EC+B+,100,,,,,,,,,,,,,-5023.1337,6.2316,-19695.6185,16.7630,-3494.8792,7.7723,8834.962,6.554,10925.6947,6.8582,3247.8357,8.4566,8502.2231,0.0639,85925781.536,5.903,-69134.061,5.499,N,1974,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,46,Nb,,,,,,0,,,(1/2)-,3.7,,1,m,222,6,EC+B+,100,,,,,,,,,7,0.9,,,-6989.6757,7.3781,-17834.8839,7.4073,-4093.7368,19.8321,5472.654,7.966,12811.7502,8.7432,3194.4405,7.6789,8551.7579,0.0782,86920692.473,7.302,-73874.493,6.802,N,1971,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,47,Nb,,,,,,0,,,(8+),14.50,,11,m,870,6.6,EC+B+,100,,,,,,,,,,,,,-3485.0021,57.9345,-17358.0560,57.8791,-4702.0317,57.9678,7457.319,58.06,10368.3802,58.2068,4113.3796,57.9566,8572.4013,0.6569,87918226.476,62.059,-76171.555,57.808,N,1964,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,48,Nb,,,,,,0,,,(9/2+),2.03,,7,h,7308,252,EC+B+,100,,,,,,,,,6.216,0.005,,,-5610.8105,23.9513,-16010.5197,23.9362,-5208.5392,30.2992,4252.219,23.793,12525.5176,62.4514,4285.8519,24.2395,8616.8184,0.2655,88913444.696,25.367,-80625.755,23.630,N,1954,20-Oct-2012,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
41,49,Nb,4.2891,0.0040,,,,0,,,8+,14.60,,5,h,52560,180,EC+B+,100,,,,,,,,,4.946,0.004,0.01,0.04,-2489.0165,3.3163,-15717.9047,5.1293,-5803.3469,14.5260,6111.016,3.319,10107.0942,23.8613,5072.5281,4.3274,8633.377,0.0369,89911259.201,3.561,-82661.531,3.317,N,1951,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
