z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
42,39,Mo,,,,,,0,,,,450,GT,,ns,0.00000045,,ECP,,,EC+B+,,,,,,,,,,,,,,,-2285,640,14900.0,640.3,,,329,640,8054,6,80966226,537,-31460,500,Y,2013,31-MAR-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,40,Mo,,,,,,0,,,0+,?,,,,,,EC+B+,100,,ECP,,,,,,,,,,,,,,,-1945,565,11440.0,500.0,16981,640,1299,565,8163,5,81956661,429,-40370,400,Y,2013,1-Mar-2019,J. K. TULI and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,41,Mo,,,,,,0,,,,6,,+30-3,ms,0.006,0.0165,EC+B+,100,,,,,,,,,,,,,-15020,641,,,-1995,500,11272.91,432.51,14041,566,1819,500,8234,5,82950252,430,-46340,401,Y,1999,31-Dec-2014,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,42,Mo,,,,,,0,,,0+,2.3,,3,s,2.3,0.3,EC+B+,100,,ECP,,,,,,0,,,,,-16470,499,-30922,582,-1835,423,7023.842,298.0,15901,499,3846,339,8325,4,83941846,320,-54170,298,Y,1991,30-Sep-2009,B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,43,Mo,,,,,,0,,,(1/2-),3.2,,2,s,3.2,0.2,EC+B+,100,,ECP,0.14,0.02,,,,,,,,,-11660,400,-27881,400,-2410.2578,93.5676,8769.924,16.357,11411,298,3604.8889,15.8405,8361.332,0.1863,84938260.736,17.000,-57509.760,15.835,N,1992,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,44,Mo,,,,,,0,,,0+,19.1,,3,s,19.1,0.3,EC+B+,100,,,,,,,,,,,,,-12541,300,-26332,400,-2921.7797,3.3321,5023.134,6.232,14672.4849,16.1045,5120.2140,5.0392,8434.7175,0.0341,85931174.092,3.147,-64110.927,2.932,N,1991,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,45,Mo,,,,,,0,,,(7/2+),14.1,,3,s,14.1,0.3,EC+B+,100,,B+P,15,8,,,,,,,,,-9194.7656,5.0729,-23386,300,-3398.0735,7.0360,6989.676,7.378,10845.2082,4.0938,5039.7275,6.1968,8462.4243,0.0328,86928196.198,3.067,-66884.817,2.857,N,1977,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,46,Mo,,,,,,0,,,0+,8.0,,2,m,480,12,EC+B+,100,,,,,,,,,,,,,-11016.2515,5.6021,-23067.8195,5.6706,-3689.7767,6.6949,3485.002,57.934,13873.0539,4.7696,6101.0311,7.8012,8523.9087,0.0434,87921967.779,4.100,-72686.553,3.819,N,1971,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,47,Mo,,,,,,0,,,(9/2+),2.11,,10,m,126.6,6,EC+B+,100,,,,,,,,,8.3,0.4,,,-7620.0875,5.4673,-21415.9607,5.6661,-4264.6639,7.5265,5610.811,23.952,10399.7092,5.4673,6132.3601,57.9407,8544.9851,0.0440,88919468.149,4.200,-75014.944,3.912,N,1980,30-Nov-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,48,Mo,4.3265,0.0016,,,,0,,,0+,5.56,,9,h,20016,324,EC+B+,100,,,,,,,,,-1.391,0.014,0.61,0.03,-9447.8181,3.6110,-20848.9757,5.1551,-4628.4067,4.9702,2489.017,4.795,13228.8882,5.2245,6835.7307,23.8819,8597.0285,0.0385,89913931.27,3.717,-80172.514,3.463,N,1953,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,49,Mo,4.3182,0.0012,,,,0,,,9/2+,15.49,,1,m,929.4,0.6,EC+B+,100,,,,,,,,,-0.931,0.003,,,-6222.1768,6.6706,-19555.4560,6.3217,-5286.6035,7.4900,4429.194,6.89,10107.6379,7.1346,6836.2744,7.0652,8613.6286,0.0686,90911745.19,6.696,-82208.834,6.238,N,1948,1-Sep-2013,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,50,Mo,4.3151,0.0012,14.649,0.106,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.3,0.3,,,-7882.8841,3.1063,-18893.2478,2.3679,-5604.6291,5.4055,-355.297,1.791,12671.0710,6.2392,7459.5306,2.9299,8657.7312,0.0017,91906807.153,0.168,-86808.587,0.157,N,1930,15-Sep-2012,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,51,Mo,,,,,,0,,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,,,,,,,,9.93,0.08,,,-3200.9629,1.0040,-15952.6941,3.1076,-4354.0211,2.7854,405.761,1.501,8069.8100,0.0900,7642.7597,1.7934,8651.4095,0.0020,92906808.772,0.193,-86807.079,0.181,N,1946,15-Dec-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,52,Mo,4.3529,0.0013,9.187,0.033,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-4255.7476,4.0687,-12879.2813,1.0220,-2066.4479,0.1838,-2045.016,1.498,9678.3184,0.2292,8490.2105,1.4929,8662.3341,0.0015,93905083.586,0.151,-88414.079,0.141,N,1930,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,53,Mo,4.3628,0.0018,15.873,0.030,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.9132,0.0003,-0.022,0.001,-1690.5175,5.0782,-11624.8587,4.0698,-2241.1963,0.1555,-925.6,0.5,7369.1111,0.0944,8631.7804,1.4935,8648.7212,0.0013,94905837.436,0.132,-87711.872,0.123,N,1930,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,54,Mo,4.3847,0.0015,16.673,0.008,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.79,0.06,-0.2,0.08,-2973.2411,5.1450,-10844.8526,5.0784,-2760.7814,0.1522,-3192.059,0.19,9154.3350,0.0491,9297.5889,0.4961,8653.988,0.0013,95904674.77,0.128,-88794.889,0.120,N,1930,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,55,Mo,4.3880,0.0015,9.582,0.015,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.9324,0.0003,0.255,0.013,-320.264,4.1169,-9794.3703,5.1475,-2847.5887,0.4843,-1941.903,4.247,6821.1292,0.1630,9230.8411,0.1897,8635.0926,0.0017,96906016.903,0.176,-87544.700,0.165,N,1930,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,56,Mo,4.4091,0.0018,24.292,0.080,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.97,0.06,-0.26,0.09,-1683.7664,3.3768,-8962.8619,4.1173,-3271.5647,0.2388,-4591.368,5.004,8642.5979,0.0647,9802.1547,4.2440,8635.1691,0.0018,97905403.609,0.186,-88115.980,0.174,N,1930,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
42,57,Mo,,,,,,0,,,1/2+,65.924,,6,h,237326.4,21.6,B-,100,,,,,,,,,0.375,0.003,,,1357.7631,0.8905,-7609.2104,3.3771,-2735.0817,0.8985,-3634.762,12.006,5925.4439,0.1497,9734.4650,5.0054,8607.7982,0.0023,98907707.299,0.245,-85970.106,0.229,N,1948,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
