z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
43,42,Tc,,,,,,0,,,,100,LT,,ns,0.0000001,,P,,,,,,,,,,,,,,-15220,640,,,-1914,565,11659.76,400.31,16221,565,-1031,499,8215,5,84950778,429,-45850,400,Y,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,43,Tc,,,,,,0,,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,ECP,,,,,,1,,,,,-11800,500,-29011,583,-2186,424,12540.927,300.014,13792,500,1350,300,8280,3,85944637,322,-51570,300,Y,1992,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,44,Tc,,,,,,0,,,(9/2+),2.2,,2,s,2.2,0.2,EC+B+,100,,,,,,,,,,,,,-11960,400,-25991,400,-2502.0572,162.1342,9194.765,5.073,14191,300,868.0955,5.1153,8347.7449,0.0482,86938067.185,4.500,-57690.052,4.192,N,1991,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,45,Tc,,,,,X,,,0,(5+ 6+ 7+),6.4,,8,s,6.4,0.8,EC+B+,100,,ECP,,,,,,,,,,,-7331,300,-24012,400,-2901.3749,4.1181,11016.252,5.602,12051.5680,5.8625,2074.4554,4.9962,8389.8338,0.0466,87933794.211,4.400,-61670.301,4.099,N,1991,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,46,Tc,,,,,,0,,,(9/2+),12.8,,9,s,12.8,0.9,EC+B+,100,,,,,,,,,,,,,-9025.4327,24.5181,-21127,300,-3540.0884,5.6021,7620.087,5.467,13795.8732,5.6021,1997.2747,5.4011,8450.5758,0.0429,88927648.649,4.100,-67394.857,3.819,N,1991,30-Nov-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,47,Tc,,,,,,0,,,(8+),49.2,,4,s,49.2,0.4,EC,100,,,,,,,,,,,,,-5840.8951,3.8685,-20426.5903,24.2405,-4015.5513,5.5935,9447.818,3.612,11401.1576,3.9542,2998.7231,4.0442,8483.36,0.0114,89924073.919,1.100,-70724.696,1.025,N,1974,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,48,Tc,,,,,,0,,,(9/2)+,3.14,,2,m,188.4,1.2,EC+B+,100,,,,,,,,,,,,,-7746.8246,3.2422,-19174.1743,4.4157,-4537.0803,7.2008,6222.177,6.671,13333.2792,2.5754,3103.1142,4.1919,8536.6558,0.0260,90918424.972,2.536,-75986.657,2.363,N,1974,1-Sep-2013,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,49,Tc,,,,,,0,,,(8)+,4.25,,15,m,255,9,EC+B+,100,,,,,,,,,,,,,-4624.4922,4.1246,-18757.1883,3.8153,-5179.0638,57.8917,7882.884,3.106,11010.3637,3.8997,4005.8399,6.9670,8563.544,0.0337,91915269.777,3.330,-78925.703,3.102,N,1964,15-Sep-2012,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,50,Tc,,,,,,0,,,9/2+,2.75,,5,h,9900,180,EC+B+,100,,,,,,,,,6.32,0.06,,,-6389.3929,2.2995,-17376.2234,2.9003,-5405.2773,23.6513,3200.963,1.028,12751.7312,3.2633,4086.5001,1.0000,8608.5782,0.0109,92910245.147,1.086,-83606.116,1.012,N,1948,15-Dec-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,51,Tc,,,,,,0,,,7+,293,,1,m,17580,60,EC+B+,100,,,,,,,,,5.12,0.05,,,-1574.7296,5.1433,-15012.9266,4.5648,-3921.7168,5.2514,4255.747,4.073,8623.5337,4.1951,4640.2238,4.0751,8608.7373,0.0433,93909652.319,4.370,-84158.332,4.071,N,1948,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,52,Tc,,,,,,0,,,9/2+,20.0,,1,h,72000,360,EC+B+,100,,,,,,,,,5.94,0.06,,,-2563.5961,10.5310,-11509.0708,5.9735,-1808.2432,5.8620,1690.517,5.081,9934.3412,6.5078,4896.2466,5.0791,8622.6911,0.0535,94907652.281,5.453,-86021.355,5.080,N,1947,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,53,Tc,,,,,,0,,,7+,4.28,,7,d,369792,6048,EC+B+,100,,,,,,,,,5.09,0.05,,,258.7369,5.1464,-10435.2076,10.8046,-1793.2738,5.4467,2973.241,5.147,7871.6114,7.2292,5398.7469,5.1452,8614.8673,0.0536,95907866.675,5.524,-85821.648,5.146,N,1947,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,54,Tc,,,,,,0,,,9/2+,4.21E+6,,16,Y,132854658353032.31,5049108155934.72,EC,100,,,,,,,,,5.82,0.09,,,-1103.8722,4.9563,-9215.3694,4.1185,-2436.5124,4.3784,320.264,4.121,9474.1063,6.5892,5718.5182,4.1167,8623.7254,0.0425,96906360.72,4.420,-87224.436,4.118,N,1946,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,55,Tc,,,,,,0,,,(6)+,4.2E+6,,3,Y,132539089093286.4,9467077792377.6,B-,100,,,,,,,,,,,,,1792.6575,7.1568,-8382.9677,4.3638,-2488.0667,3.6936,1683.766,3.384,7279.0955,5.3244,6176.4845,3.3769,8610.0047,0.0345,97907211.206,3.628,-86432.214,3.380,N,1955,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,56,Tc,,,,,,0,,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,,,,,,,,5.678,0.002,-0.129,0.006,297.5156,0.9453,-7174.3159,6.5196,-2966.5136,1.0353,-1357.763,0.936,8966.9734,3.3570,6500.8600,0.8978,8613.6105,0.0092,98906249.681,0.974,-87327.869,0.908,N,1938,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,57,Tc,,,,,,0,,,1+,15.65,,12,s,15.65,0.12,B-,99.9974,0.0004,EC,0.0026,0.0004,,,,,,,,,3206.4401,1.3760,-6466.8844,1.3761,-2843.0366,1.3549,172.078,1.384,6764.4000,1.0000,7339.8160,1.3390,8595.1184,0.0135,99907652.715,1.450,-86020.951,1.351,N,1952,31-Jan-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,58,Tc,,,,,,0,,,9/2+,14.22,,1,m,853.2,0.6,B-,100,,,,,,,,,,,,,1613.52,24.0000,-5188.5195,24.0011,-3166.7118,24.3759,-2824.641,24.006,8394.9596,24.0405,7440.5350,24.0017,8593.1366,0.2377,100907305.271,25.768,-86344.593,24.004,N,1941,1-Jul-2006,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,59,Tc,,,,,,0,,,1+,5.28,,15,s,5.28,0.15,B-,100,,,,,,,,,,,,,4533.5134,9.1646,-4686.1267,9.1646,-3473.225,10.4417,-1012.055,12.369,6299.6467,25.6903,8341.9408,9.1646,8570.6514,0.0899,101909207.239,9.840,-84572.921,9.166,N,1954,31-Dec-2008,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,60,Tc,,,,,,0,,,5/2+,54.2,,8,s,54.2,0.8,B-,100,,,,,,,,,,,,,2663.2474,9.8086,-3568.8036,9.8088,-4693.4923,15.4992,-3649.589,13.465,8102.3170,13.0480,8332.0257,12.8531,8566.1045,0.0952,102909173.96,10.531,-84603.920,9.810,N,1957,1-Mar-2009,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,61,Tc,,,,,,0,,,(3+),18.3,,3,m,1098,18,B-,100,,,,,,,,,,,,,5596.7945,24.9370,-3303.1194,24.8889,-5132.6391,26.1329,-2155.221,26.433,5966.3668,26.6806,8833.6086,26.5399,8541.107,0.2393,103911433.718,26.716,-82498.969,24.886,N,1956,30-Mar-2007,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,62,Tc,,,,,,0,,,(3/2-),7.64,,6,m,458.4,3.6,B-,100,,,,,,,,,,,,,3648.2396,35.2787,-2261.8580,35.2787,-5819.7313,35.4604,-4955.515,36.407,7858.6525,43.1423,9231.5267,36.3692,8534.6074,0.3358,104911662.024,37.856,-82286.303,35.263,N,1955,1-Apr-2019,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,63,Tc,,,,,,0,,,(1 2),35.6,,6,s,35.6,0.6,B-,100,,,,,,,,,,,,,6547,11.0000,-1913.0277,12.2883,-5902.9035,12.5045,-3648.25,15.27,5561.2672,37.3008,9734.4360,15.2306,8506.557,0.1156,105914356.674,13.150,-79776.253,12.250,N,1965,1-May-2007,D. DE FRENNE AND A. NEGRET,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,64,Tc,,,,,,0,,,(3/2-),21.2,,2,s,21.2,0.2,B-,100,,,,,,,,,,,,,5112.5985,11.7243,-498.0325,9.9433,-6146.2153,9.5125,-6204.992,12.66,7045.0325,14.8280,9910.9349,12.5922,8492.8979,0.0811,106915458.437,9.310,-78749.967,8.673,N,1965,1-Mar-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,65,Tc,,,,,,0,,,(2)+,5.17,,7,s,5.17,0.07,B-,100,,,,,,,,,,,,,7738.5736,11.7903,-131.5831,11.7903,-6536.7498,8.9487,-5173.534,12.726,5244.1816,11.7903,10666.8267,12.7262,8462.8172,0.0812,107918493.493,9.413,-75922.831,8.769,N,1970,1-Jul-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,66,Tc,,,,,,0,,,(5/2+),0.91,,3,s,0.91,0.03,B-,100,,B-N,0.08,0.02,,,,,,,,,6455.6267,12.6574,1307.2575,12.4699,-6792.1978,10.4646,-7623.543,14.78,6431.3160,12.5320,10822.5021,13.3626,8444.1796,0.0887,108920254.107,10.380,-74282.828,9.669,N,1976,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
43,67,Tc,,,,,,0,,,(2 3+),0.900,,13,s,0.9,0.013,B-,100,,B-N,0.04,0.02,,,,,,,,,9038.0654,12.5086,1632.5736,12.5209,-7256.8012,9.6006,-6498.75,26.01,4823.0531,13.0423,11664.2500,14.6682,8411.2603,0.0863,109923741.263,10.195,-71034.564,9.497,N,1976,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
