z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
44,41,Ru,,,,,,0,,,,450,GT,,ns,0.00000045,,P,,,ECP,,,EC+B+,,,,,,,,,,,,-1595,707,15220.0,640.3,,,219,640,8027,6,84967117,537,-30630,500,Y,2013,31-MAR-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,42,Ru,,,,,,0,,,0+,438,GT,,ns,0.000000438,,EC+B+,,,ECP,,,,,,,,,,,,,,,-1825,565,11800.0,500.0,17211,640,1209,565,8133,5,85957305,429,-39770,400,Y,2013,31-MAR-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,43,Ru,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1815,566,11960.052,400.022,14031,565,1449,500,8201,5,86950907,429,-45730,400,Y,1995,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,44,Ru,,,,,,0,,,0+,1.2,,+3-2,s,1.2,0.25,EC+B+,100,,ECP,,,,,,,,,,,-17479,500,,,-2594,423,7330.301,300.028,16681,500,3939,300,8298,3,87941664,322,-54340,300,Y,1994,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,45,Ru,,,,,,0,,,(9/2+),1.32,,3,s,1.32,0.03,EC+B+,100,,ECP,3.1,0.2,,,,,,,,,-12719,361,-29581,400,-3284.5795,28.9364,9025.433,24.518,12101,301,3988.0935,24.5632,8340.376,0.2721,88937337.849,26.000,-58369.424,24.219,N,1992,30-Nov-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,46,Ru,,,,,,0,,,0+,11.7,,9,s,11.7,0.9,EC+B+,100,,,,,,,,,,,,,-13250,200,-27304,361,-3197.7899,4.7446,5840.895,3.868,14585.6952,24.5045,4777.9155,5.3387,8409.7684,0.0414,89930344.378,4.004,-64883.801,3.730,N,1991,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,47,Ru,,,,,,0,,,(9/2+),8.0,,4,s,8,0.4,EC+B+,100,,,,,,,,,,,,,-9670,298,-24677,200,-3779.9314,3.6188,7746.824,3.243,11427.3497,4.3414,4804.1076,2.4458,8442.9287,0.0244,90926741.53,2.384,-68239.833,2.221,N,1983,1-Sep-2013,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,48,Ru,,,,,,0,,,0+,3.65,,5,m,219,3,EC+B+,100,,,,,,,,,,,,,-11302.1155,5.1531,-23803,298,-4039.5737,4.6875,4624.492,4.124,14132.6961,3.5099,5603.5245,3.6014,8504.774,0.0295,91920234.373,2.917,-74301.211,2.718,N,1971,15-Sep-2012,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,49,Ru,,,,,,0,,,(9/2)+,59.7,,6,s,59.7,0.6,EC+B+,100,,,,,,,,,,,,,-8204.9136,3.3425,-22288.9461,4.8405,-4626.695,4.4237,6389.393,2.3,10986.8305,3.4133,5579.9913,3.7266,8531.4627,0.0222,92917104.442,2.216,-77216.723,2.065,N,1972,15-Dec-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,50,Ru,,,,,,0,,,0+,51.8,,6,m,3108,36,EC+B+,100,,,,,,,,,12.4,0.17,,,-9675.9789,4.6150,-21643.1107,4.0974,-4836.0038,4.6763,1574.73,5.14,13438.1970,3.7606,6266.4572,3.3021,8583.662,0.0334,93911342.86,3.374,-82583.602,3.143,N,1952,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,51,Ru,,,,,,0,,,5/2+,1.643,,13,h,5914.8,46.8,EC+B+,100,,,,,,,,,0.861,0.007,,,-5117.1423,10.2656,-18621.4535,10.0848,-3673.8405,11.3665,2563.596,10.775,8945.4746,10.0082,6588.3981,10.3361,8587.4706,0.1000,94910404.415,10.200,-83457.759,9.502,N,1948,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,52,Ru,4.3908,0.0047,5.54,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.3,0.3,-0.15,0.08,-6392.6529,10.0000,-15811.0867,3.8895,-1696.7139,0.2313,-258.737,5.149,10693.9444,9.5004,7348.0013,5.0798,8609.413,0.0018,95907588.91,0.182,-86080.385,0.170,N,1931,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,53,Ru,,,,,,0,,,5/2+,2.83,,23,d,244512,19872,EC+B+,100,,,,,,,,,-0.787,0.008,,,-3523,35.3553,-14504.1501,10.3732,-1738.4011,2.7686,1103.872,4.959,8111.4972,2.7574,7587.8871,5.8386,8604.2799,0.0285,96907545.776,2.965,-86120.564,2.763,N,1946,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
44,54,Ru,4.4229,0.0055,1.87,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-5049.6529,10.0000,-13698.6252,36.0471,-2235.708,6.4640,-1792.657,7.293,10175.6252,7.0282,8289.4060,7.6627,8620.314,0.0659,97905286.709,6.937,-88224.871,6.463,N,1944,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
