obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""207.709""","=""207.7103+""","=""2400""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.969093""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""""","=""31*""","=""4""",11,9,,"=""""","=""L3475""",
"=""208.443""","=""208.4445+""","=""2600""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""6.095689""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""""","=""47*""","=""4""",9,9,,"=""""","=""L3475""",
"=""209.155""","=""""","=""2400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""225.622""","=""225.6226+""","=""690""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.495204""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d6.5s.(a 4D).5p""","=""x 5F*""","=""5""",11,11,,"=""""","=""L3475""",
"=""226.023""","=""226.0220+""","=""290""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.485494""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d6.5s.(a 4D).5p""","=""w 5D*""","=""4""",11,9,,"=""""","=""L3475""",
"=""227.279""","=""227.2800+""","=""780""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.455131""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""""","=""2*(5G*)""","=""6""",11,13,,"=""""","=""L3475""",
"=""227.889""","=""227.8903+""","=""240""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""5.588141""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d6.5s.(a 4D).5p""","=""w 5D*""","=""3""",9,7,,"=""""","=""L3475""",
"=""228.0288""","=""""","=""780""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""228.609""","=""228.6090+""","=""170""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.423417""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""""","=""w 3G*""","=""5""",11,11,,"=""""","=""L3475""",
"=""230.325""","=""230.3247+""","=""290""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""5.530639""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d6.5s.(a 4D).5p""","=""x 5F*""","=""4""",9,9,,"=""""","=""L3475""",
"=""231.851""","=""231.8509+""","=""480""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""5.495204""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d6.5s.(a 4D).5p""","=""x 5F*""","=""5""",9,11,,"=""""","=""L3475""",
"=""232.272""","=""232.2727+""","=""150""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""5.485494""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d6.5s.(a 4D).5p""","=""w 5D*""","=""4""",9,9,,"=""""","=""L3475""",
"=""234.141""","=""234.1412+""","=""240""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""5.554593""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d6.5s.(a 4D).5p""","=""x 5F*""","=""3""",7,7,,"=""""","=""L3475""",
"=""235.006""","=""235.0056+""","=""190""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""5.423417""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""""","=""w 3G*""","=""5""",9,11,,"=""""","=""L3475""",
"=""235.205""","=""235.2052+""","=""310""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""5.530639""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d6.5s.(a 4D).5p""","=""x 5F*""","=""4""",7,9,,"=""""","=""L3475""",
"=""236.128""","=""236.1272+""","=""140""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""5.510055""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""""","=""4*""","=""3""",7,7,,"=""""","=""L3475""",
"=""237.089""","=""237.0895+""","=""170""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""5.565824""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""""","=""5*(5G*)""","=""2""",5,5,,"=""""","=""L3475""",
"=""237.600""","=""237.5998+""","=""240""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""5.554593""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d6.5s.(a 4D).5p""","=""x 5F*""","=""3""",5,7,,"=""""","=""L3475""",
"=""239.315""","=""239.3151+""","=""160""","=""""","=""""","=""""","=""""",,"=""0.385032""","=""5.565824""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""""","=""5*(5G*)""","=""2""",3,5,,"=""""","=""L3475""",
"=""241.161""","=""""","=""55""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""242.1561""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""242.366""","=""242.3644+""","=""55""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""6.112902?""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""""","=""48*""","=""3""",5,7,,"=""""","=""L3475""",
"=""243.034""","=""243.0325+""","=""45""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""6.164765""","=""4d6.5s2""","=""a 5D""","=""3""","=""""","=""52*""","=""4""",7,9,,"=""""","=""L3475""",
"=""243.367""","=""243.3664+""","=""65""","=""""","=""""","=""""","=""""",,"=""0.811480""","=""5.906028""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""""","=""23*""","=""3""",9,7,,"=""""","=""L3475""",
"=""244.819""","=""244.8183+""","=""30""","=""""","=""""","=""""","=""""",,"=""1.176904""","=""6.241239""","=""4d6.5s2""","=""a 5D""","=""0""","=""""","=""58*""","=""1""",1,3,,"=""""","=""L3475""",
"=""245.132""","=""245.1323+""","=""30""","=""""","=""""","=""""","=""""",,"=""0.811480""","=""5.869328""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).6p?""","=""s 3D*""","=""3""",9,7,,"=""""","=""L3475""",
"=""245.566""","=""245.5664+""","=""65""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""6.046199""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""""","=""40*""","=""3""",5,7,,"=""""","=""L3475""",
"=""245.936""","=""245.9365+""","=""65w""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.969093""","=""4d6.5s2""","=""a 5D""","=""4""","=""""","=""31*""","=""4""",9,9,,"=""""","=""L3475""",
"=""246.369""","=""246.3683+""","=""55""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""6.095689""","=""4d6.5s2""","=""a 5D""","=""3""","=""""","=""47*""","=""4""",7,9,,"=""""","=""L3475""",
"=""246.545""","=""246.5444+""","=""85""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""6.026170""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""""","=""39*""","=""1""",5,3,,"=""""","=""L3475""",
"=""247.479""","=""247.4778+""","=""30""","=""""","=""""","=""""","=""""",,"=""1.192764""","=""6.202677""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""""","=""56*""","=""2""",3,5,,"=""""","=""L3475""",
"=""247.616""","=""247.6150+""","=""110""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.934919""","=""4d6.5s2""","=""a 5D""","=""4""","=""""","=""28*""","=""3""",9,7,,"=""""","=""L3475""",
"=""247.763""","=""247.7615+""","=""100""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""6.001466""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""""","=""34*""","=""3""",5,7,,"=""""","=""L3475""",
"=""249.066""","=""249.0661+""","=""30""","=""""","=""""","=""""","=""""",,"=""0.811480""","=""5.789445""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""""","=""14*""","=""4""",9,9,,"=""""","=""L3475""",
"=""249.253""","=""249.2509+""","=""18""","=""""","=""""","=""""","=""""",,"=""1.138629""","=""6.112902?""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""""","=""48*""","=""3""",5,7,,"=""""","=""L3475""",
"=""249.477""","=""249.4775+""","=""85""","=""""","=""""","=""""","=""""",,"=""1.123004""","=""6.092760""","=""4d6.5s2""","=""a 5D""","=""2""","=""""","=""46*""","=""3""",5,7,,"=""""","=""L3475""",
"=""249.731""","=""249.7314+""","=""65""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.892484""","=""4d6.5s2""","=""a 5D""","=""4""","=""""","=""22*""","=""3""",9,7,,"=""""","=""L3475""",
"=""250.0538""","=""""","=""85""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""250.903""","=""250.9017+""","=""130""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.869328""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).6p?""","=""s 3D*""","=""3""",9,7,,"=""""","=""L3475""",
"=""250.9822""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""251.357""","=""251.3559+""","=""110""","=""""","=""""","=""""","=""""",,"=""1.002303""","=""5.934919""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""""","=""28*""","=""3""",7,7,,"=""""","=""L3475""",
"=""254.498""","=""254.4987+""","=""280""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""5.934919""","=""4d6.5s2""","=""a 5D""","=""3""","=""""","=""28*""","=""3""",7,7,,"=""""","=""L3475""",
"=""254.743""","=""254.7433+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.002303""","=""5.869328""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).6p?""","=""s 3D*""","=""3""",7,7,,"=""""","=""L3475""",
"=""255.025""","=""255.0243+""","=""280""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.789445""","=""4d6.5s2""","=""a 5D""","=""4""","=""""","=""14*""","=""4""",9,9,,"=""""","=""L3475""",
"=""255.035""","=""255.0336+""","=""550""","=""""","=""""","=""""","=""""",,"=""0.811480""","=""5.672965""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).6p?""","=""w 3F*""","=""4""",9,9,,"=""""","=""L3475""",
"=""256.103""","=""256.1022+""","=""130""","=""""","=""""","=""""","=""""",,"=""1.087457""","=""5.928657""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""""","=""27*""","=""4""",7,9,,"=""""","=""L3475""",
"=""256.1613""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""256.392""","=""256.3915+""","=""110""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""5.833028""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""""","=""16*""","=""3""",5,7,,"=""""","=""L3475""",
"=""256.954""","=""256.9537+""","=""160""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.752939""","=""4d6.5s2""","=""a 5D""","=""4""","=""""","=""13*""","=""4""",9,9,,"=""""","=""L3475""",
"=""257.1743""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16319""",
"=""257.934""","=""257.9335+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""5.870044""","=""4d6.5s2""","=""a 5D""","=""3""","=""""","=""20*(5D*)""","=""2""",7,5,,"=""""","=""L3475""",
"=""258.030""","=""258.0302+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.087457""","=""5.892484""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""""","=""22*""","=""3""",7,7,,"=""""","=""L3475""",
"=""259.034""","=""259.0334+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.138629""","=""5.925046""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""""","=""25*""","=""3""",5,7,,"=""""","=""L3475""",
"=""259.189""","=""259.1892+""","=""170""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""5.846758""","=""4d6.5s2""","=""a 5D""","=""3""","=""""","=""17*""","=""4""",7,9,,"=""""","=""L3475""",
"=""259.280""","=""259.2797+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.087457""","=""5.869328""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d7.(a 4F).6p?""","=""s 3D*""","=""3""",7,7,,"=""""","=""L3475""",
"=""259.448""","=""259.4470+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.589067""","=""6.367854""","=""4d7.(a 2G).5s""","=""a 3G""","=""4""","=""""","=""61*""","=""4""",9,9,,"=""""","=""L3475""",
"=""259.563""","=""259.5625+""","=""110""","=""""","=""""","=""""","=""""",,"=""0.811480""","=""5.588141""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d6.5s.(a 4D).5p""","=""w 5D*""","=""3""",9,7,,"=""""","=""L3475""",
"=""260.984""","=""260.9844+""","=""370""","=""""","=""""","=""""","=""""",,"=""1.002303""","=""5.752939""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""""","=""13*""","=""4""",7,9,,"=""""","=""L3475""",
"=""261.285""","=""261.2843+""","=""830""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.672965""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).6p?""","=""w 3F*""","=""4""",9,9,,"=""""","=""L3475""",
"=""261.587""","=""261.5871+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""5.802907""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d6.5s.(b 4P).5p""","=""x 5P*""","=""2""",7,5,,"=""""","=""L3475""",
"=""263.208""","=""263.2085+""","=""220""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""5.638277""","=""4d6.5s2""","=""a 5D""","=""4""","=""""","=""6*""","=""3""",9,7,,"=""""","=""L3475""",
