z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
45,44,Rh,,,,,,0,,,,120,LT,,ns,0.00000012,,P,,,EC+B+,,,ECP,,,,,,,,,,,,-2226,538,12718.424,361.811,16862,538,-1400,200,8189,4,88950992,387,-45651,361,Y,,30-Nov-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,45,Rh,,,,,,0,,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,ECP,0.7,,,,,,,,,,-11924,447,,,-2488,361,13249.801,200.035,14054,412,553,201,8254,2,89944569,215,-51634,200,Y,1994,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,46,Rh,,,,,,0,,,(9/2+),1.47,,22,s,1.47,0.22,EC+B+,100,,B+P,1.3,0.5,,,,,,,,,-12400,300,-26931,499,-3304,298,9669.833,298.008,15007,359,975,298,8328,3,90937123,320,-58570,298,Y,1994,1-Sep-2013,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,47,Rh,,,,,,0,,,(GE6+),4.66,,25,s,4.66,0.25,EC+B+,100,,B+P,1.9,,,,,,,,,,-8220,345.0000,-24901,423,-3753.7096,5.9971,11302.116,5.153,12501,298,2048.2336,4.9091,8373.4211,0.0476,91932367.692,4.700,-62999.095,4.378,N,1994,15-Sep-2012,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,48,Rh,,,,,,0,,,(9/2+),12.2,,7,s,12.2,0.7,EC+B+,100,,,,,,,,,,,,,-10030,370.0000,-22304.0324,345.0378,-4041.8688,4.6363,8204.913,3.343,14084.0324,5.1065,1999.5699,3.7811,8434.8255,0.0283,92925912.778,2.821,-69011.810,2.629,N,1994,15-Dec-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,49,Rh,,,,,,0,,,(4+),70.6,,6,s,70.6,0.6,EC+B+,100,,ECP,1.8,0.5,,,,,,,,,-6805.3428,5.4588,-21997.1318,370.0248,-4607.843,3.5311,9675.979,4.615,11967.1318,4.2812,2979.8712,3.9601,8472.4033,0.0359,93921730.45,3.627,-72907.623,3.379,N,1979,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,50,Rh,,,,,,0,,,9/2+,5.02,,10,m,301.2,6,EC+B+,100,,,,,,,,,10.9,0.3,,,-8374.7035,4.9281,-20309.6540,5.7861,-4778.875,4.5477,5117.143,10.266,13504.3112,5.1495,3045.9853,4.9978,8525.3707,0.0409,94915897.893,4.171,-78340.616,3.886,N,1967,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,51,Rh,,,,,,0,,,6+,9.90,,10,m,594,6,EC+B+,100,,,,,,,,,,,,,-3504.3127,10.8442,-17793.1374,10.4495,-3186.9451,10.4716,6392.653,10.002,9418.4338,10.7298,3518.9445,13.7934,8534.6735,0.1042,95914451.705,10.737,-79687.732,10.001,N,1967,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,52,Rh,,,,,,0,,,9/2+,30.7,,6,m,1842,36,EC+B+,100,,,,,,,,,,,,,-4791.7118,35.7924,-14485.4628,35.7099,-1416.364,35.4776,3523.0,35.5,10981.1501,36.8457,3806.1502,35.4627,8559.8949,0.3656,96911327.872,38.071,-82597.564,35.463,N,1955,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
45,53,Rh,,,,,,0,,,(2)+,8.72,,12,m,523.2,7.2,EC+B+,100,,,,,,,,,,,,,-1854.2331,12.8161,-13440.6841,12.8541,-1441.8027,12.5832,5049.652,13.547,8648.9723,37.4085,4343.6253,12.2228,8560.8038,0.1215,97910707.734,12.782,-83175.219,11.906,N,1955,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
