property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
lattice_constants,"380.34, 380.34, 380.34",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
thermal_conductivity,150,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
electrical_conductivity,23,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
electrical_resistivity,4.300000000003e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
magnetic_susceptibility_mass,1.36e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
magnetic_susceptibility_molar,1.4e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0001693,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
bulk_modulus,380,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
shear_modulus,150,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
young_modulus,275,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
poisson_ratio,0.26,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
mohs_hardness,6,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
vickers_hardness,1246,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
brinell_hardness,1100,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
speed_of_sound,4700,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
thermal_expansion,8e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhodium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Rh-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,380.34,380.34,380.34,π/2,π/2,π/2
