obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""228.928""","=""228.9269""","=""140""","=""""","=""""","=""""","=""""",,"=""0.322115""","=""5.738000""","=""4d8.(3F).5s""","=""a 4F""","=""5/2""","=""""","=""21*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""231.053""","=""231.0526""","=""110""","=""""","=""""","=""""","=""""",,"=""0.430557""","=""5.796616""","=""4d8.(3F).5s""","=""a 4F""","=""3/2""","=""""","=""23*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""231.907""","=""231.9083""","=""55""","=""""","=""""","=""""","=""""",,"=""0.705590""","=""6.051851""","=""4d8.(3F).5s""","=""a 2F""","=""7/2""","=""""","=""26*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""231.981""","=""231.9821""","=""95""","=""""","=""""","=""""","=""""",,"=""0.705590""","=""6.050149""","=""4d8.(3F).5s""","=""a 2F""","=""7/2""","=""""","=""25*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""232.244""","=""232.2441""","=""95""","=""""","=""""","=""""","=""""",,"=""0.189692""","=""5.528222""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""17*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""232.329""","=""232.3295""","=""350""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.336566""","=""4d8.(3F).5s""","=""a 4F""","=""9/2""","=""""","=""15*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""232.718""","=""232.7193""","=""140""","=""""","=""""","=""""","=""""",,"=""0.410370""","=""5.738000""","=""4d9""","=""a 2D""","=""5/2""","=""""","=""21*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""232.935""","=""232.9362""","=""80""","=""""","=""""","=""""","=""""",,"=""0.965989""","=""6.288657""","=""4d8.(3F).5s""","=""a 2F""","=""5/2""","=""""","=""29*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""234.613""","=""""","=""55""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""235.319""","=""235.3191""","=""55""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.268768""","=""4d8.(3F).5s""","=""a 4F""","=""9/2""","=""""","=""14*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""235.990""","=""235.9895""","=""55""","=""""","=""""","=""""","=""""",,"=""0.189692""","=""5.443493""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""4d8.(1G).5p""","=""x 2F*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""236.264""","=""236.2644""","=""300""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.247688""","=""4d8.(3F).5s""","=""a 4F""","=""9/2""","=""""","=""13*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""236.906""","=""236.9066""","=""110""","=""""","=""""","=""""","=""""",,"=""0.430557""","=""5.664021""","=""4d8.(3F).5s""","=""a 4F""","=""3/2""","=""""","=""20*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""238.362""","=""238.3616""","=""270""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.201518""","=""4d8.(3F).5s""","=""a 4F""","=""9/2""","=""""","=""12*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""238.413""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""238.538""","=""238.5378""","=""40""","=""""","=""""","=""""","=""""",,"=""0.965989""","=""6.163664""","=""4d8.(3F).5s""","=""a 2F""","=""5/2""","=""""","=""27*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""240.861""","=""240.8619""","=""80""","=""""","=""""","=""""","=""""",,"=""0.189692""","=""5.337215""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""16*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""240.892""","=""240.8922""","=""27""","=""""","=""""","=""""","=""""",,"=""0.189692""","=""5.336566""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""15*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""241.098""","=""241.0986""","=""27""","=""""","=""""","=""""","=""""",,"=""0.410370""","=""5.552839""","=""4d9""","=""a 2D""","=""5/2""","=""""","=""19*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""242.049""","=""242.0488""","=""45""","=""""","=""""","=""""","=""""",,"=""0.430557""","=""5.552839""","=""4d8.(3F).5s""","=""a 4F""","=""3/2""","=""""","=""19*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""242.842""","=""242.8420""","=""130""","=""""","=""""","=""""","=""""",,"=""0.322115""","=""5.427665""","=""4d8.(3F).5s""","=""a 4F""","=""5/2""","=""4d8.(1G).5p""","=""x 2F*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""243.026""","=""243.0255""","=""230""","=""""","=""""","=""""","=""""",,"=""0.430557""","=""5.532253""","=""4d8.(3F).5s""","=""a 4F""","=""3/2""","=""""","=""18*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""243.340""","=""243.3393""","=""40""","=""""","=""""","=""""","=""""",,"=""0.701499""","=""5.796616""","=""4d9""","=""a 2D""","=""3/2""","=""""","=""23*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""243.782""","=""243.7821""","=""18""","=""""","=""""","=""""","=""""",,"=""0.965989""","=""6.051851""","=""4d8.(3F).5s""","=""a 2F""","=""5/2""","=""""","=""26*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""243.864""","=""243.8637""","=""110""","=""""","=""""","=""""","=""""",,"=""0.965989""","=""6.050149""","=""4d8.(3F).5s""","=""a 2F""","=""5/2""","=""""","=""25*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""244.108""","=""244.1078""","=""330""","=""""","=""""","=""""","=""""",,"=""0.189692""","=""5.268768""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""14*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""244.501""","=""""","=""50w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""244.958""","=""244.9577""","=""65""","=""""","=""""","=""""","=""""",,"=""0.322115""","=""5.383567""","=""4d8.(3F).5s""","=""a 4F""","=""5/2""","=""4d8.(1D).5p""","=""x 2D*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""244.978""","=""244.9772""","=""50""","=""""","=""""","=""""","=""""",,"=""0.705590""","=""5.766641""","=""4d8.(3F).5s""","=""a 2F""","=""7/2""","=""""","=""22*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""245.130""","=""245.1251""","=""75""","=""""","=""""","=""""","=""""",,"=""0.189692""","=""5.247688""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""13*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""246.436""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""247.114""","=""247.1137""","=""75""","=""""","=""""","=""""","=""""",,"=""0.410370""","=""5.427665""","=""4d9""","=""a 2D""","=""5/2""","=""4d8.(1G).5p""","=""x 2F*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""247.222""","=""247.2218""","=""90""","=""""","=""""","=""""","=""""",,"=""0.322115""","=""5.337215""","=""4d8.(3F).5s""","=""a 4F""","=""5/2""","=""""","=""16*""","=""7/2""",6,8,,"=""""","=""L3475""",
