z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
46,44,Pd,,,,,,0,,,0+,,,,,,,EC+B+,100,,2P,,,ECP,,,,,,,,,,,,-2364,565,11924.0,447.2,,,1348,538,8113,4,89957370,429,-39710,400,Y,2016,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,45,Pd,,,,,,0,,,,,,,,,,EC+B+,100,,,,,,,,,,,,,,,,,-2865,582,12400.0,517.4,14531,582,1825,468,8183,5,90950435,454,-46170,423,Y,1995,1-Sep-2013,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,46,Pd,,,,,,0,,,0+,1.0,,+3-2,s,1,0.25,EC+B+,100,,,,,,,,,,,,,-17249,528,,,-2864,457,8220.0,345.0,16681,546,3499,456,8275.5695,3.7503,91941192.225,370.402,-54779.095,345.028,N,1994,15-Sep-2012,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,47,Pd,,,,,,0,,,(9/2+),1.00,,9,s,1,0.09,EC+B+,100,,ECP,,,,,,,,,,,-12582,545,-29523,545,-3037.3015,370.8011,10030.0,370.0,12274.0324,505.9161,3271.6854,370.0352,8318.5637,3.9786,92936680.426,397.221,-58981.810,370.009,N,1994,15-Dec-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,48,Pd,,,,,,0,,,0+,9.0,,5,s,9,0.5,EC+B+,100,,,,,,,,,,,,,-13700,400,-27774,401,-3643.3953,5.6829,6805.342,5.459,15191.7890,370.0342,4379.4420,5.0289,8391.6832,0.0456,93929036.286,4.602,-66102.281,4.287,N,1982,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,49,Pd,,,,,,0,,,(9/2+),5,,3,s,5,3,EC+B+,100,,,,,,,,,,,,,-10060,400,-25635,400,-4150.9961,3.7563,8374.703,4.928,11934.9504,5.2466,4347.2606,4.5394,8428.9807,0.0319,94924888.506,3.253,-69965.913,3.031,N,1980,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,50,Pd,,,,,,0,,,0+,122,,2,s,122,2,EC+B+,100,,,,,,,,,10.97,0.06,,,-11671.7741,90.1814,-24349,400,-4307.1247,4.9979,3504.312,10.845,14288.8247,5.1708,5131.7742,5.7175,8490.0207,0.0437,95918213.739,4.502,-76183.420,4.194,N,1980,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,51,Pd,,,,,,0,,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,,,,,,,,,,,,-6901.8255,12.9558,-21365.5251,90.2140,-3014.0451,5.2655,4791.712,35.792,9693.7510,6.4073,5407.0913,11.1127,8502.4303,0.0499,96916471.985,5.200,-77805.852,4.844,N,1969,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,52,Pd,,,,,,0,,,0+,17.7,,4,m,1062,24,EC+B+,100,,,,,,,,,,,,,-8254.5607,33.0975,-18488.2765,12.9181,-1162.2991,5.6892,1854.234,12.816,11586.4510,6.7786,6012.3923,35.7788,8533.8999,0.0484,97912698.335,5.090,-81320.985,4.742,N,1955,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,53,Pd,,,,,,0,,,(5/2)+,21.4,,2,m,1284,12,EC+B+,100,,,,,,,,,,,,,-5470.3785,8.0829,-17187.7547,33.3012,-1150.0185,10.7859,3401.661,20.11,8933.1940,6.9691,6296.6139,12.9555,8537.9332,0.0516,98911773.073,5.482,-82182.861,5.107,N,1955,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
46,54,Pd,,,,,,0,,,0+,3.63,,9,d,313632,7776,EC,100,,,,,,,,,0.6,0.3,,,-7074.703,18.3319,-16571.5075,18.7166,-1557.2031,17.6370,378.458,25.29,11101.1290,18.3610,6917.1217,26.2557,8563.5652,0.1764,99908520.438,18.934,-85212.672,17.637,N,1948,31-Jan-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
