obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""244.86474""","=""244.86473""","=""1100""","=""1.11e+07""","=""2.99e-02""","=""2.41e-01""","=""-1.52""",,"=""0.0000000""","=""5.0633751""","=""4d10""","=""1S""","=""0""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""",1,3,,"=""T7227""","=""L9430""",
"=""247.71608""","=""247.71608""","=""1700""","=""1.18e+07""","=""3.26e-02""","=""2.66e-01""","=""-1.49""",,"=""0.0000000""","=""5.0050928""","=""4d10""","=""1S""","=""0""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""",1,3,,"=""T7227""","=""L9430""",
"=""276.39062""","=""276.39063""","=""1900""","=""1.69e+07""","=""5.81e-02""","=""5.28e-01""","=""-1.236""",,"=""0.0000000""","=""4.4858322""","=""4d10""","=""1S""","=""0""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""",1,3,,"=""T7227""","=""L9430""",
"=""292.33476""","=""292.33473""","=""520""","=""""","=""""","=""""","=""""",,"=""0.8138506""","=""5.0550230""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L9430""",
"=""300.35253""","=""300.35250""","=""650""","=""""","=""""","=""""","=""""",,"=""0.8138506""","=""4.9418069""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""",7,7,,"=""""","=""L9430""",
"=""301.06509""","=""301.06508""","=""45""","=""""","=""""","=""""","=""""",,"=""3.1121565""","=""7.2303425""","=""4d8.5s2""","=""3F""","=""4""","=""4d8.5s.(2F).5p""","=""3F*""","=""4""",9,9,,"=""""","=""L9430""",
"=""302.87900""","=""302.87900""","=""1500""","=""""","=""""","=""""","=""""",,"=""0.9615006""","=""5.0550230""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L9430""",
"=""306.61895""","=""306.61894""","=""1100""","=""""","=""""","=""""","=""""",,"=""0.9615006""","=""5.0050928""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L9430""",
"=""311.49412""","=""311.49411""","=""2600""","=""""","=""""","=""""","=""""",,"=""0.9615006""","=""4.9418069""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L9430""",
"=""314.372""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""324.36340""","=""324.36345""","=""11000""","=""7.7e+07""","=""1.2e-01""","=""9.1e+00""","=""-0.07""",,"=""0.8138506""","=""4.6362356""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""",7,7,,"=""T4266""","=""L9430""",
"=""325.25740""","=""325.25739""","=""2700""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""5.0633751""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L9430""",
"=""325.97162""","=""325.97161""","=""3500""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""5.0550230""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L9430""",
"=""328.81950""","=""328.81946""","=""460""","=""""","=""""","=""""","=""""",,"=""0.8138506""","=""4.5844364""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""",7,5,,"=""""","=""L9430""",
"=""330.30770""","=""330.30767""","=""3600""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""5.0050928""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L9430""",
"=""337.39631""","=""337.39629""","=""5000""","=""""","=""""","=""""","=""""",,"=""0.9615006""","=""4.6362356""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L9430""",
"=""340.55533""","=""340.55538""","=""24000""","=""1.34e+08""","=""3.00e-01""","=""2.35e+01""","=""0.32""",,"=""0.8138506""","=""4.4544978""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""",7,9,,"=""T4266""","=""L9430""",
"=""342.22026""","=""342.22025""","=""13000""","=""""","=""""","=""""","=""""",,"=""0.9615006""","=""4.5844364""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L9430""",
"=""343.44121""","=""343.44121""","=""5000""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""5.0633751""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""",5,3,,"=""""","=""L9430""",
"=""344.23759""","=""344.23762""","=""6400""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""5.0550230""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L9430""",
"=""346.17294""","=""346.17295""","=""7700""","=""3.0e+07""","=""5.4e-02""","=""4.3e+00""","=""-0.42""",,"=""0.8138506""","=""4.3954187""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""",7,7,,"=""T4266""","=""L9430""",
"=""348.21481""","=""348.21483""","=""10000""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""4.8120618""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""",3,5,,"=""""","=""L9430""",
"=""349.07687""","=""349.07685""","=""2000""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""5.0050928""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L9430""",
"=""351.79495""","=""351.79492""","=""12000""","=""1.03e+08""","=""1.15e-01""","=""6.64e+00""","=""-0.24""",,"=""0.9615006""","=""4.4858322""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""",5,3,,"=""T4266""","=""L9430""",
"=""355.40953""","=""355.40958""","=""12000""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""4.9418069""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L9430""",
"=""357.21686""","=""357.21685""","=""4500""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""4.7223340""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L9430""",
"=""361.05753""","=""361.05752""","=""20000""","=""8.2e+07""","=""2.2e-01""","=""1.3e+01""","=""0.05""",,"=""0.9615006""","=""4.3954187""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""",5,7,,"=""T4266""","=""L9430""",
"=""363.57244""","=""363.57252""","=""20000""","=""""","=""""","=""""","=""""",,"=""0.8138506""","=""4.2240148""","=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L9430""",
