z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
47,45,Ag,,,,,,0,,,,,,,,,,P,,,EC+B+,,,ECP,,,,,,,,,,,,-3095,565,17249.095,528.246,,,-1351,582,8080,4,91959710,429,-37530,400,Y,2016,31-JUL-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,46,Ag,,,,,,0,,,,228,,16,ns,0.000000228,0.000000016,P,,,EC+B+,,,ECP,,,,,,,,,,,,-3174,539,12581.81,545.62,16941,566,-1091,529,8175,4,92950188,430,-46400,401,Y,1994,31-JUL-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,47,Ag,,,,,,0,,,(0+),26,,+26-9,ms,0.026,0.0175,EC+B+,100,,ECP,,,,,,,,,,,-11962,640,,,-3193,447,13700.281,400.023,14074,566,709,545,8238,4,93943744,429,-52402,400,Y,1994,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,48,Ag,,,,,,0,,,(9/2+),1.75,,12,s,1.75,0.12,EC+B+,100,,ECP,,,,,,,,,,,-12850,400,-27537,640,-3761,499,10059.913,400.011,15575,566,1093,400,8315,4,94935688,429,-59906,400,Y,1994,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,49,Ag,,,,,X,0,,0,(8)+,4.40,,6,s,4.4,0.06,EC+B+,100,,ECP,8.5,1.5,,,,,,,,,-8940,400,-25527,573,-3937.4661,90.1902,11671.775,90.182,12677,410,1834.7036,90.1348,8360.2903,0.9384,95930743.903,96.708,-64511.645,90.084,N,1982,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,50,Ag,,,,,,0,,,(9/2+),25.5,,3,s,25.5,0.3,EC,100,,,,,,,,,6.13,0.12,,,-10170,420.0000,-23404,410,-4317.1333,12.3004,6901.825,12.956,14463.6996,90.8817,2009.5785,12.7272,8423.2121,0.1239,96923881.4,12.900,-70904.027,12.016,N,1978,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,51,Ag,,,,,,0,,,(6+),47.5,,3,s,47.5,0.3,EC+B+,100,,ECP,0.0011,0.0005,,,,,4.57,0.07,,,-5430,40.0000,-20403.7158,421.4585,-2583.7173,33.0803,8254.56,33.24,10233.7158,35.0325,2549.5433,33.2618,8441.6866,0.3358,97921559.97,35.327,-73066.425,32.907,N,1978,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,52,Ag,,,,,,0,,,(9/2)+,124,,3,s,124,3,EC+B+,100,,,,,,,,,5.81,0.03,,,-6781.3511,6.4622,-17147.3762,52.1741,-796.7823,7.3723,5470.378,8.083,11717.3762,33.4984,2680.4685,7.8575,8474.7744,0.0633,98917645.766,6.725,-76712.483,6.265,N,1967,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,53,Ag,,,,,,0,,,(5)+,2.01,,10,m,120.6,6,EC+B+,100,,,,,,,,,4.37,0.03,,,-3943.374,5.2735,-16278.1556,5.2446,-875.1531,11.1816,7074.703,18.332,9496.8046,8.0156,3244.0791,7.1470,8484.9947,0.0500,99916115.443,5.367,-78137.969,5.000,N,1970,31-Jan-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
47,54,Ag,4.4799,0.0088,,,,0,,,9/2+,11.1,,3,m,666,18,EC+B+,100,,,,,,,,,5.619,0.011,0.35,0.05,-5497.9186,5.0625,-15211.1068,5.1205,-1161.7358,35.7916,4097.761,6.668,11267.7328,6.9575,3410.6828,18.2885,8512.5465,0.0479,100912683.951,5.193,-81334.384,4.838,N,1966,1-Jul-2006,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
