obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""150.737""","=""150.7370""","=""0.0014""","=""50r,h""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""8.22520""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""4D*""","=""3/2""",2,4,,"=""""","=""L3326""",
"=""151.563""","=""151.5629""","=""0.0023""","=""100r,h""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""8.18038""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3326""",
"=""154.858""","=""154.8575""","=""0.0010""","=""50r,h""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""8.00634""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""4D*""","=""1/2""",2,2,,"=""""","=""L3326""",
"=""165.187""","=""165.1870""","=""0.0003""","=""60w""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""7.505687""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""4P*""","=""1/2""",2,2,,"=""""","=""L2489""",
"=""170.811""","=""""","=""""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3326""",
"=""170.926""","=""170.926771""","=""0.000015""","=""50""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""7.2536442""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""",2,4,,"=""""","=""L3326""",
"=""176.620""","=""176.613304""","=""0.000009""","=""10w""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""7.0200939""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.8p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3326""",
"=""184.773""","=""184.770792""","=""0.000007""","=""20""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""6.71016219""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.7p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3326""",
"=""206.1821""","=""206.1821214""","=""0.0000017""","=""200""","=""3.1e+06""","=""4.0e-03""","=""5.4e-02""","=""-2.10""",D,"=""0.0000000000""","=""6.01333411""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.6p""","=""2P*""","=""3/2""",2,4,,"=""T4515""","=""L11755""",
"=""207.0505""","=""207.050457""","=""0.000013""","=""100""","=""1.5e+06""","=""9.6e-04""","=""1.3e-02""","=""-2.71""",D,"=""0.0000000000""","=""5.98811517""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.6p""","=""2P*""","=""1/2""",2,2,,"=""T4515""","=""L11755""",
"=""217.068""","=""""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3326""",
"=""231.027""","=""231.026""","=""0.004""","=""30w""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""9.11625""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(1D).5p""","=""2D*""","=""5/2""",6,6,,"=""""","=""L3326""",
"=""231.331""","=""231.331""","=""0.003""","=""10w""","=""""","=""""","=""""","=""""",,"=""4.304015538""","=""9.66361""","=""4d9.5s2""","=""2D""","=""3/2""","=""4d9.5s.(1D).5p""","=""2D*""","=""3/2""",4,4,,"=""""","=""L3326""",
"=""237.574""","=""237.5748""","=""0.0017""","=""50w""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""8.96831""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(1D).5p""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3326""",
