z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
48,46,Cd,,,,,,0,,,0+,760,GT,,ns,0.00000076,,ECP,,,EC+B+,,,,,,,,,,,,,,,-3155,640,11962.0,640.3,,,1329,641,8102,5,93956586,537,-40440,500,Y,2016,31-JUL-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,47,Cd,,,,,,0,,,,32,,3,ms,0.032,0.003,B+,100,,B+P,4.5,,,,,,,,,,,,,,-3311,706,12850.0,693.0,14687,755,1943,693,8171,6,94949483,607,-47056,566,Y,2011,31-JAN-2021,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,48,Cd,,,,,,0,,,0+,1.03,,+24-21,s,1.03,0.225,EC+B+,100,,,,,,,,,,,,,-17482,647,,,-3217,536,8939.645,419.78,16587,699,2955,573,8259,4,95940341,440,-55572,410,Y,2008,15-FEB-2010,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,49,Cd,,,,,,0,,,(9/2+),2.8,,6,s,2.8,0.6,EC,100,,ECP,,,,,,,,,,,-13344,580,-30716,653,-4177.1333,559.8672,10170.0,420.3,13234,587,3511.3526,429.7202,8310.3013,4.3317,96934799.343,451.073,-60734.027,420.172,N,1978,19-Nov-2009,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,50,Cd,,,,,,0,,,0+,9.3,,1,s,9.3,0.1,EC+B+,100,,ECP,0.029,,,,,1,,,,,-13730,300,-28318,404,-3959.0601,51.9737,5430.0,61.3,14973.7158,423.3524,4021.3688,53.1722,8378.2953,0.5285,97927389.315,55.605,-67636.425,51.797,N,1978,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,51,Cd,,,,,,0,,,(5/2+),16,,3,s,16,3,EC+B+,100,,B+P,0.17,,B+A,0.0001,,,,,,,-8555,298,-24096,304,-2390.1348,3.4198,6781.351,6.462,10366.0252,51.8208,4153.6782,32.9453,8398.3734,0.0160,98924925.845,1.700,-69931.132,1.584,N,1978,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,52,Cd,,,,,,0,,,0+,49.1,,5,s,49.1,0.5,EC+B+,100,,,,,,,,,9.9,0.5,,,-10016.4492,2.7945,-20890,298,-436.0917,4.5169,3943.374,5.274,12334.7816,2.3063,4771.0836,6.4856,8437.7375,0.0168,99920348.829,1.800,-74194.595,1.677,N,1970,31-Jan-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,53,Cd,,,,,,0,,,(5/2+),1.36,,5,m,81.6,3,EC+B+,100,,,,,,,,,-0.897,0.0004,-0.177,0.007,-7291.5642,11.7569,-19729.6375,2.6868,-455.529,5.0679,5497.918,5.062,9713.1882,2.2433,4987.4673,5.2172,8450.3657,0.0148,100918586.209,1.600,-75836.466,1.490,N,1969,1-Jul-2006,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,54,Cd,4.4810,0.0122,,,,0,,,0+,5.5,,5,m,330,30,EC+B+,100,,,,,,,,,10.3,0.2,,,-8964.8059,4.8654,-19186.1182,11.7799,-763.632,5.0251,2587.0,8.3,11894.5540,2.2327,5614.2885,5.1158,8484.1322,0.0163,101914481.797,1.784,-79659.702,1.662,N,1969,31-Dec-2008,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
48,55,Cd,4.4951,0.0105,,,,0,,,(5/2)+,7.3,,1,m,438,6,EC+B+,100,,,,,,,,,-0.8486,0.0004,-0.007,0.003,-6019.2293,9.1242,-18028.0487,4.9179,-893.6808,5.4179,4151.076,4.481,9063.2428,2.4578,5693.8958,8.3690,8489.7547,0.0176,102913416.922,1.943,-80651.626,1.811,N,1960,1-Mar-2009,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
