z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
49,47,In,,,,,,0,,,,,,,,,,P,,,EC+B+,,,ECP,,,,,,,,,,,,-2985,640,17482.0,646.6,,,-1677,755,8069,5,95959109,537,-38090,500,Y,2016,31-JUL-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,48,In,,,,,,0,,,(9/2+),36,,6,ms,0.036,0.006,B+,100,,B+P,1.7,,,,,,,,,,,,,,-3415,566,13344.027,580.815,17371,641,-893,573,8165,4,96949125,430,-47390,401,Y,2011,04-DEC-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,49,In,,,,,,0,,,(0+),30,,1,ms,0.03,0.001,EC+B+,100,,ECP,0.13,,,,,1,,,,,,,,,-3929,503,13730.425,308.381,14588,503,461,519,8230,3,97942129,327,-53906,304,Y,1994,15-Feb-2020,Jun Chen and  Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,50,In,,,,,,0,,,,3.1,,2,s,3.1,0.2,B+P,0.9,0.4,,,,,,,,,,,,-13400,500,,,-3895,499,8555.132,298.004,15541,426,1029,303,8304,3,98934110,320,-61376,298,Y,1994,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,51,In,,,,,,0,,,(6+),5.65,,6,s,5.65,0.06,EC+B+,100,,ECP,1.66,0.03,,,,,,,,,-7030,240.0000,-24273,582,-2091.4166,90.1116,10016.449,2.795,10873,298,1535.9854,2.7396,8329.7495,0.0224,99931101.929,2.400,-64178.146,2.236,N,1982,31-Jan-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,52,In,,,,,,0,,,(9/2+),15.1,,3,s,15.1,0.3,EC+B+,100,,B+P,,,,,,,,,,,-8239.277,300.2313,-19468.0733,240.2936,-65.7903,16.7449,7291.565,11.757,12438.0733,11.8744,1639.2770,11.7819,8370.426,0.1155,100926414.025,12.519,-68544.901,11.662,N,1988,1-Jul-2006,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,53,In,,,,,,0,,,(6+),23.3,,1,s,23.3,0.1,EC+B+,100,,B+P,0.0093,0.0013,,,,,,,,,-5760,100.0000,-18460.5893,300.0395,-53.3868,33.2235,8964.806,4.866,10221.3123,12.5265,2147.4011,4.8096,8388.5719,0.0448,101924105.911,4.909,-70694.896,4.573,N,1981,31-Dec-2008,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,54,In,,,,,,0,,,(9/2)+,65,,7,s,65,7,EC+B+,100,,,,,,,,,,,,,-7540,100,-17768.8195,100.5065,-344.83,10.9499,6019.229,9.161,12008.8195,10.0776,2261.6666,9.1330,8423.7199,0.0872,102919878.83,9.640,-74632.397,8.980,N,1978,1-Mar-2009,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,55,In,4.5184,0.0117,,,,0,,,(6+),1.80,,3,m,108,1.8,EC+B+,100,,,,,,,,,4.43,0.02,0.63,0.1,-4555.6174,8.1461,-17162,101,-469.6211,7.6389,7785.716,6.012,9621.5957,10.6772,2820.0194,6.0524,8435.238,0.0555,103918214.538,6.200,-76182.675,5.775,N,1977,30-Mar-2007,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,56,In,4.5311,0.0103,,,,0,,,9/2+,5.07,,7,m,304.2,4.2,EC+B+,100,,,,,,,,,5.667,0.005,0.79,0.05,-6302.5807,10.9891,-16084.8430,11.7471,-731.1138,11.3313,4693.267,10.34,11529.2255,11.7619,2961.1619,10.3821,8464.7045,0.0976,104914502.322,11.000,-79640.582,10.246,N,1975,1-Apr-2019,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,57,In,4.5375,0.0095,,,,0,,,7+,6.2,,1,m,372,6,EC+B+,100,,,,,,,,,4.908,0.007,0.92,0.06,-3254.4521,13.2439,-15341.4664,12.8551,-786.364,14.7054,6524.003,12.276,9038.8857,15.9522,3563.2713,12.3049,8470.1213,0.1153,105913463.596,13.125,-80608.150,12.226,N,1962,1-May-2007,D. DE FRENNE AND A. NEGRET,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,58,In,4.5494,0.0082,,,,0,,,9/2+,32.4,,3,m,1944,18,EC+B+,100,,,,,,,,,5.577,0.008,0.77,0.05,-5054.4281,11.0175,-14284.2874,10.9138,-1188.8804,10.4877,3423.658,9.796,11029.8353,15.5723,3723.4852,9.7072,8494.0439,0.0902,106910287.497,10.363,-83566.667,9.654,N,1949,1-Mar-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,59,In,4.5571,0.0071,,,,0,,,7+,58.0,,12,m,3480,72,EC+B+,100,,,,,,,,,4.554,0.003,0.957,0.007,-2049.8794,9.8365,-13678.9075,10.1420,-1428.2741,9.6154,5132.595,8.714,8624.4794,12.9562,4418.4738,8.7992,8495.2516,0.0800,107909693.654,9.276,-84119.828,8.641,N,1949,1-Jul-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
49,60,In,4.5685,0.0061,,,,0,,,9/2+,4.159,,10,h,14972.4,36,EC+B+,100,,,,,,,,,5.53,0.004,0.8,0.03,-3859.3453,8.8866,-12490.8950,6.6821,-1843.5933,6.0331,2014.804,4.256,10441.0156,9.4231,4526.0742,3.8959,8513.1027,0.0364,108907149.679,4.261,-86489.526,3.969,N,1948,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
