z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
50,49,Sn,,,,,,0,,,,760,GT,,ns,0.00000076,,EC+B+,,,ECP,,,,,,,,,,,,,,,-3345,812,13400.0,653.8,,,1359,657,8161,6,98948495,625,-47976,582,Y,2011,1-Jul-2017,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,50,Sn,,,,,,0,,,0+,1.18,,8,s,1.18,0.08,EC+B+,100,,ECP,17,,,,,,,,,,,,,,-4001,475,7030.0,240.0,17243,630,3061,383,8251.626,2.4001,99938648.944,257.661,-57148.146,240.010,N,1994,31-Jan-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,51,Sn,,,,,,0,,,(5/2+),1.7,,3,s,1.7,0.3,EC+B+,100,,ECP,26,,,,,,,,,,,,,,-1996.5133,516.2821,8239.277,300.232,11228.7963,384.1976,3416.4493,300.0130,8281.103,2.9703,100935259.252,322.068,-60305.624,300.005,N,1994,15-OCT-2007,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,52,Sn,,,,,,0,,,0+,3.8,,2,s,3.8,0.2,EC+B+,100,,,,,,,,,,,,,-13835,412,,,276.6132,112.7111,5760.0,100.2,12700.5893,316.2653,3678.9653,100.7815,8324.4313,0.9814,101930289.525,107.466,-64934.896,100.105,N,1994,31-Dec-2008,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,53,Sn,,,,,,0,,,(5/2+),7.0,,2,s,7,0.2,EC+B+,100,,ECP,1.2,0.1,,,,,,,,,-10422,316,-24064,412,414,100,7540.397,100.402,10229,142,3686,101,8343,1,102927973,108,-67092,100,Y,1981,1-Mar-2009,D. DE FRENNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,54,Sn,,,,,,0,,,0+,20.8,,5,s,20.8,0.5,EC+B+,100,,,,,,,,,,,,,-12332,102,-23028,300,142.6223,5.9847,4555.618,8.146,12606,101,4283.6312,10.6608,8383.9114,0.0552,103923105.195,6.167,-71627.057,5.745,N,1985,30-Mar-2007,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,55,Sn,,,,,,0,,,(5/2+),32.7,,5,s,32.7,0.5,EC+B+,100,,B+P,0.011,0.004,,,,,,,,,-9322.5103,22.1849,-22115,102,73.5483,4.2416,6302.581,10.989,9782.2623,6.9839,4444.2978,7.0088,8397.229,0.0378,104921268.421,4.263,-73338.001,3.971,N,1981,1-Apr-2019,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,56,Sn,,,,,,0,,,0+,115,,5,s,115,5,EC+B+,100,,,,,,,,,,,,,-10880.3964,9.0249,-21409.5245,22.4125,-118.9119,5.3555,3254.452,13.244,12087.0142,6.4566,5002.0865,11.4415,8432.0383,0.0480,105916957.394,5.465,-77353.698,5.091,N,1975,1-May-2007,D. DE FRENNE AND A. NEGRET,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,57,Sn,,,,,,0,,,(5/2+),2.90,,5,m,174,3,EC+B+,100,,,,,,,,,,,,,-7858.9903,6.7377,-20110.2557,9.1500,-285.5283,5.6097,5054.428,11.018,9229.8593,7.3559,5193.0601,13.3295,8439.4946,0.0496,106915713.649,5.700,-78512.239,5.310,N,1976,1-Mar-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
50,58,Sn,4.5605,0.0029,,,,0,,,0+,10.30,,8,m,618,4.8,EC+B+,100,,,,,,,,,-0.24,0.12,,,-9624.6079,7.6925,-19488.0184,6.7952,-526.4734,5.6364,2049.879,10.18,11629.0281,7.5605,5792.2530,11.0528,8469.0273,0.0498,107911894.29,5.778,-82069.949,5.382,N,1968,1-Jul-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
