property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Centered Tetragonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
space_group,I41/amd,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,Número de grupo espacial: 141.,Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
lattice_constants,"583.18, 583.18, 318.19",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
thermal_conductivity,67,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
electrical_conductivity,9.1,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
electrical_resistivity,1.1e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
magnetic_susceptibility_mass,-3.1e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
magnetic_susceptibility_molar,-3.68e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
magnetic_susceptibility_volume,-2.27e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
superconducting_point,3.72,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
bulk_modulus,58,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
shear_modulus,18,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
young_modulus,50,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
poisson_ratio,0.36,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
mohs_hardness,1.5,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
brinell_hardness,51,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
speed_of_sound,2500,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
thermal_expansion,2.2e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tin,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sn-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I41/amd,583.18,583.18,318.19,π/2,π/2,π/2
