property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Trigonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
space_group,R_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,Número de grupo espacial: 166.,Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
lattice_constants,"430.7, 430.7, 1127.3",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
thermal_conductivity,24,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
electrical_conductivity,2.5,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
electrical_resistivity,4e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
magnetic_susceptibility_mass,-1.09e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
magnetic_susceptibility_molar,-1.327e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
magnetic_susceptibility_volume,-7.3e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
bulk_modulus,42,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
shear_modulus,20,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
young_modulus,55,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
mohs_hardness,3,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
brinell_hardness,294,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
speed_of_sound,3420,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
thermal_expansion,1.1e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Antimony,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Sb-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,430.7,430.7,1127.3,π/2,π/2,2 π/3
