obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""143.076""","=""143.0758""","=""0.0008""","=""10""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""8.66563""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).9d""","=""""","=""1/2?""",4,2,,"=""""","=""L7406""",
"=""146.419""","=""""","=""""","=""10w?""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
"=""148.657""","=""148.658005""","=""0.000016""","=""20r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""8.3402302""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6d""","=""2D?""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""149.136""","=""149.135465""","=""0.000016""","=""40w""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""8.3135288""","=""5p3""","=""4S*""","=""3/2""","=""""","=""67053""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""151.257""","=""151.255686""","=""0.000016""","=""50r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""8.1969942""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).8s""","=""4P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""153.274""","=""153.272561""","=""0.000017""","=""120r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""8.0891321""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(1D).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""153.506""","=""153.50702""","=""0.00012""","=""80r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""8.076777""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6d""","=""4D""","=""3/2?""",4,4,,"=""""","=""L7406""",
"=""159.996""","=""159.995576""","=""0.000018""","=""80r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""7.7492266""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6d""","=""4F""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""161.28""","=""""","=""""","=""200w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
"=""162.33""","=""""","=""""","=""100w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
"=""165.120""","=""""","=""""","=""50w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
"=""166.26""","=""166.2821""","=""0.0008""","=""100w""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""8.51163""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).8s""","=""4P""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""169.885""","=""169.886327""","=""0.000020""","=""50""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""7.2980681""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).5d""","=""4D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""171.693""","=""""","=""""","=""80r""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
"=""171.745""","=""171.745531""","=""0.000021""","=""150r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""8.4408065""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6d""","=""2F""","=""7/2""",6,8,,"=""""","=""L7406""",
"=""172.343""","=""172.34526""","=""0.00015""","=""150r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""8.249312""","=""5p3""","=""2D*""","=""3/2""","=""""","=""66535""","=""3/2,5/2""",4,10,,"=""""","=""L7406""",
"=""173.619""","=""173.619542""","=""0.000021""","=""100r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""7.1411430""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).5d""","=""4D""","=""1/2""",4,2,,"=""""","=""L7406""",
"=""175.779""","=""175.780576""","=""0.000022""","=""50""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""8.2750929""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6d""","=""4D""","=""7/2""",6,8,,"=""""","=""L7406""",
"=""176.576""","=""176.58025""","=""0.00016""","=""100w""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""8.076777""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6d""","=""4D""","=""3/2?""",4,4,,"=""""","=""L7406""",
"=""178.087""","=""178.088675""","=""0.000022""","=""100r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.9619362""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).5d""","=""4P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""178.824""","=""178.826032""","=""0.000023""","=""100r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""7.9885988""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).7d""","=""""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""180.018""","=""180.018715""","=""0.000023""","=""150""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""8.1090375""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(1D).5d""","=""2F""","=""7/2""",6,8,,"=""""","=""L7406""",
"=""181.050""","=""181.051304""","=""0.000023""","=""50r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.8480146""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""181.420""","=""181.419247""","=""0.000023""","=""80r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.8341259""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).5d""","=""4F""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""182.950""","=""182.950188""","=""0.000024""","=""100""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""7.9986800""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6d""","=""2F""","=""5/2""",6,6,,"=""""","=""L7406""",
"=""185.889""","=""185.889348""","=""0.000024""","=""60""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""7.8915275""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).7s""","=""2P""","=""3/2""",6,4,,"=""""","=""L7406""",
"=""186.817""","=""186.818267""","=""0.000025""","=""50r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.6366207""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).5d""","=""4F""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""187.115""","=""187.115360""","=""0.000025""","=""300r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.6260834""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).5d""","=""4P""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""188.256""","=""188.25677""","=""0.00003""","=""150r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""7.6412782""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""189.128""","=""189.12750""","=""0.00003""","=""70""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""7.6109571""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).7s""","=""2P""","=""1/2""",4,2,,"=""""","=""L7406""",
"=""189.939""","=""189.94178""","=""0.00003""","=""70""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""7.7492266""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6d""","=""4F""","=""5/2""",6,6,,"=""""","=""L7406""",
"=""192.708""","=""192.70663""","=""0.00003""","=""100""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""7.4892004""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""195.039""","=""195.03928""","=""0.00003""","=""200r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""7.5786260""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).5d""","=""2F""","=""7/2""",6,8,,"=""""","=""L7406""",
"=""196.43""","=""""","=""""","=""80w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
"=""198.605""","=""198.60672""","=""0.00003""","=""60""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""7.2980681""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""4D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""202.465""","=""202.46549""","=""0.00003""","=""50""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.1237200""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""203.014""","=""203.00838""","=""0.00008""","=""60r""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""8.1401094""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(1S).6s""","=""2S""","=""1/2?""",2,2,,"=""""","=""L7406""",
"=""204.043""","=""204.04469""","=""0.00003""","=""70r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""7.2980681""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).5d""","=""4D""","=""5/2""",6,6,,"=""""","=""L7406""",
"=""205.023""","=""205.02337""","=""0.00003""","=""150r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""7.1026892""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""2F""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""206.409""","=""206.40661""","=""0.00003""","=""50""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""8.0395596""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(1D).5d""","=""2D""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""206.899""","=""206.90044""","=""0.00003""","=""1000r""","=""1.81e+08""","=""1.74e-01""","=""4.75e+00""","=""-0.157""",,"=""0.0000000""","=""5.9924568""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""T3880""","=""L7406""",
"=""208.022""","=""208.02568""","=""0.00022""","=""100""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""8.249312""","=""5p3""","=""2P*""","=""3/2""","=""""","=""66535""","=""3/2,5/2""",4,10,,"=""""","=""L7406""",
"=""209.908""","=""209.90906""","=""0.00003""","=""50r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""6.9619362""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""4P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""211.915""","=""211.90837""","=""0.00009""","=""80r""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""8.1401094""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(1S).6s""","=""2S""","=""1/2?""",4,2,,"=""""","=""L7406""",
"=""212.806""","=""212.80645""","=""0.00003""","=""100r""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""5.8261487""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""1/2""",4,2,,"=""""","=""L7406""",
"=""213.772""","=""213.77092""","=""0.00003""","=""50r""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""8.0891321""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(1D).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""214.036""","=""214.03726""","=""0.00003""","=""100r""","=""1.74e+08""","=""1.20e-01""","=""3.37e+00""","=""-0.321""",,"=""1.0553690""","=""6.8480146""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""T3880""","=""L7406""",
"=""214.250""","=""214.25152""","=""0.00003""","=""50r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""7.0085951""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).5d""","=""4F""","=""7/2""",6,8,,"=""""","=""L7406""",
"=""214.554""","=""214.55168""","=""0.00003""","=""100r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""6.8341259""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""4F""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""215.959""","=""215.95953""","=""0.00003""","=""50""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""8.0303542""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).6d""","=""4D""","=""1/2""",4,2,,"=""""","=""L7406""",
"=""217.649""","=""217.64993""","=""0.00003""","=""1500r""","=""1.75e+08""","=""1.24e-01""","=""3.56e+00""","=""-0.304""",,"=""0.0000000""","=""5.6964962""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""T3880""","=""L7406""",
"=""217.987""","=""217.98723""","=""0.00003""","=""250r""","=""2.39e+08""","=""1.70e-01""","=""7.33e+00""","=""0.009""",,"=""1.2217425""","=""6.9094241""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(1D).6s""","=""2D""","=""5/2""",6,6,,"=""T3880""","=""L7406""",
"=""220.201""","=""220.19962""","=""0.00003""","=""200r""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.6633019""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).5d""","=""2D""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""220.914""","=""220.91185""","=""0.00003""","=""300r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""6.8341259""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).5d""","=""4F""","=""5/2""",6,6,,"=""""","=""L7406""",
