z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
52,52,Te,,,,,,0,,,0+,18,LT,,ns,0.000000018,,A,100,,2P,,,,,,,,,,,,,,,5096.3997,208.0163,9668.169,333.281,,,246,437,8157.3256,3.0539,103946723.408,340.967,-49626.831,317.609,N,2018,31-JAN-2021,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,53,Te,,,,,,0,,,[5/2+],0.62,,7,us,0.00000062,0.00000007,A,100,,,,,,,,,,,,,,,,,5069.1999,3.0000,11203.982,300.813,11255.9961,436.9069,806,317,8186.8368,2.8573,104943304.516,322.084,-52811.509,300.020,N,2006,1-Apr-2019,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,54,Te,,,,,,0,,,0+,70,,17,us,0.00007,0.000017,A,100,,,,,,,,,,,,,-14920,412,,,4290.2208,9.3537,8253.542,100.817,13479.5684,316.4178,1493.2389,102.8825,8236.7682,0.9485,105937498.521,107.934,-58219.759,100.541,N,1981,1-May-2007,D. DE FRENNE AND A. NEGRET,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,55,Te,,,,,,0,,,,3.1,,1,ms,0.0031,0.0001,A,70,30,EC+B+,30,30,,,,,,,,,-11227,316,-25429,412,4010.3533,4.6097,9996.248,101.085,10509,142,1473,101,8258,1,106934882,108,-60657,101,Y,1979,1-Mar-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,56,Te,,,,,,0,,,0+,2.1,,1,s,2.1,0.1,EC+B+,51,4,A,49,4,B+P,2.4,1,,,,,,-13011,101,-24423,300,3420.465,7.6044,6663.665,7.713,13196,101,2417.3989,6.8178,8303.7221,0.0501,107929380.469,5.808,-65781.676,5.411,N,1974,1-Jul-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,57,Te,,,,,,0,,,(5/2+),4.4,,2,s,4.4,0.2,EC+B+,96.1,1.3,B+P,9.4,3.1,A,3.9,1.3,,,,,,-10042.8941,8.0301,-23016,101,3197.6861,5.7000,8535.587,6.85,10005.0412,6.9630,2559.0296,7.0291,8319.3305,0.0402,108927304.532,4.704,-67715.399,4.382,N,1967,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,58,Te,,,,,,0,,,0+,18.6,,8,s,18.6,0.8,EC+B+,100,,A,0.00067,,,,,,,,,,-11761.9766,62.2875,-22628.6333,9.4079,2698.9612,7.7506,5219.924,8.876,12585.7392,7.9016,3267.8051,8.4233,8358.116,0.0598,109922458.102,7.058,-72229.821,6.575,N,1977,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,59,Te,,,,,,0,,,(5/2)+,19.3,,4,s,19.3,0.4,EC+B+,100,,B+P,,,,,,,,,,,-8633.6922,7.9943,-21190.9611,62.2721,2499.836,8.3367,7249.26,10.93,9428.9845,9.1946,3426.7135,8.7664,8367.7635,0.0579,110921000.587,6.900,-73587.487,6.427,N,1967,1-Feb-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,60,Te,,,,,,0,,,0+,2.0,,2,m,120,12,EC+B+,100,,,,,,,,,,,,,-10504.1795,13.2390,-20685.0414,9.6375,2077.5148,9.9626,4031.455,19.701,12051.3493,10.5637,4019.7426,12.1898,8400.6527,0.0749,111916727.848,9.000,-77567.518,8.383,N,1976,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
52,61,Te,,,,,,0,,,(7/2+),1.7,,2,m,102,12,EC+B+,100,,,,,,,,,,,,,-7227.521,29.0704,-19355.0169,29.7641,1858.2272,29.0534,6069.929,32.81,8850.8374,29.1753,4037.0354,33.1481,8404.6366,0.2473,112915891,30.000,-78347.037,27.945,N,1974,1-May-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
