property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Trigonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
space_group,P3121,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 152.,Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
lattice_constants,"445.72, 445.72, 592.9",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
thermal_conductivity,3,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
electrical_conductivity,0.01,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
electrical_resistivity,0.0001,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
electrical_type,Semiconductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
magnetic_susceptibility_mass,-3.9e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
magnetic_susceptibility_molar,-4.98e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
magnetic_susceptibility_volume,-2.43e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tellurium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Te-reference,elemento puro · condiciones de referencia,Simple Trigonal,P3121,445.72,445.72,592.9,π/2,π/2,2 π/3
