obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""165.54""","=""0.03""","=""""","=""""","=""200000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7363""",
"=""168.85""","=""0.03""","=""""","=""""","=""400000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7363""",
"=""169.990""","=""0.003""","=""169.990112""","=""0.000017""","=""1200000""","=""4.08e+08""","=""2.47e-01""","=""6.92e+00""","=""0.093""",,"=""0.0000000""","=""7.2936124""","=""5p4""","=""3P""","=""2""","=""5p3.(4S*).5d""","=""3D*""","=""3""",5,7,,"=""T7227""","=""L5704,L5789,L7363,L3682""",
"=""170.806""","=""0.003""","=""170.805538""","=""0.000017""","=""240000""","=""""","=""""","=""""","=""""",,"=""0.5890132""","=""7.8478059""","=""5p4""","=""3P""","=""1""","=""5p3.(2D*).5d""","=""3P*""","=""2""",3,5,,"=""""","=""L5704,L5789,L7363,L3682""",
"=""175.088""","=""0.003""","=""175.087788""","=""0.000018""","=""850000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""7.0812591""","=""5p4""","=""3P""","=""2""","=""5p3.(2D*).6s""","=""1D*""","=""2""",5,5,,"=""""","=""L5704,L5789,L7363,L3682""",
"=""175.9232""","=""0.0025""","=""175.924587""","=""0.000018""","=""420000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""7.0475765""","=""5p4""","=""3P""","=""2""","=""5p3.(2D*).6s""","=""3D*""","=""3""",5,7,,"=""""","=""L5789,L7363,L5704,L3682""",
"=""177.50""","=""0.03""","=""""","=""""","=""350000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7363""",
"=""179.604""","=""0.003""","=""179.605049""","=""0.000019""","=""640000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.9031577""","=""5p4""","=""3P""","=""2""","=""5p3.(4S*).5d""","=""5D*""","=""3""",5,7,,"=""""","=""L5704,L5789,L7363,L3682""",
"=""182.2151""","=""0.0025""","=""182.215511""","=""0.000019""","=""3400000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.8042615""","=""5p4""","=""3P""","=""2""","=""5p3.(2D*).6s""","=""3D*""","=""2""",5,5,,"=""""","=""L5789,L7363,L5704,L3682""",
"=""182.55""","=""0.03""","=""""","=""""","=""260000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7363""",
"=""185.0481""","=""0.0025""","=""185.049554""","=""0.000020""","=""190000""","=""""","=""""","=""""","=""""",,"=""0.5835310""","=""7.2835849""","=""5p4""","=""3P""","=""0""","=""5p3.(4S*).5d""","=""3D*""","=""1""",1,3,,"=""""","=""L5789,L7363,L5704,L3682""",
"=""185.2013""","=""0.0025""","=""185.201092""","=""0.000020""","=""190000""","=""""","=""""","=""""","=""""",,"=""0.5890132""","=""7.2835849""","=""5p4""","=""3P""","=""1""","=""5p3.(4S*).5d""","=""3D*""","=""1""",3,3,,"=""""","=""L5789,L7363,L5704,L3682""",
"=""185.371""","=""0.003""","=""""","=""""","=""180000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5704,L7363""",
"=""185.7279""","=""0.0025""","=""185.729572""","=""0.000020""","=""500000""","=""""","=""""","=""""","=""""",,"=""0.5890132""","=""7.2645360""","=""5p4""","=""3P""","=""1""","=""5p3.(4S*).5d""","=""3D*""","=""2""",3,5,,"=""""","=""L5789,L7363,L5704,L3682""",
"=""186.050""","=""0.003""","=""186.045605""","=""0.000020""","=""61000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""7.9731931""","=""5p4""","=""1D""","=""2""","=""5p3.(2D*).5d""","=""1P*""","=""1""",5,3,,"=""""","=""L5704,L7363,L3682""",
"=""199.4841""","=""0.0025""","=""199.483903""","=""0.000023""","=""320000""","=""""","=""""","=""""","=""""",,"=""0.5890132""","=""6.8042615""","=""5p4""","=""3P""","=""1""","=""5p3.(2D*).6s""","=""3D*""","=""2""",3,5,,"=""""","=""L5789,L7363,L5704,L3682,L3475""",
"=""200.091""","=""0.003""","=""200.090477""","=""0.000023""","=""190000""","=""""","=""""","=""""","=""""",,"=""0.5835310""","=""6.7799378""","=""5p4""","=""3P""","=""0""","=""5p3.(2D*).6s""","=""3D*""","=""1""",1,3,,"=""""","=""L5704,L5789,L5813,L7363,L3682""",
"=""200.2667""","=""0.0025""","=""200.267662""","=""0.000023""","=""530000""","=""""","=""""","=""""","=""""",,"=""0.5890132""","=""6.7799378""","=""5p4""","=""3P""","=""1""","=""5p3.(2D*).6s""","=""3D*""","=""1""",3,3,,"=""""","=""L5789,L5704,L3475,L5813""",
"=""207.172""","=""0.003""","=""207.17199""","=""0.00003""","=""90000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""7.2936124""","=""5p4""","=""1D""","=""2""","=""5p3.(4S*).5d""","=""3D*""","=""3""",5,7,,"=""""","=""L5813,L5704,L7363,L3682""",
"=""208.183""","=""0.003""","=""208.18345""","=""0.00003""","=""340000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""7.2645360""","=""5p4""","=""1D""","=""2""","=""5p3.(4S*).5d""","=""3D*""","=""2""",5,5,,"=""""","=""L5813,L3475,L5704,L7363""",
"=""214.349""","=""0.002""","=""214.34969""","=""0.00003""","=""7400000""","=""3.12e+08""","=""1.29e-01""","=""4.55e+00""","=""-0.192""",,"=""0.0000000""","=""5.7842023""","=""5p4""","=""3P""","=""2""","=""5p3.(4S*).6s""","=""3S*""","=""1""",5,3,,"=""T7227""","=""L3475,L5813,L5789,L5704,L7363""",
"=""214.793""","=""0.002""","=""214.79357""","=""0.00003""","=""190000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""7.0812591""","=""5p4""","=""1D""","=""2""","=""5p3.(2D*).6s""","=""1D*""","=""2""",5,5,,"=""""","=""L3475,L5813,L7363,L5704""",
"=""216.054""","=""0.003""","=""216.05430""","=""0.00003""","=""77000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""7.0475765""","=""5p4""","=""1D""","=""2""","=""5p3.(2D*).6s""","=""3D*""","=""3""",5,7,,"=""""","=""L5813,L3475,L7363,L5704""",
"=""220.952""","=""0.003""","=""220.94841""","=""0.00003""","=""58000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""6.9204646""","=""5p4""","=""1D""","=""2""","=""5p3.(4S*).5d""","=""5D*""","=""2""",5,5,,"=""""","=""L17457,L7363,L5813,L5704,L3682""",
"=""225.622""","=""0.003""","=""225.62061""","=""0.00003""","=""130000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""6.8042615""","=""5p4""","=""1D""","=""2""","=""5p3.(2D*).6s""","=""3D*""","=""2""",5,5,,"=""""","=""L5813,L7363,L17457,L5704,L3682""",
"=""225.973""","=""0.002""","=""225.97338""","=""0.00003""","=""970000""","=""1.28e+07""","=""9.80e-03""","=""3.64e-01""","=""-1.310""",,"=""0.0000000""","=""5.4866727""","=""5p4""","=""3P""","=""2""","=""5p3.(4S*).6s""","=""5S*""","=""2""",5,5,,"=""T7227""","=""L3475,L5813,L5704,L17457,L7363""",
"=""226.623""","=""0.003""","=""226.62371""","=""0.00003""","=""140000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""6.7799378""","=""5p4""","=""1D""","=""2""","=""5p3.(2D*).6s""","=""3D*""","=""1""",5,3,,"=""""","=""L5813,L17457,L7363,L3682""",
