z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
53,55,I,,,,,,0,,,(1),36,,6,ms,0.036,0.006,A,91,15,EC+B+,9,,P,1,,,,,,,-10139,393,,,4098.6662,4.6084,13010.676,101.145,11413,317,-596.9999,13.0000,8176,1,107943348,109,-52771,101,Y,1991,1-Jul-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,56,I,,,,,,0,,,(1/2+ 3/2+),92.8,,8,us,0.0000928,0.0000008,P,99.986,0.004,A,0.014,0.004,,,,,,,,,-11502.9589,300.1831,-23111.4668,379.5568,3918.0699,20.7635,10042.894,8.03,12973,102,-820.1999,4.0000,8220.0164,0.0617,108938086.022,7.223,-57672.505,6.729,N,1984,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,57,I,,,,,,0,,,(1+),0.664,,24,s,0.664,0.024,EC+B+,83,4,A,17,4,ECP,11,3,,,,,,-8545.2075,118.4700,-22369.6156,306.4329,3580.5414,61.4896,11761.977,62.288,10866.6567,62.3040,41.4156,62.0944,8244.0767,0.5631,109935085.102,66.494,-60467.844,61.940,N,1977,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,58,I,,,,,,0,,,(5/2+),2.5,,2,s,2.5,0.2,EC+B+,99.9,,A,0.1,,,,,,,,,,-10434,116,-21102.4764,101.1001,3274.5378,5.1866,8633.692,7.994,12557.2689,62.1217,12.9453,8.1136,8282.9343,0.0428,110930269.236,5.103,-64953.795,4.754,N,1977,1-Feb-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,59,I,,,,,,0,,,(1+),3.34,,8,s,3.34,0.08,EC+B+,100,,ECP,0.88,0.1,ECA,0.104,0.012,,,,,,-7036.991,13.1754,-20615,116,2957.0864,11.6273,10504.179,13.238,10180.8619,11.2955,764.8227,12.0954,8299.8801,0.0915,111928004.548,11.000,-67063.339,10.246,N,1977,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,60,I,,,,,,0,,,5/2+,6.6,,2,s,6.6,0.2,EC+B+,100,,A,0.000000331,,,,,,,,,,-8915.8902,10.5334,-19164.4870,11.5228,2706.5541,9.5861,7227.52,29.07,12127.4960,13.0063,840.9694,11.5955,8333.7528,0.0709,112923650.062,8.600,-71119.517,8.011,N,1977,1-May-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,61,I,,,,,,0,,,1+,2.1,,2,s,2.1,0.2,EC+B+,100,,B+P,,,,,,,,,,,-5553.036,22.9354,-18506.6265,21.1628,2385.8939,20.8956,9250.741,31.588,9590.7363,21.5699,1580.8684,34.3802,8344.779,0.1757,113922018.9,21.500,-72638.935,20.027,N,1977,1-Jan-2012,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,62,I,,,,,,0,,,(5/2+),1.3,,2,m,78,12,EC+B+,100,,,,,,,,,,,,,-7681.0475,31.3126,-17323.2240,30.9643,2074.0261,30.2018,5724.962,40.184,11770.1880,35.1415,1737.0992,37.8230,8374.5651,0.2511,114918048,31.000,-76337.805,28.876,N,1969,1-Sep-2012,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,63,I,,,,,,0,,,1+,2.91,,15,s,2.91,0.15,EC+B+,100,,,,,,,,,,,,,-4373.7764,75.8444,-16835.2146,76.0081,1753.4036,77.1264,7843.139,78.845,9154.1671,80.4017,2646.8573,80.0719,8381.2858,0.6469,115916885.513,80.555,-77420.654,75.037,N,1976,1-Dec-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
53,64,I,,,,,,0,,,(5/2)+,2.22,,4,m,133.2,2.4,EC+B+,100,,B+,77,,,,,,3.1,0.2,,,-6253.2213,27.5845,-15463.0089,28.6817,1553.4816,30.8024,4656.932,28.883,11089.2325,79.2704,2463.7467,35.2011,8404.4307,0.2184,116913645.649,27.437,-80438.568,25.558,N,1969,1-Mar-2009,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
