Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""5s2.5p5""","=""2P*""","=""3/2""",4,"=""""","=""0.0000""","=""""","=""0.0065""","=""""","="" 100                                                                    ""","=""L13998,L22518"""
"=""5s2.5p5""","=""2P*""","=""1/2""",2,"=""""","=""7602.9762""","=""""","=""0.0065""","=""0.673""","="" 100                                                                    ""","=""L22426,L368"""
"=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""",6,"=""""","=""54633.2819""","=""""","=""0.0017""","=""1.576""","=""  90                                 :     9  5s2.5p4.(1D<2>).6s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""",4,"=""""","=""56092.7112""","=""""","=""0.0012""","=""1.385""","=""  87                                 :    11  5s2.5p4.(1D<2>).6s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<0>).6s""","=""2[0]""","=""1/2""",2,"=""""","=""60896.0739""","=""""","=""0.0017""","=""2.561""","=""  62                                 :    21  5s2.5p4.(3P<1>).6s  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""",4,"=""""","=""61819.6111""","=""""","=""0.0014""","=""1.618""","=""  95                                                                    ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""",2,"=""""","=""63186.5971""","=""""","=""0.0021""","=""0.799""","=""  74                                 :    17  5s2.5p4.(3P<0>).6s  2[0]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""5/2""",6,"=""""","=""64906.1234""","=""""","=""0.0011""","=""1.524""","=""  86                                 :     7  5s2.5p4.(1D<2>).6p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""3/2""",4,"=""""","=""64989.8299""","=""""","=""0.0000""","=""1.619""","=""  44                                 :    43  5s2.5p4.(3P<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""5/2""",6,"=""""","=""65644.3110""","=""""","=""0.0013""","=""1.217""","=""  83                                 :    10  5s2.5p4.(1D<2>).6p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""",8,"=""""","=""65669.8213""","=""""","=""0.0016""","=""1.420""","=""  90                                 :    10  5s2.5p4.(1D<2>).6p  2[3]* ""","=""L22518,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""1/2""",2,"=""""","=""65856.7962""","=""""","=""0.0013""","=""1.556""","=""  82                                 :    15  5s2.5p4.(1D<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""3/2""",4,"=""""","=""67061.9638""","=""""","=""0.0014""","=""1.415""","=""  45                                 :    45  5s2.5p4.(3P<2>).6p  2[2]* ""","=""L22518,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""7/2""",8,"=""""","=""66014.8630""","=""""","=""0.0016""","=""""","=""  88                                 :     6  5s2.5p4.(1D<2>).5d  2[3]  ""","=""L3674,u56"""
