z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
54,54,Xe,,,,,,0,,,0+,54,,+57-21,us,0.000054,0.000039,A,100,,2P,,,,,,,,,,,,,,,4569.5582,207.7072,10138.643,392.707,,,492,484,8074.8886,3.5139,107954232.285,407.406,-42632.357,379.497,N,2018,31-JAN-2021,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,55,Xe,,,,,,0,,,(7/2+),13,,2,ms,0.013,0.002,A,100,,,,,,,,,,,,,,,,,4217.0463,7.2672,11502.959,300.183,11608.5079,483.8209,687,317,8107.3071,2.7533,108950434.955,322.178,-46169.546,300.108,N,2006,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,56,Xe,,,,,,0,,,0+,93,,3,ms,0.093,0.003,A,64,35,EC+B+,36,35,ECP,,,,,,,,,,,,3872.2066,9.4990,8545.208,118.47,13824.4081,316.6437,1539.1022,101.2122,8159.2808,0.9181,109944258.759,108.415,-51922.636,100.988,N,1981,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,57,Xe,,,,,,0,,,,0.74,,20,s,0.74,0.2,A,8,,EC+B+,,,,,,,,,,,-11620,231,,,3712.1503,56.8926,10433.795,115.098,10669,153,1341,131,8182,1,110941470,124,-54520,115,Y,1979,1-Feb-2008,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,58,Xe,,,,,,0,,,0+,2.7,,8,s,2.7,0.8,EC+B+,98.8,0.8,A,1.2,0.8,,,,,,,,,-13612,116,-25198,200,3330.4128,6.2709,7036.991,13.175,13578,116,2361.5239,9.5499,8230.0646,0.0740,111935559.068,8.891,-60026.348,8.283,N,1978,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,59,Xe,,,,,,0,,,(5/2+),2.74,,8,s,2.74,0.08,EC+B+,100,,ECP,7,4,A,0.011,,,,,,,-10439.0876,10.9702,-23860,116,3086.8573,7.6593,8915.891,10.534,10248.5967,10.7415,2429.2587,12.3194,8247.9277,0.0605,112933221.663,7.342,-62203.626,6.840,N,1973,1-May-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,60,Xe,,,,,,0,,,0+,10.0,,4,s,10,0.4,EC+B+,100,,,,,,,,,,,,,-12399.9706,85.7989,-23392.6781,14.0895,2719.006,12.9683,5553.036,22.935,12953.5905,13.1044,3255.3533,13.7521,8289.2054,0.0981,113927980.329,12.000,-67085.899,11.178,N,1977,1-Jan-2012,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,61,Xe,,,,,,0,,,(5/2+),18,,4,s,18,4,EC+B+,100,,B+P,0.34,0.06,A,0.0003,0.0001,,,,,,-8957,103,-22042.1471,85.9252,2505.8139,13.7094,7681.048,31.312,9642.1765,16.4798,3306.7935,23.4035,8300.9704,0.1053,114926293.943,13.000,-68656.757,12.109,N,1969,1-Sep-2012,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,62,Xe,4.7211,0.0096,,,,0,,,0+,59,,2,s,59,2,EC+B+,100,,,,,,,,,,,,,-11004,101,-21419,103,2095.725,15.4832,4373.777,76.158,12461.4382,17.7788,3998.0437,31.6747,8336.8365,0.1122,115921580.955,13.974,-73046.877,13.017,N,1969,1-Dec-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
54,63,Xe,,,,,,0,,,5/2(+),61,,2,s,61,2,EC+B+,100,,B+P,0.0029,0.0006,,,,,-0.5938,0.0015,1.14,0.04,-7692.2462,63.2672,-20214,101,1736.7748,29.8098,6253.221,27.585,9209.7876,16.6481,4053.6642,75.7516,8344.2976,0.0887,116920358.758,11.141,-74185.347,10.378,N,1969,1-Mar-2009,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
