z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
55,57,Cs,,,,,,0,,,(1+),0.49,,3,ms,0.00049,0.00003,P,100,,A,0.26,,,,,,,,,,,,,,3931.4368,58.5006,13611.348,116.295,11586,231,-816.2864,4.0687,8102,1,111950172,124,-46415,116,Y,1994,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,58,Cs,,,,,,0,,,(3/2+),17.7,,4,us,0.0000177,0.0000004,P,100,,,,,,,,,,,,,-12055,300,,,3483.0508,7.7646,10439.087,10.97,13421,116,-972.8379,2.2283,8148.623,0.0759,112944428.484,9.207,-51764.539,8.577,N,1984,21-JAN-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,59,Cs,,,,,,0,,,(1+),0.57,,2,s,0.57,0.02,EC+B+,99.982,0.006,ECP,8.7,1.3,ECA,0.19,0.03,,,,,,-8780.4915,133.3375,-23048,312,3356.9999,58.3095,12399.971,85.799,10992.7075,85.4990,-228.7271,85.3422,8173.5711,0.7462,113941292.244,91.323,-54685.928,85.068,N,1978,1-Jan-2012,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,60,Cs,,,,,,0,,,,1.4,,8,s,1.4,0.8,EC+B+,100,,B+P,0.07,,,,,,,,,,-10779,225,-21865,145,2829,103,8957.757,102.716,13085,133,-97,103,8216,1,114935910,110,-59699,102,Y,1978,1-Sep-2012,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,61,Cs,,,,,,0,,,(1+),0.70,,4,s,0.7,0.04,EC+B+,100,,ECP,2.8,0.7,ECA,0.049,0.025,,,,,,-7663,224,-21194,224,2596,101,11003.877,100.844,10414,143,675,101,8235,1,115933395,108,-62043,100,Y,1975,1-Dec-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,62,Cs,,,,,,0,,,(9/2+),8.4,,6,s,8.4,0.6,EC+B+,100,,,,,,,,,,,,,-9035.1943,258.0009,-20185,210,2201.5,62.9221,7692.246,63.267,12522,118,735.1944,63.7532,8271.8652,0.5334,116928616.723,67.000,-66493.101,62.410,N,1972,1-Mar-2009,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,63,Cs,4.7832,0.0092,,,,0,,,2(-),14,,2,s,14,2,EC+B+,100,,ECP,0.042,0.006,ECA,0.0024,0.0004,,3.87,0.005,1.31,0.17,-6210,201,-19022.7883,250.6633,1804.6423,23.7429,9669.69,16.44,9987.5940,63.6998,1513.0009,16.4423,8286.4053,0.1081,117926559.517,13.690,-68409.377,12.753,N,1969,07-Jan-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,64,Cs,4.7896,0.0089,,,,0,,,9/2+,43.0,,2,s,43,0.2,EC+B+,100,,,,,,,,,5.45,0.03,2.65,0.17,-7714.9651,200.7537,-18177,201,1607.8276,32.0649,6489.427,17.379,11967.0027,18.8933,1514.9652,17.3790,8317.3347,0.1171,118922377.327,14.965,-72305.061,13.940,N,1978,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,65,Cs,4.7915,0.0075,,,,0,,,2(+),61.3,,11,s,61.3,1.1,EC+B+,100,,B+A,0.00002,0.000004,B+P,0.000007,0.000003,,3.86,0.02,1.36,0.07,-5000,300.0000,-17369.8705,200.5171,1107.0893,75.6967,8283.785,15.461,9654.9054,17.1380,2383.1315,14.3912,8328.4811,0.0831,119920677.277,10.702,-73888.649,9.970,N,1969,1-Dec-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
55,66,Cs,4.7769,0.0078,,,,0,,,3/2(+),155,,4,s,155,4,EC+B+,100,,,,,,,,,0.769,0.004,0.79,0.04,-6357.4948,141.1765,-16285.0112,300.5056,911.3106,29.2813,5378.655,17.582,11285.0112,17.4240,2218.8785,18.5433,8352.9152,0.1181,120917227.235,15.340,-77102.342,14.290,N,1969,20-Jan-2009,S. OHYA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
