z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
56,58,Ba,,,,,,0,,,0+,0.43,,+30-15,s,0.43,0.225,EC+B+,99.1,0.3,ECP,20,10,A,0.9,0.3,,,,,,,,,,3592.284,18.5403,8780.491,133.338,14267,317,1429.8690,103.0337,8089.6865,0.9007,113950718.489,110.227,-45905.437,102.676,N,1995,1-Jan-2012,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,59,Ba,,,,,,0,,,(5/2+),0.45,,5,s,0.45,0.05,EC+B+,100,,B+P,15,,,,,,,,,,,,,,3175,231,10779.0,224.5,11086,225,1523,218,8116,2,114947482,215,-48920,200,Y,1997,1-Sep-2012,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,60,Ba,,,,,,0,,,0+,1.3,,2,s,1.3,0.2,EC+B+,100,,B+P,3,1,,,,,,,,,-14330,379,,,3222,200,7663.0,223.6,13531,283,1969,225,8162,2,115941621,215,-54380,200,Y,1997,1-Dec-2009,Jean Blachot,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,61,Ba,,,,,,0,,,(3/2),1.75,,7,s,1.75,0.07,EC+B+,100,,B+P,0,,B+A,0,,,,,,,-11187,321,-25479,407,2320.8041,250.4321,9035.195,258.001,11150,321,2704,270,8187.9546,2.1396,116938316.403,268.749,-57457.906,250.339,N,1977,1-Mar-2009,JEAN BLACHOT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,62,Ba,,,,,,0,,,0+,5.5,,2,s,5.5,0.2,EC+B+,100,,ECP,,,,,,,,,,,-12580,361,-24000,283,2461,201,6209.377,200.406,12813,321,2995,210,8227,2,117933226,215,-62200,200,Y,1997,07-Jan-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,63,Ba,,,,,,0,,,(5/2+),5.4,,3,s,5.4,0.3,EC+B+,100,,ECP,25,,,,,,,,,,-9570,361,-23042,361,1641.7452,200.6349,7714.965,200.754,10462,283,3469.6905,200.6747,8245.9287,1.6829,118930659.683,214.997,-64590.096,200.269,N,1974,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,64,Ba,4.8092,0.0058,,,,0,,,0+,24,,2,s,24,2,EC+B+,100,,,,,,,,,,,,,-11319,424,-21940,424,1733.3129,300.4477,5000.0,300.3,12369.8705,360.8422,3872.5584,300.4891,8280.2949,2.5014,119926044.997,322.241,-68888.649,300.166,N,1974,1-Dec-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,65,Ba,4.8176,0.0052,,,,0,,,5/2(+),29.7,,15,s,29.7,1.5,EC+B+,100,,,,,,,,,0.66,0.001,1.89,0.13,-8555,332,-21246,332,1015.5841,142.2769,6357.495,142.616,9927.5164,332.0156,4145.1694,142.2476,8293.9083,1.1727,120924052.286,152.333,-70744.847,141.898,N,1975,20-Jan-2009,S. OHYA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,66,Ba,4.8153,0.0054,,,,0,,,0+,1.95,,15,m,117,9,EC+B+,100,,,,,,,,,,,,,-10066,299,-20490,301,1045.1996,29.8098,3535.817,43.769,11935.4228,144.6233,4795.5810,31.3865,8323.7567,0.2291,121919904,30.000,-74608.952,27.945,N,1974,30-Sep-2006,T. TAMURA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,67,Ba,4.8135,0.0055,,,,0,,,5/2(+),2.4,,4,m,144,24,EC+B+,100,,,,,,,,,,,1.57,0.13,-7004,196,-19183,298,714.6091,15.9484,5388.694,17.125,9117.3296,30.4557,4799.1656,35.7973,8330.2086,0.0985,122918781.06,13.000,-75654.963,12.109,N,1962,15-Apr-2021,Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
56,68,Ba,4.8185,0.0052,,,,0,,,0+,11.0,,5,m,660,30,EC+B+,100,,,,,,,,,,,,,-8831.1685,58.0305,-18510,196,657.7328,17.1999,2651.274,15.489,11506.1405,17.4017,5335.1002,17.4017,8355.8209,0.1008,123915093.627,13.416,-79089.786,12.497,N,1967,1-Apr-2008,J. KATAKURA and  Z.D. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
