z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
58,63,Ce,,,,,,0,,,(5/2),1.1,,1,s,1.1,0.1,EC+B+,100,,ECP,1,,,,,,,,,,-11139,641,,,2343,472,9500.0,500.8,11032,641,2409,500,8132,3,120943435,430,-52690,401,Y,1997,20-Jan-2009,S. OHYA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,64,Ce,,,,,,0,,,0+,,,,,,,EC+B+,,,ECP,,,,,,,,,,,-13094,641,-24394,641,1901,448,6669.0,499.6,13255,566,2972,500,8174,3,121937870,430,-57874,401,Y,2005,30-Sep-2006,T. TAMURA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,65,Ce,,,,,,0,,,(5/2),3.8,,2,s,3.8,0.2,EC+B+,100,,ECP,0,,,,,,,,,,-10056,499,-23578,582,1879,359,8365.0,356.6,10484,499,3032,422,8193,2,122935280,320,-60286,298,Y,1984,15-Apr-2021,Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,66,Ce,,,,,,0,,,0+,6,,2,s,6,2,EC+B+,100,,,,,,,,,,,,,-11765,499,-22757,499,1548,423,5342.617,303.34,12701,422,3554,357,8229,2,123930310,320,-64916,298,Y,1978,1-Apr-2008,J. KATAKURA and  Z.D. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,67,Ce,,,,,,0,,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,B+P,,,,,,,,,,,-8587,358,-21578,446,1662,242,7101.492,197.717,9813,357,3688,204,8242,2,124928440,210,-66658,196,Y,1978,1-Jan-2010,J. KATAKURA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,68,Ce,,,,,,0,,,0+,51.0,,4,s,51,0.4,EC+B+,100,,,,,,,,,7,3,,,-10497,198,-20822,301,1363.4706,39.5199,4152.911,94.724,12234,198,4350.0438,38.1676,8273.2581,0.2218,125923971,30.000,-70820.565,27.945,N,1978,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,69,Ce,,,,,,0,,,(1/2+),34,,2,s,34,2,EC+B+,100,,,,,,,,,,,,,-7436,198,-19727,198,1250.7035,31.3126,5916.772,38.856,9230.0967,40.1840,4294.8392,95.0025,8280.7922,0.2274,126922727,31.000,-71979.344,28.876,N,1978,1-Oct-2009,A. HASHIZUME,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,70,Ce,,,,,,0,,,0+,3.93,,2,m,235.8,1.2,EC+B+,100,,,,,,,,,,,,,-9203.1617,40.8585,-19062,198,1130.9445,30.6120,3091.514,61.201,11625.8996,40.1840,4926.7799,38.1696,8306.9259,0.2183,127918911,30.000,-75533.925,27.945,N,1968,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,71,Ce,,,,,,0,,,(5/2+),3.5,,3,m,210,18,EC+B+,100,,,,,,,,,-0.65,0.04,1.32,0.13,-6513.9383,40.8585,-18028.0585,40.8585,956.556,30.0290,5036.037,35.163,8824.8968,39.5199,4951.0362,61.2003,8310.9411,0.2166,128918102,30.000,-76287.504,27.945,N,1977,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
58,72,Ce,,,,,,0,,,0+,22.9,,5,m,1374,30,EC+B+,100,,,,,,,,,,,,,-8247.4488,70.0853,-17720.6655,40.8585,822.0842,30.6120,2204.461,38.133,11206.7272,39.5199,5388.3432,35.1633,8333.2164,0.2150,129914736,30.000,-79422.913,27.945,N,1965,11-May-2001,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
