obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""367.323""","=""367.32265+""","=""220""","=""""","=""""","=""""","=""""",,"=""0.1586284""","=""3.5339769""","=""4f.5d.6s2""","=""3H*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L3475""",
"=""450.767""","=""450.76769+""","=""100""","=""5.8e+06""","=""2.16e-02""","=""2.88e+00""","=""-0.711""",B+,"=""0.0000000""","=""2.7505121""","=""4f.5d.6s2""","=""1G*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""463.362""","=""463.36180+""","=""170""","=""1.38e+07""","=""5.4e-02""","=""7.5e+00""","=""-0.311""",B+,"=""0.0000000""","=""2.6757536""","=""4f.5d.6s2""","=""1G*""","=""4""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""465.181""","=""465.1808+""","=""110""","=""1.62e+07""","=""3.15e-02""","=""2.41e+00""","=""-0.802""",B+,"=""0.0283737""","=""2.6936640""","=""4f.5d.6s2""","=""3F*""","=""2""","=""4f.(2F*).5d2.(1D) (2P*).6p""","=""""","=""1""",5,3,,"=""T8748""","=""L3475""",
"=""482.390""","=""482.38953+""","=""110""","=""1.33e+07""","=""5.7e-02""","=""8.1e+00""","=""-0.292""",B+,"=""0.0000000""","=""2.5702092""","=""4f.5d.6s2""","=""1G*""","=""4""","=""4f.(2F*).5d2.(3F) (4I*).6p""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""484.912""","=""484.9126+""","=""140""","=""""","=""""","=""""","=""""",,"=""0.5905018""","=""3.1473375""","=""4f2.6s2""","=""3H""","=""4""","=""""","=""*""","=""3 or 4 or 5""",9,7,,"=""""","=""L3475""",
"=""494.482""","=""494.4868+""","=""110bl""","=""""","=""""","=""""","=""""",,"=""0.6843619""","=""3.1916925""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L3475""",
"=""499.602""","=""499.6019+""","=""130""","=""""","=""""","=""""","=""""",,"=""0.9646221""","=""3.4462821""","=""4f2.6s2""","=""3H""","=""6""","=""""","=""*""","=""5""",13,11,,"=""""","=""L3475""",
"=""501.050""","=""501.0501+""","=""210""","=""6.2e+07""","=""1.81e-01""","=""2.69e+01""","=""0.213""",B+,"=""0.3963288""","=""2.8708161""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""4""","=""""","=""""","=""3""",9,7,,"=""T8748""","=""L3475""",
"=""504.226""","=""504.2252+""","=""120""","=""4.39e+07""","=""1.37e-01""","=""2.50e+01""","=""0.178""",B+,"=""0.4666775""","=""2.9255827""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""5""","=""""","=""""","=""4""",11,9,,"=""T8748""","=""L3475""",
"=""507.319""","=""507.3189+""","=""120""","=""""","=""""","=""""","=""""",,"=""0.9646221""","=""3.4085327""","=""4f2.6s2""","=""3H""","=""6""","=""4f2.(3H<6>).6s.6p.(1P*<1>)?""","=""(6,1)*?""","=""6""",13,13,,"=""""","=""L3475""",
"=""511.412""","=""511.4128+""","=""130""","=""3.41e+07""","=""1.13e-01""","=""2.48e+01""","=""0.168""",B+,"=""0.5524433""","=""2.9767899""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""6""","=""""","=""""","=""5""",13,11,,"=""T8748""","=""L3475""",
