z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
60,65,Nd,,,,,,0,,,(5/2),0.65,,15,s,0.65,0.15,EC+B+,100,,ECP,0,,,,,,,,,,,,,,2195,566,10000.0,500.0,11311,640,2208,566,8080,3,124948395,429,-48070,400,Y,1999,1-Jan-2010,J. KATAKURA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,66,Nd,,,,,,0,,,0+,,,,,,,EC+B+,,,ECP,,,,,,,,,,,-13631,583,,,2069,500,6944.0,358.3,13382,500,2599,424,8122,2,125942694,322,-53380,300,Y,2000,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,67,Nd,,,,,,0,,,,1.8,,4,s,1.8,0.4,EC+B+,100,,ECP,,,,,,,,,,,-10600,500,-24232,583,1951,423,8633.0,358.3,10601,424,2876,358,8142,2,126939978,322,-55910,300,Y,1983,1-Oct-2009,A. HASHIZUME,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,68,Nd,,,,,,0,,,0+,5,,,s,5,,EC+B+,100,,ECP,,,,,,,,,,,-12311,361,-23292,447,1961,359,5800.764,202.209,12692,361,3276,280,8177,2,127935018,215,-60530,200,Y,1985,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,69,Nd,,,,,,0,,,(5/2+),6.7,,4,s,6.7,0.4,EC+B+,100,,ECP,0,,,,,,,,,,-9195,362,-22227,362,1858,281,7398.566,204.187,9916,284,3333,204,8191,2,128933038,217,-62375,202,Y,1977,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,70,Nd,,,,,,0,,,0+,13,,3,s,13,3,EC+B+,100,,,,,,,,,,,,,-11127,202,-21488,301,1799.4099,39.5199,4579.225,70.085,12293,204,4111.6447,40.8585,8222.5136,0.2150,129928506,30.000,-66596.239,27.945,N,1977,11-May-2001,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,71,Nd,,,,,,0,,,(5/2+),25.4,,9,s,25.4,0.9,EC+B+,100,,ECP,0,,,,,,,,,,-7998,202,-20370,202,1786.3876,39.8879,6532.624,54.458,9243.1190,39.2188,3881.5470,69.9159,8230.3045,0.2101,130927248.02,29.541,-67768.040,27.517,N,1977,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,72,Nd,4.9174,0.0026,,,,0,,,0+,94,,8,s,94,8,EC+B+,100,,,,,,,,,,,,,-9798,151,-19727,202,1683.1944,36.9705,3801.649,37.679,11729.0928,36.6484,4414.1224,52.8625,8256.8104,0.1834,131923321.237,25.985,-71425.815,24.205,N,1977,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,73,Nd,,,,,,0,,,(7/2+),70,,10,s,70,10,EC+B+,100,,,,,,,,,,,,,-6924.7272,68.5519,-18776,156,1530.2081,54.3150,5605.211,48.222,8977.8831,52.4891,4393.8874,54.8000,8262.232,0.3502,132922348,50.000,-72332.380,46.575,N,1977,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
60,74,Nd,4.9128,0.0026,,,,0,,,0+,8.5,,15,m,510,90,EC+B+,100,,,,,,,,,1.2,0.4,,,-8882.5343,43.5512,-18310.1078,51.6702,1351.5547,30.3408,2881.557,23.503,11385.3806,48.0506,4997.8224,17.1999,8285.5391,0.0882,133918790.207,12.686,-75646.443,11.817,N,1970,31-Jul-2004,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
