z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
61,67,Pm,,,,,,0,,,5 6 7,1.0,,3,s,1,0.3,EC,100,,ECP,,,A,,,,,,,,-9070,583,,,2506,500,12310.0,360.5,10981,500,-401,424,8075,2,127948234,322,-48220,300,Y,1999,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,68,Pm,,,,,,0,,,(5/2-),2.4,,9,s,2.4,0.9,EC+B+,100,,P,,,ECP,,,,,,,,-10850,583,-22101,583,2465,424,9195.0,361.6,13032,424,-61,361,8114,2,128942909,322,-53180,300,Y,2004,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,69,Pm,,,,,,0,,,(4 5 6),2.6,,2,s,2.6,0.2,EC+B+,100,,ECP,,,,,,,,,,,-7770,447,-21211,539,2429,280,11126.239,201.943,10361,361,384,284,8131,2,129940451,215,-55470,200,Y,1985,11-May-2001,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,70,Pm,,,,,,0,,,(11/2-),6.3,,8,s,6.3,0.8,EC+B+,100,,,,,,,,,,,,,-9490,447,-20142,447,2348,280,7998.04,201.88,12372,283,463,202,8163,2,130935834,215,-59770,200,Y,1998,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,71,Pm,,,,,,0,,,(3+),6.2,,6,s,6.2,0.6,EC+B+,100,,ECP,0.00005,,,,,,,,,,-6488,335,-19419,426,2278,152,9797.815,150.953,9929,250,1149,152,8177,1,131933840,160,-61628,149,Y,1977,1-Jul-2022,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,72,Pm,,,,,,0,,,(3/2+),13.5,,21,s,13.5,2.1,EC+B+,100,,,,,,,,,,,,,-8177,302,-18339,304,1940.997,58.4693,6924.727,68.552,11851,157,1270.8089,55.8217,8204.2841,0.3782,132929782,54.000,-65407.653,50.301,N,1977,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,73,Pm,,,,,,0,,,(2+),5,AP,,s,5,,EC+B+,100,,,,,,,,,,,,,-5388,200,-17604,301,1986.6402,76.7339,8882.535,43.551,9427.5735,65.4768,1720.4993,62.6599,8213.4131,0.3128,133928326,45.000,-66763.908,41.917,N,1977,31-Jul-2004,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,74,Pm,,,,,X,0,,0,(3/2+ 5/2+),49,,3,s,49,3,EC+B+,100,,,,,,,,,,,,,-7205.1069,175.4501,-16758,212,1813.4189,95.2966,6151.291,85.081,11369.7387,92.8976,1704.8574,83.7410,8236.7933,0.6141,134924785,89.000,-70062.329,82.903,N,1975,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,75,Pm,,,,,X,,,100,(2),300,,50,s,300,50,EC+B+,100,,,,,,,,,,,,,-4359.0237,70.1942,-16384.0187,169.3543,1632.6252,74.8658,8029.374,70.077,9178.9118,107.9071,2245.2741,71.6722,8243.7207,0.5079,135923595.949,74.152,-71169.923,69.073,N,1988,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,76,Pm,,,,,,0,,,11/2-,2.4,,1,m,144,6,EC+B+,100,,,,,,,,,,,,,-6081.2029,31.4460,-15333.2772,18.0623,1439.8173,18.0623,5511.111,17.537,10974.2535,70.2930,2162.5319,17.5988,8263.6516,0.0952,136920479.519,14.000,-74072.858,13.041,N,1975,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,77,Pm,,,,,,0,,,(1+),10,,2,s,10,2,EC+B+,100,,,,,,,,,3.2,0.9,,,-3416.5976,16.5613,-14994.0327,30.8773,1188.7137,23.3960,7102.812,16.409,8912.8298,17.4554,2619.3720,16.4952,8268.3558,0.0841,137919576.119,12.456,-74914.370,11.603,N,1973,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,78,Pm,,,,,,0,,,(5/2)+,4.15,,5,m,249,3,EC+B+,100,,,,,,,,,,,,,-5120.7993,17.4098,-14074.5740,18.0079,1009.9277,18.0079,4515.902,30.693,10657.9765,17.8678,2772.8176,17.8678,8285.5473,0.0978,138916799.228,14.587,-77501.028,13.588,N,1967,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,79,Pm,,,,,,0,,,1+,9.2,,2,s,9.2,0.2,EC+B+,100,,,,,,,,,,,,,-2756.101,27.2546,-13903.1354,26.5536,703.4586,26.7925,6045.2,24.4,8782.3361,27.7716,3484.0877,36.6612,8289.0958,0.1730,139916035.918,26.001,-78212.046,24.220,N,1966,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,80,Pm,,,,,,0,,,5/2+,20.90,,5,m,1254,3,EC+B+,100,,,,,,,,,,,,,-4588.9724,16.3730,-13138.3045,18.7460,253.966,16.1683,3668.588,14.33,10382.2035,27.9617,3554.6565,14.3477,8303.9405,0.0991,140913555.081,15.000,-80522.932,13.972,N,1952,12-Oct-2022,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,81,Pm,,,,,,0,,,1+,40.5,,5,s,40.5,0.5,EC+B+,100,,,,,,,,,,,,,-2159.6062,23.6524,-13278.8943,25.0869,-437.585,25.6320,4808.519,23.629,8689.9220,27.4222,4238.9871,23.8048,8306.6587,0.1662,141912890.982,25.330,-81141.536,23.596,N,1959,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,82,Pm,,,,,,0,,,5/2+,265,,7,d,22896000,604800,EC+B+,100,,B+,0.0000057,,,,,,3.8,0.5,,,-3443.5291,3.5604,-12050.0525,2.9563,-556.9276,4.6781,1041.646,3.2,9890.4463,23.7703,4299.5797,2.6824,8317.7341,0.0206,142910938.068,3.160,-82960.664,2.944,N,1952,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,83,Pm,,,,,,0,,,5-,363,,14,d,31363200,1209600,EC+B+,100,,,,,,,,,1.69,0.14,,,549.5096,2.6679,-9970.2996,3.5292,845.1947,6.7120,2331.912,3.171,6526.7705,1.5282,4702.7772,2.6460,8305.2969,0.0202,143912596.208,3.126,-81416.116,2.912,N,1952,1-Dec-2000,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,84,Pm,,,,,,0,,,5/2+,17.7,,4,Y,558557589.7502784,12622770.3898368,EC,100,,A,0.00000028,,,,,,3.8,0.16,0.23,0.08,-616.099,2.5390,-7373.1982,2.5373,2322.1114,2.8671,164.498,3.08,7922.7078,1.5273,4808.4491,2.5262,8302.6583,0.0193,144912755.748,3.011,-81267.506,2.805,N,1951,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,85,Pm,,,,,,0,,,3-,5.53,,5,Y,174509800.63949376,1577846.2987296,EC,65.7,1.5,B-,34.3,1.5,,,,,,,,,1542,3.0000,-6874.2711,4.1393,1907.0907,4.3238,1471.556,4.461,6258.1722,4.8026,5311.3270,4.1186,8288.655,0.0293,145914702.24,4.589,-79454.360,4.275,N,1960,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,86,Pm,,,,,,0,,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,,,,,,,,2.58,0.07,0.74,0.2,224.0638,0.2940,-6116.9417,2.8530,1601.2998,1.4680,-895.19,1.81,7658.9417,4.1400,5405.0388,0.5639,8284.3712,0.0088,146915144.944,1.382,-79041.984,1.288,N,1947,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,87,Pm,,,,,,0,,,1-,5.368,,7,d,463795.2,604.8,B-,100,,,,,,,,,2.1,0.2,0.2,0.2,2470.1898,5.6409,-5671.1469,5.6440,1459.7956,6.1403,542.189,6.049,5895.2108,5.6505,6008.0534,5.6557,8268.2283,0.0384,147917481.091,6.108,-76865.877,5.690,N,1947,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,88,Pm,,,,,,0,,,7/2+,53.08,,9,h,191088,324,B-,100,,,,,,,,,3.3,0.5,,,1071.4936,1.8747,-4799.6560,2.0283,1136.67,7.3302,-1688.869,2.998,7269.8459,5.8778,5945.3098,2.4577,8261.5277,0.0147,148918341.507,2.344,-76064.404,2.184,N,1947,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,89,Pm,,,,,,0,,,(1-),2.698,,15,h,9712.8,54,B-,100,,,,,,,,,,,,,3454,20.0000,-4532.7556,20.0036,651.2348,39.7634,82.615,20.063,5604.2492,20.0907,6510.7719,20.0871,8243.8125,0.1335,149920990.014,21.504,-73597.336,20.031,N,1952,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,90,Pm,,,,,,0,,,5/2+,28.40,,4,h,102240,144,B-,100,,,,,,,,,1.8,0.2,2.2,0.9,1190.2198,4.4757,-4406.2426,4.4749,-367.0829,16.4838,-2443.077,4.748,7860.2426,20.4945,6995.2800,4.4724,8241.2723,0.0305,150921216.613,4.949,-73386.260,4.611,N,1952,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
61,91,Pm,,,,,,0,,,1+,4.12,,8,m,247.2,4.8,B-,100,,,,,,,,,,,,,3508.5089,25.8859,-4749.3066,25.8858,-1143.9318,29.9445,-1104.805,35.638,5939.5263,26.2690,7600.2560,25.8859,8226.1293,0.1704,151923505.185,27.809,-71254.468,25.904,N,1958,31-Aug-2013,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
