z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
62,67,Sm,,,,,,0,,,(1/2+ 3/2+),0.55,,10,s,0.55,0.1,EC+B+,100,,ECP,0,,,,,,,,,,,,,,3315,640,10850.0,583.0,11251,707,1399,583,8023,4,128954557,537,-42330,500,Y,1999,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,68,Sm,,,,,,0,,,0+,,,,,,,EC+B+,,,,,,,,,,,,,,-14187,671,,,3255,500,7770.0,447.2,13441,640,1809,500,8065,3,129948792,429,-47700,400,Y,1999,11-May-2001,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,69,Sm,,,,,,0,,,,1.2,,2,s,1.2,0.2,EC+B+,100,,ECP,0,,,,,,,,,,-10816,565,-24839,671,3205,500,9490.0,447.2,10652,565,2100,447,8085,3,130946022,429,-50280,400,Y,1986,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,70,Sm,,,,,,0,,,0+,4.0,,3,s,4,0.3,EC+B+,100,,ECP,,,,,,,,,,,-12939,500,-23747,500,2966,361,6488.0,334.9,12931,500,2659,361,8122,2,131940805,322,-55140,300,Y,1989,1-Jul-2022,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,71,Sm,,,,,,0,,,(5/2+),2.89,,16,s,2.89,0.16,EC+B+,100,,ECP,0,,,,,,,,,,-9995,422,-23102,499,2719,360,8176.653,302.215,10163,423,2892,333,8137,2,132938560,320,-57231,298,Y,1977,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,72,Sm,,,,,,0,,,0+,9.5,,8,s,9.5,0.8,EC+B+,100,,,,,,,,,,,,,-11576,358,-22211,357,2795,198,5387.908,200.432,12216,357,3257,202,8167,1,133934110,210,-61376,196,Y,1977,31-Jul-2022,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,73,Sm,,,,,,0,,,(3/2+ 5/2+),10.3,,5,s,10.3,0.5,EC+B+,100,,ECP,0.02,0.01,,,,,,,,,-8709,249,-21128,337,2485.9024,157.0574,7205.107,175.45,9552,249,3382.2848,160.2089,8177.627,1.1454,134932520,166.000,-62857.222,154.628,N,1977,1-JUL-2022,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,74,Sm,,,,,,0,,,0+,47,,2,s,47,2,EC+B+,100,,,,,,,,,,,,,-10567,196,-20734,196,2190.0002,27.2412,4359.024,70.194,12024.9950,155.1322,4037.5412,83.8396,8205.9165,0.0919,135928275.553,13.416,-66810.899,12.497,N,1982,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,75,Sm,,,,,,0,,,(9/2-),45,,1,s,45,1,EC+B+,100,,,,,,,,,,,,,-7845.7518,28.9474,-19819,198,1915.8089,54.6625,6081.203,31.446,9252.0743,31.2244,4110.7037,74.7651,8213.5527,0.2089,136927007.959,30.718,-67991.655,28.614,N,1986,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,76,Sm,4.9599,0.0034,,,,0,,,0+,3.1,,2,m,186,12,EC+B+,100,,,,,,,,,,,,,-9748.0968,30.3408,-19423.1869,12.6024,1723.7543,16.7124,3416.598,16.561,11577.4352,30.9586,4713.8853,17.5988,8237.9286,0.0856,137923243.988,12.686,-71497.772,11.817,N,1982,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,77,Sm,4.9556,0.0034,,,,0,,,1/2+,2.57,,10,m,154.2,6,EC+B+,100,,,,,,,,,-0.53,0.02,,,-6982.1777,17.0705,-18701.8716,29.9897,1408.4747,22.0075,5120.799,17.41,8953.7747,16.0661,4754.8302,15.9089,8243.0786,0.0783,138922296.631,11.684,-72380.229,10.884,N,1971,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,78,Sm,4.9565,0.0034,,,,0,,,0+,14.82,,12,m,889.2,7.2,EC+B+,100,,,,,,,,,12.7,0.9,,,-8470,50.0000,-18129.2121,18.1416,1318.4361,17.1999,2756.101,27.254,11147.0344,16.5725,5243.8881,18.4612,8263.8211,0.0893,139918994.714,13.416,-75455.945,12.497,N,1967,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,79,Sm,4.9517,0.0034,,,,0,,,1/2+,10.2,,2,m,612,12,EC+B+,100,,,,,,,,,-0.74,0.02,,,-6008.3127,14.2829,-17019.3321,52.2401,1225.0937,14.5022,4588.973,16.373,8549.3321,15.1337,5010.8842,25.6803,8265.846,0.0605,140918481.545,9.162,-75933.959,8.535,N,1967,12-Oct-2022,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,80,Sm,4.9518,0.0034,,,,0,,,0+,72.49,,5,m,4349.4,3,EC+B+,100,,,,,,,,,,,,,-7673,30.0000,-17127.6008,12.7593,610.3365,11.7518,2159.606,23.67,11119.2881,8.6142,5747.9688,14.0964,8285.9407,0.0131,141915209.415,2.002,-78981.930,1.866,N,1959,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,81,Sm,4.9479,0.0034,,,,0,,,3/2+,8.75,,6,m,525,3.6,EC+B+,100,,,,,,,,,1.01,0.02,0.4,0.2,-5275.824,11.3245,-16279.5234,30.1147,74.879,27.6576,3443.529,4.029,8606.5234,2.6259,5664.5702,23.7453,8288.1825,0.0192,142914634.848,2.951,-79517.135,2.750,N,1956,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,82,Sm,4.9524,0.0034,3.08,0.04,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.6,0.3,,,-6346.4515,10.8092,-15795.6333,11.0821,-133.2956,3.5719,-549.51,3.25,10519.8093,2.3488,6293.9332,2.7154,8303.68,0.0101,143912006.285,1.566,-81965.626,1.459,N,1933,1-Dec-2000,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,83,Sm,4.9651,0.0034,,,,0,,,7/2-,340,,3,d,29376000,259200,EC,100,,,,,,,,,-1.12,0.011,-0.6,0.07,-2659.8832,2.7224,-13103.5508,10.8130,1115.1967,3.2311,616.099,3.174,6757.0992,0.2988,6524.2619,2.6714,8293.0139,0.0102,144913417.157,1.594,-80651.407,1.485,N,1947,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,84,Sm,4.9808,0.0035,,,,0,,,0+,6.8E+7,,7,Y,2.145870966272256e15,220898481822144,A,100,,,,,,,,,,,,,-3878.7573,5.8685,-11076.1543,3.9248,2528.7792,2.8131,-1542.0,5.2,8416.2711,2.8521,7017.8252,3.7503,8293.8581,0.0209,145913046.835,3.269,-80996.360,3.045,N,1953,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,85,Sm,4.9892,0.0035,15.00,0.14,,0,,,7/2-,1.073E11,,10,Y,3.3860581570737213e18,3.1556925974592e16,A,100,,,,,,,,,-0.809,0.0014,-0.26,0.03,-1721.4367,2.2832,-10219.7629,5.9541,2311.3466,0.4975,-224.064,1.803,6341.0056,2.8437,7100.6586,4.1336,8280.5734,0.0086,146914904.401,1.354,-79266.048,1.262,N,1933,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,86,Sm,5.0042,0.0034,11.25,0.09,,0,,,0+,7E+15,,3,Y,2.20898481822144e23,9.4670777923776e22,A,100,,,,,,,,,0.54,0.07,-1,0.3,-3038.5844,9.9657,-9862.7734,2.2939,1987.0458,0.4453,-2470.19,5.82,8141.3368,0.2706,7583.0536,0.3875,8279.6326,0.0084,147914829.233,1.337,-79336.067,1.246,N,1933,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,87,Sm,5.0134,0.0035,13.82,0.10,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,-0.6677,0.0011,0.075,0.008,-694.5812,3.7881,-8909.7340,9.9776,1871.1905,0.9714,-1071.494,2.472,5871.1496,0.8862,7558.9924,5.5709,8263.4683,0.0078,148917191.211,1.241,-77135.898,1.157,N,1933,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,88,Sm,5.0387,0.0048,7.37,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.82,0.14,-1.3,0.2,-2258.9662,6.1803,-8681.3369,3.7787,1449.6648,0.9664,-3454.0,20.0,7986.7556,0.3770,8275.9022,1.9071,8261.6235,0.0074,149917281.993,1.193,-77051.336,1.112,N,1934,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,89,Sm,5.0550,0.0057,,,,0,,,5/2-,90,,8,Y,2840123337.71328,252455407.796736,B-,100,,,,,,,,,-0.3605,0.0006,0.71,0.07,76.6182,0.5375,-7855.4285,6.1801,1145.3986,0.9728,-1190.22,4.74,5596.4623,0.1087,8268.1153,20.0003,8243.9735,0.0074,150919938.859,1.191,-74576.480,1.110,N,1947,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,90,Sm,5.0819,0.0060,26.74,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.8,0.6,-1.666,0.016,-1874.4774,0.6857,-8181.1972,0.6849,220.1726,1.9325,-3508.509,25.924,8257.8154,0.6056,8665.6882,4.5161,8244.0645,0.0067,151919738.646,1.090,-74762.977,1.016,N,1933,31-Aug-2013,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,91,Sm,5.0925,0.0068,,,,0,,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,,,,,,,,-0.021,0.003,1.3,0.12,807.4073,0.7063,-7742.8773,0.6987,-609.4402,1.9385,-1912.056,9.121,5868.4000,0.1342,8594.5618,25.8863,8228.5373,0.0067,152922103.576,1.100,-72560.059,1.025,N,1938,16-Aug-2020,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,92,Sm,5.1053,0.0067,22.74,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.35,0.15,,,-717.1969,1.1019,-7159.4153,1.0828,-1200.5284,1.0516,-4188.962,25.055,7966.8226,0.8460,9096.5315,9.0935,8226.8379,0.0085,153922215.756,1.400,-72455.564,1.305,N,1933,1-May-2008,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,93,Sm,,,,,,0,,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,,,,,,,,,,1.13,0.13,1627.1314,1.2016,-6524.1569,1.1341,-1672.938,1.0896,-3251.2,4.9,5806.9600,0.2683,9213.5744,25.0564,8211.2258,0.0086,154924646.645,1.429,-70191.206,1.332,N,1951,21-Oct-2019,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,94,Sm,,,,,,0,,,0+,9.4,,2,h,33840,720,B-,100,,,,,,,,,,,,,722.109,7.9025,-5613.7163,8.4699,-1635.9877,25.8782,-5193.888,8.604,7240.8477,8.5047,9709.7006,9.7408,8205.0054,0.0546,155925538.191,9.148,-69360.735,8.522,N,1951,1-Mar-2012,C. W. REICH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
62,95,Sm,,,,,,0,,,(3/2-),8.03,,7,m,481.8,4.2,B-,100,,,,,,,,,,,,,2781.4807,6.1191,-4666.1275,5.6677,-1772.1898,5.1690,-4380.538,8.291,5388.2364,9.6060,9799.7773,4.5845,8187.0642,0.0282,156928418.598,4.759,-66677.654,4.434,N,1973,4-Dec-2015,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
