z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
63,67,Eu,,,,,,0,,,(1+),0.90,,+49-29,ms,0.0009,0.00039,P,100,,,,,,,,,,,,,,,,,3812,735,14187.0,671.2,,,-1528,200,7950,4,129964022,578,-33513,539,Y,2004,31-MAY-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,68,Eu,,,,,,0,,,3/2+,17.8,,19,ms,0.0178,0.0019,P,89,9,EC+B+,11,9,,,,,,,,,,,,,3421,565,10816.0,565.6,14022,671,-947.0920,5.2680,7996,3,130957634,429,-39464,400,Y,1998,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,69,Eu,,,,,,0,,,,,,,,,,P,0,,EC+B+,,,,,,,,,,,,,,,3594,500,12940.0,500.0,10808,565,-791,565,8018,3,131954696,429,-42200,400,Y,,1-Jul-2022,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,71,Eu,,,,,,0,,,,0.5,,2,s,0.5,0.2,EC+B+,100,,ECP,0,,,,,,,,,,-8271,500,-21812,583,3244,361,11576.0,358.3,10636,423,-142,423,8075,2,133946537,322,-49800,300,Y,1989,31-Jul-2022,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,72,Eu,,,,,,0,,,,1.5,,2,s,1.5,0.2,EC+B+,100,,ECP,,,,,,,,,,,-9898,445,-20689,445,3198,280,8709.222,249.651,12419,358,61,277,8107,1,134941870,210,-54148,196,Y,1989,31-DEC-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,73,Eu,,,,,X,,,0,(7+),3.3,,3,s,3.3,0.3,EC+B+,100,,B+P,0.09,,,,,,,,,,-7154,357,-20065,445,2959,246,10566.899,196.398,10167,277,675,249,8122,1,135939620,210,-56244,196,Y,1987,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,74,Eu,4.9762,0.0095,,,,0,,,(11/2-),11,,2,s,11,2,EC+B+,100,,,,,,,,,,,,,-8932,298,-19127,298,2836.8335,50.4908,7845.751,28.947,11974,196,623.9756,13.2420,8150.5738,0.0320,136935430.719,4.700,-60145.904,4.378,N,1982,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,75,Eu,4.9779,0.0094,,,,0,,,(6-),12.1,,6,s,12.1,0.6,EC+B+,100,,,,,,,,,5.3,0.7,,,-6090,202,-18607,299,2589.3169,50.3782,9748.096,30.341,9675.0901,28.2857,1046.9913,39.9962,8161.6211,0.2025,137933709,30.000,-61749.676,27.945,N,1982,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,76,Eu,4.9760,0.0093,,,,0,,,(11/2)-,17.9,,6,s,17.9,0.6,EC+B+,100,,,,,,,,,6.1,0.8,,,-7767,196,-17810,201,2239.3617,83.9395,6982.178,17.071,11719.6939,30.8844,1189.2501,17.6802,8187.2187,0.0946,138929792.307,14.117,-65398.051,13.151,N,1975,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
63,77,Eu,4.9695,0.0091,,,,0,,,1+,1.51,,2,s,1.51,0.02,EC+B+,100,,,,,,,,,1.362,0.013,,,-5203.6675,58.6268,-17426,202,1759.0614,86.1814,8470.0,53.0,9659.2121,53.1895,1894.6874,52.6749,8197.733,0.3681,139928087.633,55.328,-66985.945,51.538,N,1982,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
