property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
lattice_constants,"458.1, 458.1, 458.1",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
thermal_conductivity,14,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
electrical_conductivity,1.1,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
electrical_resistivity,9e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
magnetic_susceptibility_mass,2.76e-07,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
magnetic_susceptibility_molar,4.1942e-08,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0014473,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
neel_point,90.5,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
superconducting_point,1.8,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
bulk_modulus,8.3,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
shear_modulus,7.9,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
young_modulus,18,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
poisson_ratio,0.15,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
vickers_hardness,167,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
thermal_expansion,3.5e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Europium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Eu-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,458.1,458.1,458.1,π/2,π/2,π/2
