obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""237.3555""","=""237.3565+""","=""20w""","=""2.2e+07""","=""1.39e-02""","=""8.7e-01""","=""-0.95""",C+,"=""0.000000""","=""5.223544""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).5d (7D*).6p""","=""8P""","=""5/2""",8,6,,"=""T7227,T4819""","=""L3780,L7586""",
"=""237.6023""","=""237.6029+""","=""60w""","=""2.3e+07""","=""2.0e-02""","=""1.23e+00""","=""-0.80""",C+,"=""0.000000""","=""5.218125""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).5d (7D*).6p""","=""8P""","=""7/2""",8,8,,"=""T7227,T4819""","=""L3780,L7586""",
"=""238.0366""","=""238.0371+""","=""50w""","=""2.3e+07""","=""2.4e-02""","=""1.5e+00""","=""-0.71""",C+,"=""0.000000""","=""5.208607""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).5d (7D*).6p""","=""8P""","=""9/2""",8,10,,"=""T7227,T4819""","=""L3780,L7586""",
"=""260.5386""","=""""","=""26""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7586,L3475""",
"=""262.0050""","=""262.0053+""","=""10""","=""8.e+05""","=""1.0e-03""","=""7.e-02""","=""-2.1""",E,"=""0.000000""","=""4.732125""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).5d (7D*).6p""","=""z 6D""","=""9/2""",8,10,,"=""T7227,T4819""","=""L3780,L7586""",
"=""264.4603""","=""264.4607+""","=""6""","=""7.e+05""","=""8.e-04""","=""5.e-02""","=""-2.2""",E,"=""0.000000""","=""4.688190""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""""","=""143""","=""7/2""",8,8,,"=""T7227,T4819""","=""L3780,L7586""",
"=""266.0189""","=""266.0196+""","=""15""","=""1.39e+06""","=""1.8e-03""","=""1.29e-01""","=""-1.83""",C+,"=""0.000000""","=""4.660716""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""""","=""141""","=""9/2""",8,10,,"=""T7227,T4819""","=""L3780,L7586""",
"=""268.3379""","=""268.3385+""","=""8""","=""1.4e+06""","=""1.1e-03""","=""8.e-02""","=""-2.0""",E,"=""0.000000""","=""4.620440""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""""","=""135""","=""5/2""",8,6,,"=""T7227,T4819""","=""L3780,L7586""",
"=""271.0784""","=""271.0790+""","=""180""","=""1.6e+07""","=""2.2e-02""","=""1.5e+00""","=""-0.76""",C+,"=""0.000000""","=""4.573730""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).5d (7D*).6p""","=""y 8D""","=""9/2""",8,10,,"=""T7227,T4819""","=""L3780,L3475""",
"=""272.4761""","=""272.4767+""","=""70""","=""1.37e+07""","=""1.5e-02""","=""1.09e+00""","=""-0.91""",C+,"=""0.000000""","=""4.550268""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).5d (7D*).6p""","=""y 8D""","=""7/2""",8,8,,"=""T7227,T4819""","=""L3780,L3475""",
"=""273.2174""","=""273.2178+""","=""50""","=""3.6e+06""","=""4.1e-03""","=""2.9e-01""","=""-1.49""",C+,"=""0.000000""","=""4.537925""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""""","=""""","=""7/2""",8,8,,"=""T7227,T4819""","=""L3780,L3475""",
