z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
64,70,Gd,,,,,,0,,,0+,,,,,,,,,,,,,,,,,,,,,,,,,3745,565,8270.0,500.0,13541,640,1583,499,8008,3,133955416,429,-41530,400,Y,,31-Jul-2022,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,71,Gd,,,,,,0,,,(5/2+),1.1,,2,s,1.1,0.2,EC+B+,100,,ECP,2,,,,,,,,,,-11197,565,,,3606,565,9898.0,445.4,10791,565,1738,500,8028,3,134952496,429,-44250,400,Y,1996,31-DEC-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,72,Gd,,,,,,0,,,0+,200,GE,,ns,0.0000002,,,,,,,,,,,,,,,,-13190,582,-24108,499,3625,423,7154.0,356.6,12911,499,2231,357,8064,2,135947300,320,-49090,298,Y,2000,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,73,Gd,,,,,,0,,,(7/2),2.2,,2,s,2.2,0.2,EC+B+,100,,ECP,,,,,,,,,,,-10246,499,-23385,582,3593,422,8931.904,298.032,10195,422,2259,357,8080,2,136945020,320,-51214,298,Y,1999,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,74,Gd,,,,,,0,,,0+,4.7,,9,s,4.7,0.9,EC+B+,100,,,,,,,,,,,,,-12059,361,-22764,448,3292,280,6089.676,201.943,12517,359,2803,200,8112,1,137940247,215,-55660,200,Y,1985,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,75,Gd,,,,,,0,,,(9/2-),5.8,,9,s,5.8,0.9,EC+B+,100,,ECP,0,,,,,,,,,,-9501,357,-22102,358,2801,249,7766.051,196.441,10043,280,3171,198,8126,1,138938130,210,-57632,196,Y,1983,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,76,Gd,,,,,,0,,,0+,15.8,,4,s,15.8,0.4,EC+B+,100,,,,,,,,,,,,,-11300,800.0000,-21723,299,2603.7053,30.6120,5203.667,58.627,12222,198,3673.1975,30.8844,8154.9757,0.1996,139933674,30.000,-61782.278,27.945,N,1985,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,77,Gd,,,,,,0,,,1/2+,14,,4,s,14,4,EC+B+,100,,B+P,0.03,0.01,,,,,,,,,-8683.388,107.0975,-20813.2709,800.7318,2342.5087,34.7741,6701.416,23.456,9513.2709,34.2253,3527.2564,55.1964,8164.609,0.1401,140932126,21.213,-63224.231,19.760,N,1986,12-Oct-2022,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,78,Gd,,,,,,0,,,0+,70.2,,6,s,70.2,0.6,EC+B+,100,,,,,,,,,,,,,-10400,700.0000,-20489.9974,108.9052,2113.3344,30.3408,4349.408,41.042,11806.6094,34.2253,4322.8463,30.6700,8190.2569,0.1968,141928116,30.000,-66959.522,27.945,N,1986,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
64,79,Gd,,,,,,0,,,(1/2)+,39,,2,s,39,2,EC+B+,100,,,,,,,,,,,,,-7812.1185,206.7497,-19743.1068,728.6299,1724.0023,200.5970,6010.0,200.6,9343.1068,202.2414,4211.3524,202.5442,8198.3188,1.4007,142926750.678,215.032,-68231.311,200.301,N,1975,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
