z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
65,70,Tb,,,,,,0,,,(7/2-),0.94,,+33-22,ms,0.00094,0.000275,P,100,,EC+B+,,,,,,,,,,,,,,,3986,565,11197.0,565.6,,,-1187.9999,7.0000,7939,3,134964516,429,-33053,400,Y,2004,31-DEC-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,73,Tb,,,,,X,,,,,200,GE,,ns,0.0000002,,EC+B+,100,,,,,,,,,,,,,-8669,586,,,3775,424,12060.0,360.5,10705,500,-324,423,8019,2,137953193,322,-43600,300,Y,1993,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,74,Tb,,,,,,0,,,,1.6,,2,s,1.6,0.2,EC+B+,0,,ECP,,,P,,,,,,,,-10430,582,-21271,585,3593,357,9502.0,356.6,12601,423,-240,359,8052,2,138948330,320,-48130,298,Y,1999,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,75,Tb,,,,,,0,,,(7+),2.29,,15,s,2.29,0.15,EC+B+,100,,ECP,0.26,0.13,,,,,,,,,-7652,895,-20853,944,3336,824,11300.0,800.9,10423,854,140,824,8068.6732,5.7178,139945805.048,859.359,-50482.278,800.488,N,1986,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,76,Tb,,,,,,0,,,(5/2-),3.5,,2,s,3.5,0.2,EC+B+,100,,,,,,,,,,,,,-9158,316,-19782,414,3180.145,105.3498,8683.388,107.098,12129.8829,807.3787,47.5359,108.9052,8097.4761,0.7465,140941448,113.000,-54540.843,105.259,N,1986,12-Oct-2022,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,77,Tb,,,,,,0,,,1+,597,,17,ms,0.597,0.017,EC+B+,100,,B+P,0.0022,0.0011,,,,,,,,,-6440,200,-19248,761,2765.2376,701.1147,10400.0,701.1,10089.9974,708.4210,624.2624,700.8362,8111.508,4.9335,141939280.858,752.079,-56559.522,700.558,N,1991,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,78,Tb,,,,,,0,,,(11/2-),12,,1,s,12,1,EC+B+,100,,,,,,,,,,,,,-8250.2433,52.8659,-18371,730,2553.9432,52.8930,7812.119,206.749,11930.9883,702.4284,748.6413,58.3579,8138.2176,0.3583,142935137.332,55.000,-60419.192,51.232,N,1985,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,79,Tb,,,,,,0,,,1+,1,AP,,s,1,,EC+B+,100,,,,,,,,,,,,,-5798.0965,28.8506,-18270.5566,30.8379,2192.8419,58.6268,9391.323,39.52,10020.3134,58.3579,1425.8479,202.2414,8151.2877,0.1941,143933045,30.000,-62368.188,27.945,N,1982,1-Dec-2000,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,80,Tb,,,,,X,,,850,(3/2+),,,,,,,,,,,,,,,,,,,,,-8157.0853,111.0872,-17900.9197,111.1274,1101.0382,111.6135,6526.933,112.635,12102.8232,114.3624,1929.1526,114.3624,8178.5397,0.7648,144928717.001,119.051,-66399.693,110.896,N,1981,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,81,Tb,,,,,,0,,,1+,8,,4,s,8,4,EC+B+,100,,,,,,,,,,,,,-5208.7165,45.1580,-17592.3547,45.3317,1120.3696,53.9693,8322.179,45.045,9435.2694,119.6256,2125.9895,49.0017,8187.1474,0.3073,145927252.739,48.159,-67763.644,44.860,N,1974,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,82,Tb,4.9201,0.1508,,,,0,,,(1/2+),1.64,,3,h,5904,108,EC+B+,100,,,,,,,,,1.71,0.05,,,-6546.6266,11.9939,-16259.0641,10.5042,1073.7214,13.6466,4614.254,8.313,11050.3476,45.5170,1945.8214,8.6271,8206.625,0.0551,146924054.62,8.691,-70742.674,8.096,N,1969,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,83,Tb,4.9291,0.1507,,,,0,,,2-,60,,1,m,3600,60,EC+B+,100,,,,,,,,,-1.76,0.02,-0.3,0.2,-2677.5501,9.5961,-14412.2179,15.2854,2657.3119,16.4752,5732.472,12.548,7865.5913,14.8512,2468.9900,12.5784,8204.3207,0.0842,147924275.476,13.379,-70536.947,12.463,N,1960,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,84,Tb,4.9427,0.1506,,,,0,,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,A,16.7,1.7,,,,,1.36,0.02,,,-3794.6493,9.1335,-11700.5609,9.3745,4077.9687,2.1651,3638.534,4.912,9023.0108,12.9225,2508.1915,3.3450,8209.8153,0.0244,148923253.792,3.895,-71488.639,3.629,N,1950,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,85,Tb,4.9499,0.1505,,,,0,,,(2)-,3.48,,16,h,12528,576,EC+B+,100,,A,0.05,,,,,,-0.9,0.02,,,-1796.1707,8.3886,-11483.1167,11.6749,3586.8983,4.9256,4658.262,9.539,7688.4674,8.0487,3267.5868,7.9377,8206.3396,0.0491,149923664.799,7.912,-71105.789,7.371,N,1959,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
65,86,Tb,4.9630,0.1504,,,,0,,,1/2(+),17.609,,14,h,63392.4,50.4,EC+B+,99.9905,0.0015,A,0.0095,0.0015,,,,,0.926,0.006,,,-2871.1525,4.9455,-10385.2406,5.7509,3496.1546,3.9256,2565.379,5.071,8589.0699,8.3146,3148.4607,7.1691,8208.8743,0.0271,150923108.97,4.395,-71623.541,4.094,N,1953,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
