property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Hexagonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
space_group,P63/mmc,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 194.,Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
lattice_constants,"360.1, 360.1, 569.36",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
thermal_conductivity,11,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
electrical_conductivity,0.83,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
electrical_resistivity,1.2e-06,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
magnetic_susceptibility_mass,1.36e-05,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
magnetic_susceptibility_molar,2.161385e-06,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
magnetic_susceptibility_volume,0.1117784,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Terbium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tb-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,360.1,360.1,569.36,π/2,π/2,2 π/3
