z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
66,73,Dy,,,,,,0,,,(7/2+),0.6,,2,s,0.6,0.2,EC+B+,100,,ECP,11,,,,,,,,,,,,,,4124,640,10430.0,582.0,10841,709,1389,583,7971,4,138959527,537,-37700,500,Y,1999,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,74,Dy,,,,,,0,,,0+,,,,,,,EC+B+,,,,,,,,,,,,,,-13513,641,,,3835,499,7652.278,895.311,13201,641,1989,499,8008,3,139954020,430,-42830,401,Y,2002,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,75,Dy,,,,,,0,,,(9/2-),0.9,,2,s,0.9,0.2,EC+B+,100,,B+P,,,,,,,,,,,-11018,499,-24136,582,3406,422,9158.843,316.043,10624,499,2189,854,8027,2,140951280,320,-45382,298,Y,1984,12-Oct-2022,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,76,Dy,,,,,,0,,,0+,2.3,,3,s,2.3,0.3,EC+B+,100,,ECP,0.06,0.03,,,,,,,,,-12869,831,-23826,831,3115,756,6439.522,1011.05,12808,787,2868,736,8061,5,141946194,782,-50120,729,Y,1986,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,77,Dy,,,,,,0,,,(1/2+),5.6,,10,s,5.6,1,EC+B+,100,,ECP,,,,,,,,,,,-10121,298,-22990,401,3038,196,8250.243,52.866,10121,729,2898.3981,700.6789,8075.0527,0.0912,142943994.332,14.000,-52168.949,13.041,N,1983,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,78,Dy,,,,,,0,,,0+,9.1,,4,s,9.1,0.4,EC+B+,100,,ECP,,,,,,,,,,,-11960.5706,11.1039,-22594,298,2787.2709,28.8506,5798.097,28.851,12472.4601,14.8832,3439.8698,51.7318,8105.5902,0.0498,143939269.512,7.700,-56570.091,7.173,N,1986,1-Dec-2000,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,79,Dy,,,,,,0,,,(1/2+),6,,2,s,6,2,EC+B+,100,,ECP,50,,,,,,,,,,-9122.4943,9.9019,-21704.4050,10.6943,2556.7074,20.8080,8157.086,111.088,9743.8344,9.6934,3163.3909,28.6955,8116.8884,0.0450,144937473.992,7.000,-58242.607,6.520,N,1982,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,80,Dy,5.0438,0.2389,,,,0,,,0+,33.2,,7,s,33.2,0.7,EC+B+,100,,,,,,,,,,,,,-11316.7007,9.3917,-21506.1325,10.0175,1979.6787,28.7356,5208.716,45.357,12383.6382,9.3454,3444.2059,111.0975,8146.1128,0.0459,145932844.526,7.187,-62554.928,6.695,N,1981,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,81,Dy,,,,,,0,,,(1/2+),67,,7,s,67,7,EC+B+,100,,B+P,0.05,,,,,,-0.915,0.009,0.67,0.1,-8438.946,10.1644,-21029.1382,11.0314,1610.348,200.4969,6546.627,11.994,9712.4375,11.0963,3721.3740,45.7248,8156.768,0.0602,146931082.712,9.500,-64196.047,8.849,N,1975,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,82,Dy,5.0455,0.2389,,,,0,,,0+,3.3,,2,m,198,12,EC+B+,100,,,,,,,,,,,,,-9868.2304,84.2872,-20173.6137,10.0556,1475.1987,29.2749,2677.55,15.21,11734.6677,12.4264,4405.6941,11.8922,8180.943,0.0589,147927149.944,9.365,-67859.397,8.724,N,1974,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,83,Dy,5.0567,0.2394,,,,0,,,7/2-,4.2,,2,m,252,12,EC+B+,100,,,,,,,,,-0.119,0.007,-0.62,0.05,-6048.1366,12.7928,-17774.1420,84.3359,2807.7196,21.7495,3794.649,9.874,7905.9116,12.0703,4446.0145,15.0321,8179.0972,0.0616,148927327.516,9.858,-67693.990,9.183,N,1958,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,84,Dy,5.0706,0.2413,,,,0,,,0+,7.17,,5,m,430.2,3,EC+B+,64,5,A,36,5,,,,,,,,,-7363.7264,14.4629,-15735.0826,12.6866,4351.2892,1.5393,1796.171,8.543,9686.9460,9.9805,5109.9497,5.2897,8189.1495,0.0288,149925593.068,4.636,-69309.618,4.319,N,1959,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,85,Dy,5.0801,0.2435,,,,0,,,7/2(-),17.9,,3,m,1074,18,EC+B+,94.4,0.4,A,5.6,0.4,,,,,-0.945,0.007,-0.3,0.05,-5129.6421,8.7507,-14877.8144,14.4980,4179.6239,2.6426,2871.153,5.225,7514.0880,5.0259,4935.5704,7.8815,8184.6789,0.0215,150926191.279,3.486,-68752.388,3.247,N,1959,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,86,Dy,5.0950,0.2482,,,,0,,,0+,2.38,,2,h,8568,72,EC+B+,99.9,0.007,A,0.1,0.007,,,,,,,,,-6513.3275,13.3176,-14566.5352,9.3787,3726.5401,4.3548,599.341,40.276,9436.8931,5.2407,5783.3936,5.9460,8192.9171,0.0302,151924725.274,4.930,-70117.963,4.593,N,1958,31-Aug-2013,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,87,Dy,5.1035,0.2516,,,,0,,,7/2(-),6.4,,1,h,23040,360,EC+B+,99.9906,0.0014,A,0.0094,0.0014,,,,,-0.712,0.006,-0.15,0.09,-4131.1229,6.1571,-13609.8790,13.1342,3559.0607,3.6167,2170.413,5.62,7096.5515,5.8796,5714.8640,40.1902,8185.7514,0.0262,152925771.729,4.295,-69143.197,4.001,N,1958,16-Aug-2020,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,88,Dy,5.1241,0.2618,,,,0,,,0+,3.0E+6,,15,Y,94670777923776,47335388961888,A,100,,,,,,,,,,,,,-5754.6363,10.1785,-13453.2590,8.8743,2945.1204,4.9463,-237.308,45.914,9322.1361,8.3398,6369.3757,8.3170,8193.1305,0.0483,153924428.92,7.977,-70394.015,7.431,N,1961,1-May-2008,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,89,Dy,5.1457,0.2751,,,,0,,,3/2-,9.9,,2,h,35640,720,EC+B+,100,,,,,,,,,-0.337,0.003,0.96,0.02,-3116.1405,16.5887,-12587.8790,12.6284,2608.0651,10.0196,2094.5,13.7,6833.2427,12.1290,6288.2038,46.3053,8184.357,0.0622,154925758.049,10.354,-69155.939,9.645,N,1958,21-Oct-2019,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,90,Dy,5.1622,0.2869,0.056,0.003,,0,,,0+,STABLE,,,,,,2EC,,,,,,,,,,,,,,-4990.9836,38.4111,-12560.9057,17.4635,1753.0013,0.3013,-438.376,3.895,9444.7652,9.6020,6567.9182,9.7877,8192.4366,0.0063,155924283.593,1.060,-70529.386,0.988,N,1948,1-Mar-2012,C. W. REICH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,91,Dy,5.1709,0.2936,,,,0,,,3/2-,8.14,,4,h,29304,144,EC+B+,100,,,,,,,,,-0.301,0.002,1.29,0.02,-2591.8068,23.7839,-11957.5844,38.7510,1033.3589,5.1267,1339.179,5.254,6966.6008,5.1212,6622.6300,6.2876,8184.6287,0.0328,156925469.555,5.532,-69424.669,5.154,N,1953,4-Dec-2015,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,92,Dy,5.1815,0.3023,0.095,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.3,1,,,-4219.7555,27.0048,-11645.6076,23.5582,874.2903,2.4013,-936.269,2.659,9053.8008,5.1246,6932.2747,2.4093,8190.1298,0.0148,157924414.817,2.509,-70407.152,2.337,N,1938,1-Feb-2017,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,93,Dy,5.1825,0.3031,,,,0,,,3/2-,144.4,,2,d,12476160,17280,EC,100,,,,,,,,,-0.354,0.003,1.37,0.02,-1837.6,2.6833,-11051.1419,27.1284,478.162,1.3138,365.362,1.813,6831.3864,2.5866,6985.3080,1.3195,8181.5842,0.0091,158925745.938,1.544,-69167.220,1.439,N,1951,31-Dec-2010,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,94,Dy,5.1951,0.3139,2.329,0.018,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.1,0.6,1.8,0.4,-3290,15.0000,-10414.1231,3.0223,437.9921,0.9994,-1835.951,1.312,8576.5231,1.3908,7428.8147,1.0945,8184.0526,0.0044,159925203.578,0.751,-69672.425,0.700,N,1938,1-May-2021,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
66,95,Dy,5.1962,0.0459,18.889,0.042,,0,,,5/2+,STABLE,,,,,,A,,,,,,,,,,-0.479,0.003,2.51,0.02,-859.2003,2.1368,-9744.3869,15.0002,343.4857,0.9912,-593.716,1.403,6454.3869,0.0757,7507.9916,1.0998,8173.3093,0.0043,160926939.425,0.748,-68055.494,0.697,N,1934,1-Jun-2011,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
