z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
67,73,Ho,,,,,,0,,,(6- 0- 8+),6,,3,ms,0.006,0.003,P,100,,,,,,,,,,,,,,,,,4157,707,13513.0,640.9,,,-1093.8999,10.0000,7906,4,139968526,537,-29317,500,Y,1999,20-Nov-2018,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,74,Ho,,,,,,0,,,(7/2-),4.1,,1,ms,0.0041,0.0001,P,100,,,,,,,,,,,,,,,,,4178,567,11018.0,499.6,13118,641,-1176.7792,7.4278,7943,3,140963108,430,-34364,401,Y,1998,12-Oct-2022,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,75,Ho,,,,,,0,,,(7- 8+),0.4,,1,s,0.4,0.1,EC+B+,100,,ECP,0,,P,0,,,,,,,-9321,641,,,3925,500,12870.0,832.0,10957,567,-843,499,7965,3,141960010,430,-37250,401,Y,2001,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,76,Ho,,,,,,0,,,(11/2-),,,,,,,EC+B+,,,ECP,,,,,,,,,,,-10887,499,-22189,582,3658,422,10120.949,298.285,12869,499,-783,787,7999,2,142954860,320,-42048,298,Y,2000,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,77,Ho,,,,,,0,,,(5-),0.7,,1,s,0.7,0.1,EC+B+,100,,ECP,,,,,,,,,,,-8002,196,-21520,400,3447.8415,800.5328,11960.57,11.10,10633,298,-270.4575,15.5537,8017.0977,0.0589,143952109.712,9.100,-44609.521,8.477,N,1986,21-FEB-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,78,Ho,,,,,,0,,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,,,,,,,,,,,,-9880,200,-20584,196,2995.8137,105.5223,9122.494,9.902,12581.9106,11.2865,-161.0069,10.3429,8048.5792,0.0514,144947267.392,8.000,-49120.113,7.452,N,1987,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,79,Ho,,,,,X,0,,,(6-),3.32,,22,s,3.32,0.22,EC+B+,100,,ECP,,,,,,,,,,,-6916.2074,9.3987,-20069,200,2896.3793,700.5885,11316.701,9.392,10189.4318,9.9456,284.5905,9.2683,8063.2426,0.0451,145944993.503,7.071,-51238.227,6.587,N,1982,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,80,Ho,,,,,,0,,,(11/2-),5.8,,4,s,5.8,0.4,EC+B+,100,,,,,,,,,,,,,-9149.2869,38.5173,-19506.3996,8.3641,2237.1755,51.4756,8438.946,10.164,12590.1922,8.2699,491.1445,8.3562,8094.0381,0.0340,146940142.293,5.368,-55757.101,5.001,N,1982,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,81,Ho,,,,,,0,,,(1+),2.2,,11,s,2.2,1.1,EC+B+,100,,,,,,,,,,,,,-6512.1694,84.4583,-19454.6702,92.1238,1952.1055,88.3693,9868.231,84.287,10305.3834,83.9835,1084.0903,84.3002,8108.9797,0.5664,147937743.925,90.000,-57991.166,83.834,N,1979,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
67,82,Ho,,,,,,0,,,(11/2-),21.0,,2,s,21,0.2,EC+B+,100,,,,,,,,,,,,,-7904.2328,30.4066,-18238.1747,15.7683,2328.9233,111.5415,6048.136,15.099,11726.0054,84.6869,1075.4280,12.4293,8133.255,0.0804,148933820.457,12.866,-61645.854,11.985,N,1979,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
