z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
68,75,Er,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,640,10888.0,498.8,11302,640,1199,566,7917,3,142966548,429,-31160,400,Y,2005,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,76,Er,,,,,,0,,,0+,200,GE,,ns,0.0000002,,EC+B+,100,,,,,,,,,,,,,-14448,445,,,3797,446,8001.521,196.183,13519,445,1849,357,7956,1,143960700,210,-36608,196,Y,2003,1-Sep-2004,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,77,Er,,,,,,0,,,(1/2+),,,,,,,,,,,,,,,,,,,,,-11657,280,-25152,447,3717,359,9880.113,200.139,10704,280,1920,200,7975,1,144957874,215,-39240,200,Y,1989,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,78,Er,,,,,,0,,,0+,1.7,,6,s,1.7,0.6,EC+B+,100,,,,,,,,,,,,,-13267,200,-24811,196,3373,729,6916.208,9.399,13153,200,2490.8774,10.0241,8010.5127,0.0459,145952418.357,7.197,-44322.019,6.705,N,1993,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,79,Er,,,,,,0,,,(1/2+),3.2,,12,s,3.2,1.2,EC+B+,100,,B+P,0,,,,,,,,,,-10633.4071,38.7987,-23624,204,3136.2191,40.3564,9149.287,38.517,10357.1127,38.7753,2658.5583,38.7551,8026.476,0.2598,146949964.456,41.000,-46607.814,38.191,N,1992,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,80,Er,,,,,,0,,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,ECP,0.15,,,,,,,,,,-12713.963,14.4906,-23575.9080,12.3189,2666.1783,12.5074,6512.169,84.458,12942.5008,39.5419,3010.8670,11.4016,8059.6924,0.0692,147944735.026,11.000,-51478.997,10.246,N,1982,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,81,Er,,,,,,0,,,(1/2+),4,,2,s,4,2,EC+B+,100,,ECP,7,2,,,,,,,,,-9801,202,-23047.9049,29.7641,2076.0708,28.6955,7904.233,30.407,10333.9419,29.7641,3039.4256,88.3693,8074.9558,0.1875,148942306,30.000,-53741.621,27.945,N,1984,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,82,Er,5.0548,0.0254,,,,0,,,0+,18.5,,7,s,18.5,0.7,EC+B+,100,,,,,,,,,,,,,-11340,196,-21962,201,2298.6889,18.4510,4114.569,22.279,12161.0201,32.8109,3474.4403,20.9525,8102.1962,0.1146,149937915.524,18.458,-57831.323,17.194,N,1982,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,83,Er,,,,,,0,,,(7/2-),23.5,,20,s,23.5,2,EC+B+,100,,,,,,,,,,,,,-7494.6768,25.4292,-19847,196,3504.841,18.6966,5356.456,18.442,8506.2854,23.8096,3609.3695,21.7251,8104.8723,0.1091,150937448.567,17.681,-58266.290,16.470,N,1970,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
68,84,Er,5.0843,0.0257,,,,0,,,0+,10.3,,1,s,10.3,0.1,A,90,4,EC+B+,10,4,,,,,,,,,-8779.9397,54.7434,-17799.9230,21.2897,4934.2625,1.6182,3104.418,15.327,10305.2462,18.6873,4166.4434,12.1071,8119.3485,0.0581,151935050.347,9.478,-60500.218,8.830,N,1963,31-Aug-2013,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
