z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
69,75,Tm,,,,,,0,,,(10+),1.9,,+12-5,us,0.0000019,0.00000085,P,0,,,,,,,,,,,,,,,,,4733,641,14449.0,445.4,,,-1711.9999,16.0000,7850,3,143976211,429,-22159,400,Y,2005,21-FEB-2008,BALRAJ SINGH AND SCOTT GERAEDTS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,76,Tm,,,,,,0,,,(11/2-),3.17,,20,us,0.00000317,0.0000002,P,100,,,,,,,,,,,,,,,,,4357,446,11657.0,280.0,13495,445,-1736.0999,7.0711,7889,1,144970389,210,-27583,196,Y,1998,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,77,Tm,,,,,,0,,,(5-),68,,3,ms,0.068,0.003,P,,,EC+B+,,,,,,,,,,,,,,,3770,448,13267.019,200.112,11544,280,-895.6999,5.6569,7914,1,145966661,215,-31055,200,Y,1993,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,78,Tm,,,,,,0,,,11/2-,0.58,,3,s,0.58,0.03,EC+B+,85,5,P,15,5,,,,,,,,,,,,,3648,298,10633.407,38.799,12990,200,-1058.6414,3.2037,7948.8178,0.0465,146961379.887,7.341,-35974.407,6.839,N,1982,9-Mar-2022,N. Nica and B. Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,79,Tm,,,,,X,0,,,(10+),0.7,,2,s,0.7,0.2,EC+B+,100,,,,,,,,,,,,,-8535,400,,,3419.5708,13.2982,12713.963,14.49,10861.9450,12.3189,-553.8092,39.5419,7968.5011,0.0692,147958384.026,11.000,-38765.034,10.246,N,1982,1-Oct-2013,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,80,Tm,,,,,,0,,,(11/2-),0.9,,2,s,0.9,0.2,EC+B+,100,,ECP,0.2,,,,,,,,,,-10611,361,-21782,447,2755,200,9801.621,201.943,13247,201,-250,201,8004,1,148952828,215,-43940,200,Y,1987,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,81,Tm,,,,,,0,,,(6-),2.20,,6,s,2.2,0.06,EC+B+,100,,ECP,1.2,,,,,,,,,,-7661,358,-21232,358,2322,196,11340.323,196.753,10622,280,38,198,8021,1,149950090,210,-46491,196,Y,1982,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,82,Tm,,,,,,0,,,(11/2-),4.17,,11,s,4.17,0.11,EC+B+,100,,,,,,,,,,,,,-9229.2615,300.1329,-20013,301,2560.5718,20.0099,7494.677,25.429,12352,197,229.2616,8.9301,8050.0576,0.1283,150945494.433,20.799,-50771.613,19.375,N,1982,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,83,Tm,,,,,,0,,,(2)-,8.0,,10,s,8,1,EC+B+,100,,,,,,,,,,,,,-5449.8923,139.6200,-18249.2448,305.3105,3845.9718,99.7351,8779.939,54.744,9019.9833,57.3957,742.9595,56.4813,8056.4387,0.3554,151944476,58.000,-51720.279,54.027,N,1980,31-Aug-2013,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
69,84,Tm,5.0643,0.0190,,,,0,,,(11/2-),1.48,,1,s,1.48,0.01,A,91,3,EC+B+,9,3,,,,,6.93,0.11,0.5,1,-6813,201,-15773.5414,150.1870,5248.3281,1.4525,6494.072,15.156,10323.6491,55.3388,761.3623,12.4018,8071.2571,0.0783,152942058.023,12.860,-53972.610,11.979,N,1964,16-Aug-2020,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
