property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Hexagonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
space_group,P63/mmc,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 194.,Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
lattice_constants,"353.75, 353.75, 555.46",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
thermal_conductivity,17,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
electrical_conductivity,1.4,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
electrical_resistivity,7e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
magnetic_susceptibility_mass,1.99e-06,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
magnetic_susceptibility_molar,3.36179e-07,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
magnetic_susceptibility_volume,0.0185488,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thulium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Tm-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,353.75,353.75,555.46,π/2,π/2,2 π/3
